step,rot_degrees,frame_ms,fps
1,9,21.3626,46.8109
2,18,26.3151,38.0009
3,27,20.0224,49.944
4,36,26.1927,38.1785
5,45,20.2479,49.3878
6,54,20.2167,49.4641
7,63,21.1711,47.2343
8,72,20.4729,48.8451
9,81,20.4531,48.8924
10,90,20.1876,49.5354
11,99,20.2773,49.3161
12,108,20.2037,49.4958
13,117,20.221,49.4535
14,126,20.8304,48.0068
15,135,20.2391,49.4093
16,144,20.2355,49.4182
17,153,20.2531,49.375
18,162,20.1785,49.5577
19,171,20.1972,49.5119
20,180,20.2161,49.4656
21,189,20.3533,49.132
22,198,20.3505,49.1388
23,207,20.3613,49.1129
24,216,20.2529,49.3757
25,225,20.2813,49.3066
26,234,20.2976,49.2669
27,243,20.2996,49.2619
28,252,20.2718,49.3296
29,261,20.4342,48.9376
30,270,20.3991,49.0219
31,279,20.2761,49.3191
32,288,20.2582,49.3627
33,297,20.2394,49.4086
34,306,20.2562,49.3676
35,315,20.2575,49.3643
36,324,20.2633,49.3504
37,333,20.2345,49.4205
38,342,20.2295,49.4327
39,351,20.595,48.5554
40,360,20.3089,49.2394
