# Baseline
Frame,Frame (ms),FPS
1,20.28,49.32
2,20.20,49.50
3,20.22,49.45
4,20.83,48.01
5,20.24,49.41
6,20.24,49.42
7,20.25,49.38
8,20.18,49.56
9,20.20,49.51
10,20.22,49.47
11,20.35,49.13
12,20.35,49.14
13,20.36,49.11
14,20.25,49.38
15,20.28,49.31
16,20.30,49.27
17,20.30,49.26
18,20.27,49.33
19,20.43,48.94
20,20.40,49.02
21,20.28,49.32
22,20.26,49.36
23,20.24,49.41
24,20.26,49.37
25,20.26,49.36
26,20.26,49.35
27,20.23,49.42
28,20.23,49.43
29,20.59,48.56
30,20.31,49.24

# Bounding Box Culling
Frame,Frame (ms),FPS
1,1.57,637.69
2,2.49,400.87
3,1.56,639.76
4,2.34,428.20
5,1.55,647.18
6,1.47,679.27
7,1.52,659.68
8,1.60,624.78
9,1.54,649.01
10,1.58,634.36
11,1.56,642.57
12,1.57,637.81
13,1.58,634.25
14,1.66,601.27
15,1.57,637.24
16,1.64,609.21
17,1.69,593.34
18,1.63,612.75
19,1.61,621.48
20,1.61,621.31
21,1.62,617.84
22,1.53,654.57
23,1.54,648.62
24,1.58,631.51
25,1.95,512.32
26,1.62,616.09
27,1.58,631.51
28,1.52,660.06
29,1.53,653.83
30,1.48,674.50

# t culling
Frame,Frame (ms),FPS
1,1.47,679.60
2,2.35,425.73
3,1.51,663.38
4,1.47,680.33
5,1.52,658.29
6,1.53,655.15
7,1.56,642.57
8,1.53,653.78
9,1.51,663.41
10,1.49,670.68
11,1.51,663.57
12,1.55,644.08
13,1.55,645.06
14,1.54,650.07
15,1.51,662.09
16,1.46,684.63
17,1.44,694.73
18,1.52,656.60
19,1.49,669.09
20,1.49,672.91
21,1.49,670.68
22,2.67,373.97
23,1.45,690.44
24,1.45,690.58
25,1.77,565.46
26,1.54,650.34
27,1.49,670.71
28,1.46,686.28
29,1.46,684.93
30,1.45,688.93

# KD tree
Frame,Frame (ms),FPS
1,1.41,707.35
2,2.53,395.83
3,1.43,698.18
4,1.43,701.49
5,1.40,712.80
6,1.42,706.68
7,1.49,671.00
8,1.49,670.78
9,1.41,710.13
10,1.41,711.09
11,1.41,707.77
12,1.40,713.82
13,1.46,685.58
14,1.46,684.33
15,1.45,691.05
16,1.46,684.83
17,1.43,700.23
18,1.45,688.31
19,1.45,688.62
20,1.43,699.25
21,1.42,702.07
22,1.39,719.36
23,1.36,735.85
24,1.36,736.34
25,1.75,572.79
26,1.38,726.93
27,1.38,725.90
28,1.41,711.35
29,1.38,722.14
30,1.41,710.13

