step,rot_degrees,frame_ms,fps
1,9,4585.84,0.218063
2,18,8169.35,0.122409
3,27,4678.05,0.213764
4,36,5043.74,0.198266
5,45,4318.54,0.23156
6,54,5271.34,0.189705
7,63,4310.26,0.232005
8,72,5266.03,0.189896
9,81,4680.66,0.213645
10,90,4607.99,0.217014
11,99,4318.36,0.23157
12,108,5148.56,0.194229
13,117,4311.01,0.231964
14,126,4891.88,0.20442
15,135,4680.08,0.213672
16,144,4679.78,0.213685
17,153,4312.15,0.231903
18,162,4314.31,0.231787
19,171,4314.9,0.231755
20,180,5148.88,0.194217
21,189,4318.02,0.231588
22,198,5149.07,0.19421
23,207,4315.82,0.231706
24,216,4310.28,0.232003
25,225,4315.58,0.231719
26,234,4322.73,0.231335
27,243,4316.35,0.231677
28,252,4313.41,0.231835
29,261,4314.76,0.231763
30,270,4318.89,0.231541
31,279,4313.09,0.231852
32,288,4316.28,0.231681
33,297,4316.01,0.231695
34,306,5148.89,0.194217
35,315,4314.25,0.23179
36,324,5148.99,0.194213
37,333,4310.18,0.232009
38,342,5148.01,0.19425
39,351,4317.75,0.231602
40,360,5149.24,0.194203
