# Baseline
Frame,Frame (ms),FPS
1,4318.36,0.23
2,5148.56,0.19
3,4311.01,0.23
4,4891.88,0.20
5,4680.08,0.21
6,4679.78,0.21
7,4312.15,0.23
8,4314.31,0.23
9,4314.90,0.23
10,5148.88,0.19
11,4318.02,0.23
12,5149.07,0.19
13,4315.82,0.23
14,4310.28,0.23
15,4315.58,0.23
16,4322.73,0.23
17,4316.35,0.23
18,4313.41,0.23
19,4314.76,0.23
20,4318.89,0.23
21,4313.09,0.23
22,4316.28,0.23
23,4316.01,0.23
24,5148.89,0.19
25,4314.25,0.23
26,5148.99,0.19
27,4310.18,0.23
28,5148.01,0.19
29,4317.75,0.23
30,5149.24,0.19

# Bounding Box Culling
Frame,Frame (ms),FPS
1,59.91,16.69
2,58.41,17.12
3,59.91,16.69
4,47.41,21.09
5,28.45,35.15
6,17.61,56.79
7,13.42,74.50
8,10.71,93.39
9,10.77,92.87
10,8.55,116.92
11,7.17,139.56
12,6.86,145.67
13,5.78,172.96
14,5.48,182.44
15,4.64,215.41
16,3.95,252.95
17,3.06,326.84
18,2.95,339.03
19,2.26,442.89
20,1.88,532.98
21,2.04,490.97
22,2.34,427.75
23,2.75,363.41
24,3.19,313.50
25,4.03,248.12
26,5.95,168.18
27,6.13,163.02
28,6.03,165.88
29,6.53,153.24
30,7.26,137.82

# t culling
Frame,Frame (ms),FPS
1,8.38,119.30
2,13.03,76.73
3,16.19,61.76
4,19.43,51.47
5,16.34,61.19
6,12.94,77.27
7,10.97,91.12
8,8.89,112.47
9,8.90,112.30
10,7.69,130.09
11,6.76,147.82
12,6.20,161.18
13,5.53,180.74
14,5.20,192.32
15,4.29,233.02
16,3.50,286.02
17,2.58,387.30
18,2.10,475.88
19,1.74,573.57
20,1.38,724.79
21,1.55,643.33
22,1.92,520.77
23,2.36,423.89
24,2.92,343.03
25,3.86,259.16
26,4.68,213.81
27,5.32,187.92
28,5.59,178.95
29,6.20,161.26
30,6.93,144.20

# KD tree
Frame,Frame (ms),FPS
1,7.12,140.35
2,10.87,92.03
3,14.25,70.18
4,15.61,64.08
5,13.77,72.64
6,10.93,91.50
7,8.42,118.73
8,7.59,131.75
9,7.86,127.20
10,6.97,143.49
11,6.48,154.21
12,6.21,161.00
13,5.58,179.05
14,4.81,207.75
15,4.67,214.16
16,3.93,254.24
17,3.20,312.79
18,2.54,393.72
19,1.98,504.85
20,1.50,668.08
21,1.83,545.01
22,2.28,437.79
23,2.83,352.76
24,3.62,276.15
25,4.29,232.96
26,4.97,201.38
27,5.04,198.29
28,5.43,184.30
29,5.81,172.04
30,6.27,159.44

