step,rot_degrees,frame_ms,fps
1,9,174.435,5.73281
2,18,190.303,5.25477
3,27,178.089,5.61516
4,36,173.232,5.7726
5,45,177.48,5.63442
6,54,161.842,6.17885
7,63,157.375,6.35425
8,72,156.697,6.38176
9,81,152.245,6.56836
10,90,151.23,6.61244
11,99,152.022,6.57798
12,108,155.169,6.44457
13,117,157.656,6.34294
14,126,160.396,6.23457
15,135,162.937,6.13736
16,144,164.88,6.06502
17,153,165.7,6.03501
18,162,169.154,5.91178
19,171,170.665,5.85945
20,180,171.17,5.84213
21,189,171.901,5.81729
22,198,171.56,5.82886
23,207,172.693,5.79063
24,216,170.535,5.86389
25,225,168.78,5.92488
26,234,167.891,5.95623
27,243,165.491,6.04264
28,252,160.481,6.23125
29,261,156.731,6.38038
30,270,155.376,6.43602
31,279,157.123,6.36445
32,288,160.596,6.22681
33,297,165.429,6.04489
34,306,166.683,5.99943
35,315,169.374,5.90408
36,324,170.895,5.85154
37,333,171.904,5.8172
38,342,173.546,5.76218
39,351,172.122,5.80985
40,360,171.249,5.83944
