# Baseline
Frame,Frame (ms),FPS
1,152.02,6.58
2,155.17,6.44
3,157.66,6.34
4,160.40,6.23
5,162.94,6.14
6,164.88,6.07
7,165.70,6.04
8,169.15,5.91
9,170.66,5.86
10,171.17,5.84
11,171.90,5.82
12,171.56,5.83
13,172.69,5.79
14,170.53,5.86
15,168.78,5.92
16,167.89,5.96
17,165.49,6.04
18,160.48,6.23
19,156.73,6.38
20,155.38,6.44
21,157.12,6.36
22,160.60,6.23
23,165.43,6.04
24,166.68,6.00
25,169.37,5.90
26,170.90,5.85
27,171.90,5.82
28,173.55,5.76
29,172.12,5.81
30,171.25,5.84

# Bounding Box Culling
Frame,Frame (ms),FPS
1,6.89,145.22
2,7.45,134.18
3,7.77,128.67
4,8.06,124.04
5,8.38,119.40
6,8.62,115.97
7,8.87,112.73
8,9.15,109.28
9,9.16,109.17
10,9.30,107.49
11,9.48,105.44
12,10.39,96.29
13,9.74,102.71
14,9.67,103.43
15,9.54,104.80
16,9.21,108.56
17,8.89,112.50
18,8.44,118.49
19,8.06,124.00
20,7.66,130.60
21,8.19,122.14
22,8.59,116.38
23,9.06,110.38
24,9.35,107.00
25,9.48,105.53
26,9.39,106.44
27,9.23,108.30
28,8.96,111.60
29,8.83,113.19
30,8.72,114.65

# t culling
Frame,Frame (ms),FPS
1,5.38,185.86
2,5.74,174.26
3,5.99,166.98
4,6.02,166.01
5,6.20,161.18
6,6.44,155.33
7,6.79,147.18
8,7.07,141.43
9,7.38,135.55
10,7.38,135.51
11,7.42,134.77
12,8.32,120.17
13,7.57,132.15
14,7.51,133.20
15,7.50,133.40
16,7.36,135.90
17,7.25,137.95
18,6.75,148.17
19,6.16,162.34
20,5.83,171.59
21,6.38,156.67
22,6.76,147.87
23,7.03,142.17
24,7.31,136.81
25,11.15,89.65
26,13.55,73.82
27,7.70,129.79
28,7.61,131.47
29,7.52,133.04
30,7.35,136.10

# KD tree
Frame,Frame (ms),FPS
1,3.64,274.58
2,3.87,258.29
3,4.07,245.69
4,4.12,242.74
5,4.21,237.70
6,4.38,228.47
7,4.69,213.29
8,5.06,197.81
9,5.34,187.24
10,5.54,180.59
11,5.51,181.36
12,6.35,157.42
13,5.61,178.19
14,5.52,181.26
15,5.40,185.17
16,5.22,191.68
17,5.00,200.18
18,4.76,210.03
19,4.37,229.05
20,4.10,243.95
21,4.46,224.18
22,4.67,214.01
23,4.95,202.22
24,5.21,192.07
25,5.38,185.79
26,5.57,179.59
27,5.60,178.50
28,5.55,180.03
29,5.47,182.96
30,5.45,183.48

