step,rot_degrees,frame_ms,fps
1,9,4311.38,0.231944
2,18,4313.74,0.231817
3,27,4325.23,0.231202
4,36,4313.82,0.231813
5,45,4311.48,0.231939
6,54,5267.37,0.189848
7,63,4314.29,0.231788
8,72,5269.38,0.189776
9,81,4315.77,0.231708
10,90,5269.97,0.189754
11,99,4314.53,0.231775
12,108,5262.53,0.190022
13,117,4312.99,0.231858
14,126,4315.4,0.231728
15,135,4309.88,0.232025
16,144,5264.98,0.189934
17,153,4311.81,0.231921
18,162,5269.44,0.189773
19,171,4309.42,0.23205
20,180,5269.43,0.189774
21,189,4313.84,0.231812
22,198,5265.29,0.189923
23,207,4309.39,0.232051
24,216,5269.93,0.189756
25,225,4310.97,0.231966
26,234,5270.26,0.189744
27,243,4314.05,0.231801
28,252,4309.9,0.232024
29,261,4316.35,0.231677
30,270,4531.36,0.220684
31,279,4314.64,0.231769
32,288,5269.38,0.189775
33,297,4311.27,0.23195
34,306,5265.16,0.189928
35,315,4315.83,0.231705
36,324,4981.83,0.20073
37,333,4310.18,0.232009
38,342,5261.98,0.190043
39,351,4311.95,0.231914
40,360,5268.18,0.189819
