# Baseline
Frame,Frame (ms),FPS
1,4314.53,0.23
2,5262.53,0.19
3,4312.99,0.23
4,4315.40,0.23
5,4309.88,0.23
6,5264.98,0.19
7,4311.81,0.23
8,5269.44,0.19
9,4309.42,0.23
10,5269.43,0.19
11,4313.84,0.23
12,5265.29,0.19
13,4309.39,0.23
14,5269.93,0.19
15,4310.97,0.23
16,5270.26,0.19
17,4314.05,0.23
18,4309.90,0.23
19,4316.35,0.23
20,4531.36,0.22
21,4314.64,0.23
22,5269.38,0.19
23,4311.27,0.23
24,5265.16,0.19
25,4315.83,0.23
26,4981.83,0.20
27,4310.18,0.23
28,5261.98,0.19
29,4311.95,0.23
30,5268.18,0.19

# Bounding Box Culling
Frame,Frame (ms),FPS
1,90.63,11.03
2,91.71,10.90
3,92.00,10.87
4,92.04,10.87
5,91.79,10.89
6,91.05,10.98
7,92.03,10.87
8,93.29,10.72
9,95.37,10.49
10,98.14,10.19
11,101.86,9.82
12,107.54,9.30
13,111.55,8.96
14,112.20,8.91
15,113.09,8.84
16,113.94,8.78
17,113.35,8.82
18,113.01,8.85
19,112.13,8.92
20,111.35,8.98
21,110.97,9.01
22,112.43,8.89
23,112.34,8.90
24,114.59,8.73
25,114.37,8.74
26,112.11,8.92
27,110.41,9.06
28,107.68,9.29
29,104.64,9.56
30,100.83,9.92

# t culling
Frame,Frame (ms),FPS
1,41.88,23.88
2,41.15,24.30
3,40.64,24.60
4,42.29,23.65
5,43.21,23.14
6,42.75,23.39
7,41.98,23.82
8,41.00,24.39
9,40.28,24.83
10,42.11,23.75
11,44.09,22.68
12,46.59,21.46
13,50.29,19.88
14,52.17,19.17
15,54.84,18.23
16,56.81,17.60
17,57.71,17.33
18,57.82,17.30
19,57.98,17.25
20,57.18,17.49
21,57.16,17.50
22,57.27,17.46
23,57.11,17.51
24,55.06,18.16
25,48.58,20.59
26,45.30,22.07
27,44.76,22.34
28,48.88,20.46
29,46.97,21.29
30,45.34,22.06

# KD tree
Frame,Frame (ms),FPS
1,34.27,29.18
2,35.30,28.33
3,37.72,26.51
4,36.47,27.42
5,36.89,27.11
6,37.14,26.92
7,38.02,26.30
8,38.21,26.17
9,38.89,25.72
10,38.71,25.84
11,39.90,25.06
12,41.39,24.16
13,43.20,23.15
14,43.78,22.84
15,45.09,22.18
16,46.94,21.31
17,47.20,21.19
18,47.39,21.10
19,46.46,21.52
20,46.02,21.73
21,46.93,21.31
22,47.74,20.95
23,48.84,20.48
24,48.79,20.50
25,48.42,20.65
26,47.42,21.09
27,45.94,21.77
28,44.01,22.72
29,39.12,25.56
30,37.02,27.01

