step,rot_degrees,frame_ms,fps
1,9,946.718,1.05628
2,18,956.118,1.0459
3,27,951.513,1.05096
4,36,949.836,1.05281
5,45,947.969,1.05489
6,54,950.413,1.05217
7,63,950.249,1.05236
8,72,946.302,1.05675
9,81,953.788,1.04845
10,90,949.541,1.05314
11,99,949.539,1.05314
12,108,947.368,1.05556
13,117,949.518,1.05317
14,126,995.262,1.00476
15,135,948.051,1.0548
16,144,949.745,1.05291
17,153,948.248,1.05458
18,162,947.99,1.05486
19,171,953.746,1.0485
20,180,944.5,1.05876
21,189,948.044,1.0548
22,198,949.63,1.05304
23,207,948.784,1.05398
24,216,948.332,1.05448
25,225,950.776,1.05177
26,234,948.583,1.0542
27,243,951.129,1.05138
28,252,949.431,1.05326
29,261,946.433,1.0566
30,270,947.072,1.05589
31,279,947.028,1.05594
32,288,949.043,1.05369
33,297,947.938,1.05492
34,306,950.657,1.0519
35,315,947.874,1.05499
36,324,948.163,1.05467
37,333,950.077,1.05255
38,342,944.85,1.05837
39,351,947.984,1.05487
40,360,950.042,1.05259
