# Baseline
Frame,Frame (ms),FPS
1,949.54,1.05
2,947.37,1.06
3,949.52,1.05
4,995.26,1.00
5,948.05,1.05
6,949.75,1.05
7,948.25,1.05
8,947.99,1.05
9,953.75,1.05
10,944.50,1.06
11,948.04,1.05
12,949.63,1.05
13,948.78,1.05
14,948.33,1.05
15,950.78,1.05
16,948.58,1.05
17,951.13,1.05
18,949.43,1.05
19,946.43,1.06
20,947.07,1.06
21,947.03,1.06
22,949.04,1.05
23,947.94,1.05
24,950.66,1.05
25,947.87,1.05
26,948.16,1.05
27,950.08,1.05
28,944.85,1.06
29,947.98,1.05
30,950.04,1.05

# Bounding Box Culling
Frame,Frame (ms),FPS
1,9.27,107.88
2,12.39,80.71
3,15.17,65.91
4,18.12,55.18
5,20.95,47.73
6,22.99,43.50
7,24.91,40.15
8,25.55,39.14
9,26.40,37.88
10,26.48,37.76
11,26.05,38.38
12,25.03,39.95
13,23.67,42.24
14,22.50,44.44
15,20.70,48.31
16,19.28,51.88
17,15.83,63.18
18,13.27,75.35
19,9.90,100.99
20,4.22,236.97
21,9.93,100.74
22,13.22,75.63
23,15.71,63.65
24,18.41,54.33
25,20.92,47.80
26,22.69,44.08
27,24.71,40.47
28,25.70,38.91
29,26.14,38.25
30,26.06,38.37

# t culling
Frame,Frame (ms),FPS
1,8.02,124.72
2,11.81,84.68
3,14.89,67.14
4,18.10,55.25
5,20.96,47.71
6,23.13,43.23
7,25.14,39.78
8,25.82,38.73
9,26.76,37.37
10,26.82,37.28
11,26.45,37.80
12,25.38,39.40
13,23.97,41.73
14,22.75,43.95
15,20.87,47.92
16,19.38,51.60
17,17.11,58.44
18,12.81,78.07
19,9.16,109.22
20,2.81,355.66
21,8.07,123.95
22,12.53,79.81
23,15.47,64.65
24,18.41,54.33
25,21.02,47.57
26,23.42,42.70
27,24.14,41.42
28,25.76,38.82
29,26.09,38.33
30,26.45,37.81

# KD tree
Frame,Frame (ms),FPS
1,1.48,676.13
2,1.66,603.97
3,1.74,575.15
4,1.85,541.63
5,2.91,343.77
6,2.22,450.60
7,3.58,278.99
8,2.22,449.95
9,2.23,448.73
10,2.51,399.10
11,2.17,460.87
12,2.17,461.23
13,2.14,466.79
14,2.12,472.29
15,2.03,493.13
16,2.25,443.71
17,1.82,548.78
18,1.67,600.14
19,1.57,638.53
20,1.18,846.20
21,1.56,642.68
22,1.66,602.12
23,2.36,423.46
24,1.93,518.27
25,2.58,387.69
26,2.21,451.84
27,2.25,443.94
28,2.20,453.54
29,2.25,443.48
30,2.43,410.71

