step,rot_degrees,frame_ms,fps
1,9,28.1658,35.5041
2,18,32.5043,30.7651
3,27,24.631,40.5992
4,36,23.6762,42.2365
5,45,20.8296,48.0087
6,54,18.9288,52.8296
7,63,15.824,63.195
8,72,12.8522,77.8076
9,81,8.40936,118.915
10,90,3.39518,294.535
11,99,8.01827,124.715
12,108,11.8091,84.6806
13,117,14.8947,67.138
14,126,18.0987,55.2525
15,135,20.9582,47.7141
16,144,23.132,43.2302
17,153,25.141,39.7757
18,162,25.8175,38.7335
19,171,26.763,37.365
20,180,26.8206,37.2848
21,189,26.4536,37.802
22,198,25.3799,39.4013
23,207,23.9658,41.7261
24,216,22.7522,43.9518
25,225,20.8671,47.9223
26,234,19.381,51.597
27,243,17.111,58.4418
28,252,12.8092,78.0688
29,261,9.15542,109.225
30,270,2.81168,355.659
31,279,8.0677,123.951
32,288,12.5294,79.8126
33,297,15.4688,64.6462
34,306,18.4053,54.3321
35,315,21.0232,47.5666
36,324,23.4191,42.7001
37,333,24.1404,41.4243
38,342,25.7602,38.8196
39,351,26.0887,38.3307
40,360,26.4462,37.8126
