step,rot_degrees,frame_ms,fps
1,9,2546.61,0.392679
2,18,2538.12,0.393992
3,27,2546.6,0.39268
4,36,2579.63,0.387652
5,45,2592.17,0.385778
6,54,2567.53,0.38948
7,63,2568.71,0.389301
8,72,2564.3,0.389969
9,81,2566.58,0.389624
10,90,2564.21,0.389984
11,99,2566.81,0.389589
12,108,2564.71,0.389907
13,117,2567.46,0.38949
14,126,2554.37,0.391486
15,135,2559.36,0.390722
16,144,2554.27,0.391501
17,153,2543.52,0.393155
18,162,2547.44,0.392551
19,171,2539.84,0.393726
20,180,2543.4,0.393174
21,189,2560.06,0.390615
22,198,2559.91,0.390638
23,207,2566.4,0.38965
24,216,2562.42,0.390256
25,225,2550.51,0.392078
26,234,2515.92,0.397469
27,243,2542.16,0.393366
28,252,2540.48,0.393627
29,261,2545.61,0.392833
30,270,2551.02,0.392
31,279,2550.96,0.39201
32,288,2544.85,0.39295
33,297,2554.94,0.391399
34,306,2549.58,0.392221
35,315,2561.07,0.390461
36,324,2565.66,0.389763
37,333,2564.13,0.389996
38,342,2564.51,0.389939
39,351,2554.97,0.391394
40,360,2544.86,0.392949
