step,rot_degrees,frame_ms,fps
1,9,28.6417,34.9141
2,18,31.1995,32.0518
3,27,23.3505,42.8257
4,36,22.392,44.6588
5,45,21.8479,45.771
6,54,22.4125,44.618
7,63,22.7422,43.9711
8,72,23.1346,43.2253
9,81,22.689,44.0742
10,90,22.1048,45.2391
11,99,23.3986,42.7376
12,108,24.3891,41.0019
13,117,24.7383,40.4231
14,126,24.4147,40.9589
15,135,24.5088,40.8017
16,144,26.4047,37.8721
17,153,26.917,37.1512
18,162,29.0169,34.4627
19,171,31.5124,31.7335
20,180,33.9675,29.4399
21,189,36.9886,27.0353
22,198,38.4144,26.0319
23,207,40.1812,24.8872
24,216,41.4861,24.1045
25,225,42.3471,23.6143
26,234,41.6085,24.0336
27,243,41.7866,23.9311
28,252,41.1681,24.2907
29,261,40.4265,24.7362
30,270,39.0519,25.607
31,279,41.197,24.2736
32,288,41.8507,23.8945
33,297,41.1944,24.2751
34,306,42.8439,23.3405
35,315,39.3149,25.4356
36,324,37.62,26.5816
37,333,35.5104,28.1608
38,342,33.1968,30.1233
39,351,30.8748,32.3889
40,360,28.5397,35.0389
