# Baseline
Frame,Frame (ms),FPS
1,2566.81,0.39
2,2564.71,0.39
3,2567.46,0.39
4,2554.37,0.39
5,2559.36,0.39
6,2554.27,0.39
7,2543.52,0.39
8,2547.44,0.39
9,2539.84,0.39
10,2543.40,0.39
11,2560.06,0.39
12,2559.91,0.39
13,2566.40,0.39
14,2562.42,0.39
15,2550.51,0.39
16,2515.92,0.40
17,2542.16,0.39
18,2540.48,0.39
19,2545.61,0.39
20,2551.02,0.39
21,2550.96,0.39
22,2544.85,0.39
23,2554.94,0.39
24,2549.58,0.39
25,2561.07,0.39
26,2565.66,0.39
27,2564.13,0.39
28,2564.51,0.39
29,2554.97,0.39
30,2544.86,0.39

# Bounding Box Culling
Frame,Frame (ms),FPS
1,23.40,42.74
2,24.39,41.00
3,24.74,40.42
4,24.41,40.96
5,24.51,40.80
6,26.40,37.87
7,26.92,37.15
8,29.02,34.46
9,31.51,31.73
10,33.97,29.44
11,36.99,27.04
12,38.41,26.03
13,40.18,24.89
14,41.49,24.10
15,42.35,23.61
16,41.61,24.03
17,41.79,23.93
18,41.17,24.29
19,40.43,24.74
20,39.05,25.61
21,41.20,24.27
22,41.85,23.89
23,41.19,24.28
24,42.84,23.34
25,39.31,25.44
26,37.62,26.58
27,35.51,28.16
28,33.20,30.12
29,30.87,32.39
30,28.54,35.04

# t culling
Frame,Frame (ms),FPS
1,17.79,56.22
2,18.49,54.08
3,18.56,53.88
4,18.11,55.22
5,17.87,55.95
6,18.43,54.25
7,19.17,52.17
8,20.43,48.96
9,22.27,44.90
10,24.11,41.47
11,25.94,38.55
12,26.84,37.25
13,27.87,35.88
14,28.29,35.35
15,27.90,35.84
16,28.08,35.62
17,36.20,27.63
18,36.60,27.32
19,33.00,30.30
20,31.83,31.42
21,29.44,33.97
22,30.64,32.64
23,29.38,34.04
24,28.98,34.51
25,28.04,35.66
26,32.96,30.34
27,27.84,35.93
28,27.00,37.04
29,23.06,43.37
30,20.69,48.33

# KD tree
Frame,Frame (ms),FPS
1,21.35,46.83
2,21.46,46.59
3,21.59,46.31
4,21.25,47.06
5,20.97,47.69
6,21.76,45.95
7,21.55,46.40
8,21.78,45.92
9,22.42,44.61
10,23.58,42.41
11,24.87,40.21
12,25.59,39.08
13,26.40,37.88
14,27.29,36.64
15,27.32,36.60
16,27.43,36.45
17,25.46,39.27
18,25.23,39.63
19,23.97,41.73
20,22.79,43.87
21,23.63,42.31
22,24.72,40.46
23,24.89,40.18
24,25.36,39.43
25,25.78,38.78
26,26.10,38.31
27,26.00,38.46
28,25.53,39.17
29,24.83,40.27
30,24.06,41.55

