step,rot_degrees,frame_ms,fps
1,9,4312.08,0.231907
2,18,6941.74,0.144056
3,27,4315.48,0.231724
4,36,4314.24,0.23179
5,45,4312.52,0.231883
6,54,5268.46,0.189809
7,63,4314.59,0.231772
8,72,5264.16,0.189964
9,81,4315.24,0.231737
10,90,5263.87,0.189974
11,99,4309.01,0.232072
12,108,5269.56,0.189769
13,117,4311.3,0.231949
14,126,4310.28,0.232004
15,135,4315.3,0.231733
16,144,5269.29,0.189779
17,153,4311.8,0.231922
18,162,5269.37,0.189776
19,171,4311.34,0.231946
20,180,5270.68,0.189729
21,189,4312.34,0.231893
22,198,5271.7,0.189692
23,207,4315.73,0.23171
24,216,5263.82,0.189976
25,225,4315.24,0.231737
26,234,5265.34,0.189921
27,243,4681.27,0.213617
28,252,4309.92,0.232023
29,261,4315.73,0.231711
30,270,5268.8,0.189797
31,279,4310.23,0.232006
32,288,5270.35,0.189741
33,297,4309.36,0.232053
34,306,5269.22,0.189781
35,315,4316.46,0.231671
36,324,5269.49,0.189772
37,333,4313.29,0.231841
38,342,5269.36,0.189776
39,351,4316.53,0.231667
40,360,5265.15,0.189928
