step,rot_degrees,frame_ms,fps
1,9,132.409,7.55235
2,18,117.299,8.52521
3,27,109.051,9.16998
4,36,102.504,9.75573
5,45,93.1753,10.7325
6,54,100.22,9.97806
7,63,107.439,9.30759
8,72,106.101,9.42502
9,81,104.196,9.59725
10,90,104.8,9.542
11,99,105.498,9.47884
12,108,105.606,9.46914
13,117,108.313,9.23247
14,126,110.325,9.06413
15,135,115.29,8.67379
16,144,119.599,8.36131
17,153,126.585,7.89981
18,162,128.651,7.77298
19,171,133.679,7.48059
20,180,139.661,7.1602
21,189,140.903,7.0971
22,198,144,6.94444
23,207,150.19,6.65825
24,216,154.485,6.47314
25,225,157.936,6.33168
26,234,167.149,5.9827
27,243,172.026,5.81309
28,252,173.574,5.76122
29,261,171.876,5.81814
30,270,171.914,5.81687
31,279,170.864,5.8526
32,288,171.765,5.82189
33,297,171.595,5.82768
34,306,190.427,5.25135
35,315,162.414,6.15711
36,324,164.58,6.07606
37,333,152.902,6.54014
38,342,160.223,6.2413
39,351,145.969,6.85078
40,360,135.793,7.36413
