# Baseline
Frame,Frame (ms),FPS
1,4309.01,0.23
2,5269.56,0.19
3,4311.30,0.23
4,4310.28,0.23
5,4315.30,0.23
6,5269.29,0.19
7,4311.80,0.23
8,5269.37,0.19
9,4311.34,0.23
10,5270.68,0.19
11,4312.34,0.23
12,5271.70,0.19
13,4315.73,0.23
14,5263.82,0.19
15,4315.24,0.23
16,5265.34,0.19
17,4681.27,0.21
18,4309.92,0.23
19,4315.73,0.23
20,5268.80,0.19
21,4310.23,0.23
22,5270.35,0.19
23,4309.36,0.23
24,5269.22,0.19
25,4316.46,0.23
26,5269.49,0.19
27,4313.29,0.23
28,5269.36,0.19
29,4316.53,0.23
30,5265.15,0.19

# Bounding Box Culling
Frame,Frame (ms),FPS
1,110.80,9.03
2,107.27,9.32
3,107.23,9.33
4,104.61,9.56
5,104.39,9.58
6,108.79,9.19
7,112.64,8.88
8,122.80,8.14
9,136.06,7.35
10,153.82,6.50
11,172.73,5.79
12,190.64,5.25
13,203.72,4.91
14,211.93,4.72
15,216.45,4.62
16,218.35,4.58
17,220.43,4.54
18,217.98,4.59
19,215.60,4.64
20,209.54,4.77
21,211.59,4.73
22,213.78,4.68
23,213.09,4.69
24,211.90,4.72
25,208.50,4.80
26,203.88,4.90
27,196.39,5.09
28,184.45,5.42
29,169.51,5.90
30,149.53,6.69

# t culling
Frame,Frame (ms),FPS
1,47.40,21.10
2,45.61,21.93
3,45.83,21.82
4,42.75,23.39
5,40.42,24.74
6,40.83,24.49
7,41.26,24.24
8,44.85,22.30
9,50.03,19.99
10,57.61,17.36
11,62.74,15.94
12,65.09,15.36
13,69.38,14.41
14,68.01,14.70
15,72.77,13.74
16,74.73,13.38
17,77.31,12.94
18,77.48,12.91
19,77.19,12.95
20,75.64,13.22
21,76.09,13.14
22,75.76,13.20
23,74.61,13.40
24,71.52,13.98
25,69.14,14.46
26,64.75,15.44
27,65.39,15.29
28,61.96,16.14
29,60.87,16.43
30,55.78,17.93

# KD tree
Frame,Frame (ms),FPS
1,105.50,9.48
2,105.61,9.47
3,108.31,9.23
4,110.33,9.06
5,115.29,8.67
6,119.60,8.36
7,126.58,7.90
8,128.65,7.77
9,133.68,7.48
10,139.66,7.16
11,140.90,7.10
12,144.00,6.94
13,150.19,6.66
14,154.49,6.47
15,157.94,6.33
16,167.15,5.98
17,172.03,5.81
18,173.57,5.76
19,171.88,5.82
20,171.91,5.82
21,170.86,5.85
22,171.76,5.82
23,171.59,5.83
24,190.43,5.25
25,162.41,6.16
26,164.58,6.08
27,152.90,6.54
28,160.22,6.24
29,145.97,6.85
30,135.79,7.36

