# Bounding Box Culling
Frame,Frame (ms),FPS
1,1.43,696.92
2,1.49,671.78
3,1.47,678.59
4,1.48,675.07
5,1.48,674.23
6,1.43,701.72
7,1.42,705.64
8,1.51,661.58
9,1.70,589.24
10,1.52,656.03
11,1.52,657.10
12,1.46,684.74
13,1.45,690.43
14,1.46,686.26
15,1.90,525.67
16,1.56,640.36
17,1.55,646.71
18,1.52,656.26
19,1.55,644.05
20,1.55,645.73
21,1.53,654.04
22,1.54,648.44
23,1.47,678.26
24,1.52,658.39
25,1.55,647.23
26,1.45,687.51
27,3.96,252.83
28,1.54,649.73
29,1.51,661.20
30,1.52,657.26
31,1.45,691.08
32,1.45,691.30
33,1.52,657.19
34,1.48,677.44
35,1.70,589.18
36,1.53,653.47
37,1.52,657.20
38,1.48,677.00
39,1.48,673.55
40,1.48,673.99
41,1.54,647.84
42,1.49,671.73
43,1.51,661.28
44,1.52,659.82
45,1.49,671.67
46,1.52,657.46
47,1.49,672.17
48,1.49,669.91
49,1.49,669.11
50,1.50,668.57
51,1.50,668.73
52,1.54,651.26
53,1.53,655.59
54,1.49,669.75
55,1.50,667.74
56,1.49,671.08
57,1.49,671.22
58,1.52,655.86
59,1.52,658.38
60,1.82,549.99
61,1.53,655.66
62,1.50,665.57
63,1.49,669.01
64,1.51,660.15
65,1.53,653.62
66,1.49,671.66
67,1.51,660.60
68,1.53,654.79
69,1.51,663.18
70,1.53,653.73
71,1.55,643.89
72,1.55,645.43
73,1.55,644.02
74,1.50,668.11
75,1.53,652.75
76,1.57,638.20
77,1.57,638.23
78,1.53,651.94
79,1.57,637.45
80,1.75,570.57
81,1.58,634.45
82,1.54,649.22
83,1.67,597.03
84,1.74,575.68
85,1.74,574.40
86,1.77,563.97
87,1.74,573.08
88,1.75,572.65
89,1.79,559.33
90,1.76,568.00
91,1.73,576.69
92,1.78,560.65
93,1.73,576.66
94,1.76,567.51
95,1.78,563.34
96,1.77,564.28
97,1.77,564.38
98,1.81,553.74
99,1.81,551.89
100,1.78,560.67
101,1.81,552.04
102,1.78,561.31
103,1.78,560.90
104,1.82,550.32
105,2.21,453.11
106,1.82,549.20
107,1.82,548.00
108,1.80,554.49
109,1.82,548.57
110,1.82,548.54
111,1.80,556.71
112,1.83,547.78
113,1.82,549.03
114,1.80,555.96
115,1.79,557.75
116,1.82,549.54
117,1.80,556.15
118,1.78,560.81
119,1.79,558.60
120,1.79,559.52
121,1.78,562.53
122,1.77,563.79
123,1.78,561.42
124,1.78,563.35
125,1.94,516.63
126,1.78,563.28
127,1.78,562.23
128,1.71,585.79
129,1.79,557.34
130,1.80,554.09
131,1.76,569.21
132,1.78,560.60
133,1.77,564.68
134,1.77,564.05
135,1.78,562.62
136,1.78,562.96
137,1.76,567.40
138,1.77,563.82
139,1.78,563.02
140,1.74,576.19
141,1.76,568.06
142,1.76,569.69
143,1.76,568.74
144,1.75,570.13
145,1.72,580.90
146,1.75,570.61
147,1.75,571.52
148,1.72,582.67
149,1.76,567.97
150,1.76,569.52
151,2.06,485.53
152,1.77,566.09
153,3.62,276.54
154,3.57,280.21
155,3.58,279.02
156,3.23,309.85
157,3.18,314.19
158,3.23,309.53
159,3.19,313.26
160,3.22,310.53
161,3.24,308.73
162,3.20,312.83
163,3.20,312.31
164,3.23,309.90
165,3.20,312.84
166,3.23,309.21
167,3.34,299.67
168,3.30,302.62
169,3.33,300.24
170,3.51,284.64
171,3.31,301.90
172,3.34,299.12
173,3.25,307.24
174,3.32,301.25
175,3.33,300.67
176,3.30,302.70
177,3.30,303.09
178,3.34,299.69
179,3.47,287.92
180,3.48,287.62
181,3.47,288.00
182,3.38,296.06
183,3.45,289.82
184,3.43,291.25
185,3.42,292.54
186,3.43,291.74
187,3.42,292.48
188,3.38,295.88
189,3.38,295.44
190,3.37,297.14
191,4.05,247.17
192,4.07,245.59
193,4.04,247.45
194,4.01,249.34
195,5.38,185.76
196,3.90,256.16
197,4.03,248.40
198,4.01,249.59
199,3.95,252.86
200,4.00,249.87

# t culling
Frame,Frame (ms),FPS
1,1.44,692.76
2,1.41,708.65
3,1.42,706.54
4,1.41,711.46
5,1.48,676.35
6,1.46,684.62
7,1.48,675.00
8,1.51,660.27
9,1.55,644.17
10,1.54,650.05
11,1.43,700.36
12,1.43,700.64
13,1.43,701.65
14,1.49,669.56
15,1.44,694.41
16,1.81,551.21
17,1.46,686.37
18,1.51,662.06
19,1.52,658.40
20,1.51,661.45
21,1.46,687.12
22,1.46,686.03
23,1.46,685.27
24,1.45,690.41
25,1.47,681.97
26,2.74,365.60
27,1.51,660.41
28,1.45,690.12
29,1.52,659.81
30,1.51,661.47
31,1.51,660.18
32,1.49,672.53
33,1.50,666.36
