step,rot_degrees,frame_ms,fps
1,1.63636,82.827,12.0734
2,3.27273,16.2035,61.7149
3,4.90909,14.0256,71.298
4,6.54545,13.7479,72.7384
5,8.18182,7.57061,132.09
6,9.81818,7.9042,126.515
7,11.4545,7.72701,129.416
8,13.0909,7.90878,126.442
9,14.7273,8.05918,124.082
10,16.3636,8.15894,122.565
11,18,9.03171,110.721
12,19.6364,7.38875,135.341
13,21.2727,7.54069,132.614
14,22.9091,7.62346,131.174
15,24.5455,7.7696,128.707
16,26.1818,7.88731,126.786
17,27.8182,8.06899,123.931
18,29.4545,8.23836,121.383
19,31.0909,8.48691,117.829
20,32.7273,10.5616,94.6826
21,34.3636,9.63762,103.76
22,36,9.85699,101.451
23,37.6364,10.3661,96.4682
24,39.2727,10.4747,95.4683
25,40.9091,11.0154,90.7822
26,42.5455,11.4083,87.6552
27,44.1818,12.0068,83.286
28,45.8182,12.6018,79.3538
29,47.4545,13.1771,75.8891
30,49.0909,13.6795,73.1023
31,50.7273,14.1495,70.6737
32,52.3636,14.5017,68.9573
33,54,14.7894,67.616
34,55.6364,15.1264,66.1095
35,57.2727,15.1372,66.0624
36,58.9091,15.1658,65.938
37,60.5455,14.9545,66.8694
38,62.1818,14.4671,69.1224
39,63.8182,13.8358,72.2764
40,65.4545,13.0204,76.8026
41,67.0909,12.6776,78.8792
42,68.7273,11.8712,84.2371
43,70.3636,11.0849,90.2125
44,72,10.1382,98.6372
45,73.6364,9.44921,105.829
46,75.2727,8.93388,111.933
47,76.9091,8.15113,122.682
48,78.5455,7.35964,135.876
49,80.1818,6.56671,152.283
50,81.8182,5.74009,174.213
51,83.4545,4.86716,205.458
52,85.0909,3.7534,266.425
53,86.7273,2.34499,426.44
54,88.3636,1.70089,587.927
55,90,1.6462,607.461
56,91.6364,2.90449,344.295
57,93.2727,3.75177,266.541
58,94.9091,4.50142,222.152
59,96.5455,5.20759,192.027
60,98.1818,6.0983,163.98
61,99.8182,6.54689,152.744
62,101.455,7.23272,138.261
63,103.091,7.58308,131.872
64,104.727,8.54608,117.013
65,106.364,8.87422,112.686
66,108,10.0297,99.7043
67,109.636,10.1042,98.9683
68,111.273,11.0857,90.2067
69,112.909,11.4517,87.3235
70,114.545,11.6627,85.7431
71,116.182,12.3452,81.0032
72,117.818,12.9971,76.9403
73,119.455,13.4213,74.5083
74,121.091,13.8234,72.3409
75,122.727,13.883,72.0308
76,124.364,13.8547,72.1777
77,126,13.7269,72.8497
78,127.636,13.5015,74.0659
79,129.273,13.2697,75.3596
80,130.909,13.0452,76.6564
81,132.545,12.6789,78.8712
82,134.182,12.2763,81.4577
83,135.818,11.8143,84.6429
84,137.455,11.2656,88.7658
85,139.091,11.0806,90.2477
86,140.727,10.7251,93.2389
87,142.364,10.2316,97.736
88,144,9.63513,103.787
89,145.636,9.33029,107.178
90,147.273,9.11221,109.743
91,148.909,8.72484,114.615
92,150.545,8.48811,117.812
93,152.182,8.46084,118.192
94,153.818,8.23953,121.366
95,155.455,7.93574,126.012
96,157.091,7.76282,128.819
97,158.727,7.97737,125.355
98,160.364,7.78465,128.458
99,162,7.62544,131.14
100,163.636,7.72177,129.504
101,165.273,7.92132,126.242
102,166.909,7.4051,135.042
103,168.545,7.48706,133.564
104,170.182,7.31959,136.62
105,171.818,7.51045,133.148
106,173.455,7.18385,139.201
107,175.091,7.0902,141.04
108,176.727,7.07715,141.3
109,178.364,7.01781,142.495
110,180,6.92491,144.406
111,181.636,6.90971,144.724
112,183.273,6.80419,146.968
113,184.909,6.6502,150.371
114,186.545,6.52828,153.18
115,188.182,6.50778,153.662
116,189.818,6.36435,157.125
117,191.455,6.50039,153.837
118,193.091,6.68146,149.668
