# Bounding Box Culling
Frame,Frame (ms),FPS
1,19.96,50.09
2,20.40,49.03
3,17.02,58.75
4,17.82,56.12
5,19.62,50.98
6,21.94,45.59
7,24.83,40.27
8,28.06,35.64
9,31.02,32.23
10,35.02,28.56
11,38.27,26.13
12,42.54,23.51
13,45.88,21.79
14,50.54,19.79
15,52.86,18.92
16,75.04,13.33
17,64.02,15.62
18,62.93,15.89
19,62.33,16.04
20,60.89,16.42
21,60.11,16.63
22,58.78,17.01
23,59.90,16.70
24,59.66,16.76
25,59.96,16.68
26,59.62,16.77
27,60.13,16.63
28,60.65,16.49
29,61.68,16.21
30,62.64,15.96
31,69.51,14.39
32,62.51,16.00
33,36.65,27.29
34,30.54,32.74
35,24.20,41.33
36,57.85,17.29
37,60.13,16.63
38,59.47,16.81
39,58.81,17.01
40,57.93,17.26
41,57.39,17.42
42,56.82,17.60
43,57.86,17.28
44,57.83,17.29
45,57.00,17.54
46,57.50,17.39
47,57.69,17.33
48,57.44,17.41
49,58.26,17.17
50,59.85,16.71
51,59.61,16.78
52,59.72,16.75
53,60.77,16.46
54,56.50,17.70
55,53.58,18.66
56,50.69,19.73
57,47.01,21.27
58,43.48,23.00
59,39.28,25.46
60,36.29,27.55
61,33.10,30.22
62,30.26,33.04
63,26.97,37.07
64,23.62,42.33
65,21.23,47.11
66,19.46,51.38
67,18.33,54.55
68,17.41,57.45
69,16.37,61.09
70,15.88,62.98
71,14.84,67.37
72,14.07,71.06
73,13.30,75.18
74,12.77,78.33
75,12.13,82.47
76,11.99,83.42
77,11.56,86.47
78,10.96,91.25
79,10.49,95.31
80,10.15,98.56
81,9.94,100.64
82,9.34,107.06
83,8.98,111.33
84,9.34,107.12
85,8.70,115.01
86,8.40,119.07
87,8.53,117.24
88,8.34,119.89
89,7.98,125.26
90,8.06,124.00
91,7.95,125.73
92,7.80,128.21
93,7.45,134.32
94,7.63,131.04
95,7.13,140.28
96,7.17,139.47
97,6.98,143.26
98,6.86,145.83
99,6.76,147.90
100,6.57,152.26
101,6.41,155.93
102,6.34,157.66
103,6.48,154.36
104,6.04,165.44
105,5.98,167.12
106,6.09,164.09
107,5.92,168.87
108,5.76,173.55
109,5.92,168.84
110,5.86,170.66
111,5.72,174.96
112,5.51,181.57
113,5.39,185.65
114,5.34,187.29
115,5.05,198.00
116,5.00,200.07
117,4.82,207.47
118,4.60,217.41
119,4.49,222.85
120,4.33,230.78
121,4.35,230.08
122,3.99,250.51
123,3.82,261.67
124,3.63,275.36
125,3.78,264.85
126,3.33,300.08
127,3.16,316.21
128,3.06,326.65
129,2.97,337.17
130,2.97,337.26
131,2.80,356.64
132,2.76,362.83
133,2.68,372.86
134,2.61,382.97
135,2.52,396.30
136,2.47,404.21
137,2.43,412.28
138,2.38,420.67
139,2.31,433.64
140,2.28,439.03
141,2.20,454.00
142,2.18,459.43
143,2.03,491.99
144,1.95,513.32
145,1.85,540.07
146,1.86,537.13
147,1.86,538.90
148,1.92,519.78
149,2.00,500.50
150,2.05,488.41
151,2.11,474.78
152,2.18,458.25
153,2.16,462.82
154,2.23,448.09
155,2.31,432.84
156,2.35,425.76
157,2.38,419.71
158,2.48,402.69
159,2.55,391.89
160,2.65,377.93
161,2.71,369.11
162,2.94,340.60
163,2.82,354.06
164,2.92,342.50
165,2.93,341.00
166,3.41,293.29
167,3.17,315.65
168,3.32,300.82
169,3.45,289.50
170,3.57,280.04
171,3.74,267.68
172,3.91,255.67
173,4.07,245.64
174,4.19,238.43
175,4.34,230.23
176,4.49,222.53
177,4.66,214.39
178,4.88,204.85
179,4.87,205.14
180,4.97,201.29
181,5.17,193.28
182,5.31,188.29
183,5.23,191.27
184,5.51,181.51
185,5.56,179.97
186,5.66,176.57
187,5.75,174.03
188,5.72,174.93
189,5.78,172.95
190,5.94,168.27
191,5.98,167.22
192,6.24,160.34
193,6.19,161.52
194,6.31,158.38
195,6.53,153.16
196,6.71,148.96
197,6.84,146.17
198,6.76,147.84
199,7.13,140.33
200,7.25,137.93

# t culling
Frame,Frame (ms),FPS
1,12.31,81.26
2,12.83,77.96
3,12.67,78.94
4,13.11,76.26
5,13.83,72.30
6,14.50,68.96
7,15.53,64.40
8,16.58,60.31
9,17.67,56.59
10,18.48,54.11
11,19.25,51.94
12,20.07,49.82
13,20.64,48.45
14,21.77,45.94
15,21.23,47.11
16,21.36,46.82
17,21.15,47.28
18,20.77,48.15
19,19.77,50.58
20,18.67,53.57
21,17.60,56.81
22,16.44,60.83
23,16.25,61.55
24,14.75,67.78
25,13.78,72.59
26,12.85,77.79
27,11.75,85.07
28,10.81,92.48
29,9.74,102.72
30,8.23,121.53
31,7.19,139.10
32,5.18,192.91
33,3.31,301.96
34,1.81,553.72
35,1.75,570.94
36,3.03,329.95
37,4.05,247.11
38,5.02,199.16
39,5.88,170.21
40,7.00,142.90
41,7.58,132.01
42,8.50,117.62
43,9.26,108.04
44,10.48,95.40
45,11.00,90.93
46,11.90,84.01
47,12.69,78.81
48,13.40,74.64
49,14.56,68.69
50,15.59,64.13
51,16.31,61.32
52,17.27,57.92
53,18.10,55.23
54,18.50,54.06
55,18.53,53.96
56,20.33,49.19
57,19.40,51.56
58,19.15,52.21
59,18.47,54.14
60,17.64,56.68
61,17.19,58.17
62,16.97,58.92
63,16.33,61.25
64,14.91,67.05
65,14.58,68.57
66,13.78,72.58
67,13.76,72.67
68,13.22,75.66
69,12.80,78.11
70,12.67,78.95
71,11.88,84.18
72,11.32,88.33
73,10.77,92.89
74,10.53,94.94
75,10.16,98.46
76,10.08,99.24
77,9.76,102.45
78,9.43,106.08
79,8.91,112.19
80,8.85,113.04
81,8.89,112.52
82,8.47,118.09
83,8.11,123.28
84,8.27,120.95
85,8.26,121.14
86,7.68,130.16
87,7.93,126.14
88,7.75,129.08
89,7.40,135.08
90,7.61,131.43
91,7.46,134.03
92,7.36,135.84
93,6.96,143.59
94,7.22,138.51
95,6.60,151.52
96,6.79,147.17
97,6.54,152.84
98,6.39,156.42
99,6.24,160.24
100,6.12,163.29
101,5.90,169.42
102,6.08,164.36
103,6.15,162.70
104,5.67,176.46
105,5.63,177.73
106,5.80,172.46
107,5.61,178.27
108,5.45,183.49
109,5.70,175.59
110,5.57,179.42
111,5.43,184.06
112,5.21,191.80
113,5.07,197.33
114,5.01,199.42
115,4.71,212.45
116,4.65,215.12
117,4.50,222.41
118,4.24,235.88
119,4.08,244.96
120,3.94,253.70
121,3.84,260.73
122,3.77,265.08
123,3.47,288.36
124,3.24,308.19
125,3.12,320.09
126,3.37,296.38
127,2.80,357.71
128,2.66,375.29
129,2.59,386.50
130,2.53,395.43
131,2.40,416.22
132,2.32,431.56
133,2.26,442.88
134,2.17,460.63
135,2.05,488.67
136,2.00,500.75
137,1.86,538.10
138,1.82,548.67
139,1.73,576.99
140,1.69,592.86
141,1.60,626.09
142,1.75,571.22
143,1.50,665.69
144,1.43,701.73
145,1.36,733.43
146,1.32,758.21
147,1.40,716.47
148,1.46,683.86
149,1.53,653.26
150,1.58,634.82
151,1.64,608.36
152,1.69,593.31
153,1.74,574.15
154,1.83,546.68
155,1.87,534.94
156,1.92,520.93
157,1.99,501.37
158,2.07,484.04
159,2.15,466.00
160,2.23,448.17
161,2.32,430.62
162,2.42,412.44
163,2.75,363.98
164,2.58,387.87
165,2.65,377.90
166,2.75,363.02
167,3.29,303.66
168,3.09,323.45
169,3.17,315.48
170,3.36,297.57
171,3.48,287.11
172,3.65,273.82
173,3.84,260.75
174,3.96,252.21
175,4.16,240.64
176,4.27,234.47
177,4.50,222.17
178,4.70,212.85
179,4.66,214.69
180,4.77,209.70
181,5.06,197.70
182,5.15,194.09
183,5.10,196.23
184,5.37,186.26
185,5.40,185.20
186,5.49,182.15
187,5.56,179.73
188,5.52,181.31
189,5.59,178.80
190,5.75,173.93
191,5.74,174.14
192,6.01,166.29
193,5.95,168.12
194,6.07,164.86
195,6.35,157.43
196,6.48,154.25
197,6.57,152.28
198,6.46,154.89
199,6.83,146.40
200,6.91,144.63

# KD tree
Frame,Frame (ms),FPS
1,9.64,103.76
2,9.86,101.45
3,10.37,96.47
4,10.47,95.47
5,11.02,90.78
6,11.41,87.66
7,12.01,83.29
8,12.60,79.35
9,13.18,75.89
10,13.68,73.10
11,14.15,70.67
12,14.50,68.96
13,14.79,67.62
14,15.13,66.11
15,15.14,66.06
16,15.17,65.94
17,14.95,66.87
18,14.47,69.12
19,13.84,72.28
20,13.02,76.80
21,12.68,78.88
22,11.87,84.24
23,11.08,90.21
24,10.14,98.64
25,9.45,105.83
26,8.93,111.93
27,8.15,122.68
28,7.36,135.88
29,6.57,152.28
30,5.74,174.21
31,4.87,205.46
32,3.75,266.43
33,2.34,426.44
34,1.70,587.93
35,1.65,607.46
36,2.90,344.30
37,3.75,266.54
38,4.50,222.15
39,5.21,192.03
40,6.10,163.98
41,6.55,152.74
42,7.23,138.26
43,7.58,131.87
44,8.55,117.01
45,8.87,112.69
46,10.03,99.70
47,10.10,98.97
48,11.09,90.21
49,11.45,87.32
50,11.66,85.74
51,12.35,81.00
52,13.00,76.94
53,13.42,74.51
54,13.82,72.34
55,13.88,72.03
56,13.85,72.18
57,13.73,72.85
58,13.50,74.07
59,13.27,75.36
60,13.05,76.66
61,12.68,78.87
62,12.28,81.46
63,11.81,84.64
64,11.27,88.77
65,11.08,90.25
66,10.73,93.24
67,10.23,97.74
68,9.64,103.79
69,9.33,107.18
70,9.11,109.74
71,8.72,114.61
72,8.49,117.81
73,8.46,118.19
74,8.24,121.37
75,7.94,126.01
76,7.76,128.82
77,7.98,125.36
78,7.78,128.46
79,7.63,131.14
80,7.72,129.50
81,7.92,126.24
82,7.41,135.04
83,7.49,133.56
84,7.32,136.62
85,7.51,133.15
86,7.18,139.20
87,7.09,141.04
88,7.08,141.30
89,7.02,142.50
90,6.92,144.41
91,6.91,144.72
92,6.80,146.97
93,6.65,150.37
94,6.53,153.18
95,6.51,153.66
96,6.36,157.12
97,6.50,153.84
98,6.68,149.67
99,6.29,158.88
100,6.17,162.05
101,5.99,167.05
102,5.96,167.78
103,5.97,167.54
104,5.77,173.41
105,5.53,180.76
106,5.65,176.86
107,5.54,180.42
108,5.32,187.94
109,5.22,191.50
110,5.17,193.56
111,5.04,198.39
112,4.83,207.04
113,5.28,189.27
114,5.13,194.78
115,4.93,202.65
116,4.83,207.12
117,4.75,210.63
118,4.58,218.42
119,4.49,222.56
120,4.38,228.50
121,4.20,238.07
122,4.35,230.07
123,4.00,250.31
124,3.79,263.91
125,3.71,269.78
126,3.90,256.18
127,3.41,293.26
128,3.31,302.38
129,3.16,316.64
130,3.01,332.44
131,2.89,345.81
132,2.72,367.07
133,2.66,375.45
134,2.56,390.43
135,2.43,411.17
136,2.34,427.67
137,2.23,447.58
138,2.10,476.74
139,1.99,501.34
140,1.96,509.83
141,1.83,545.43
142,1.79,559.68
143,1.71,584.89
144,1.56,642.58
145,1.51,661.50
146,1.47,680.20
147,1.47,682.10
148,1.62,616.78
149,1.73,579.00
150,1.75,569.94
151,1.88,531.56
152,1.98,505.65
153,2.06,484.82
154,2.16,462.82
155,2.27,439.89
156,2.30,435.13
157,2.43,411.96
158,2.76,362.87
159,2.70,369.89
160,2.72,367.19
161,2.81,356.21
162,2.91,343.66
163,3.16,316.33
164,3.22,310.16
165,3.38,295.74
166,3.50,285.66
167,3.99,250.75
168,3.72,268.51
169,3.85,259.51
170,3.98,251.18
171,4.13,242.05
172,4.26,234.47
173,4.38,228.49
174,4.50,222.42
175,4.66,214.63
176,4.77,209.56
177,4.89,204.44
178,4.96,201.65
179,5.15,194.11
180,5.24,190.92
181,4.87,205.38
182,4.95,201.85
183,5.03,198.72
184,5.08,196.79
185,5.16,193.68
186,5.20,192.45
187,5.32,188.03
188,5.33,187.54
189,5.50,181.77
190,5.53,180.70
191,5.63,177.63
192,5.65,177.05
193,5.68,175.92
194,5.76,173.60
195,5.88,170.13
196,5.93,168.64
197,6.02,166.09
198,6.12,163.32
199,6.18,161.81
200,6.28,159.19

