# Bounding Box Culling
Frame,Frame (ms),FPS
1,9.52,105.03
2,7.96,125.62
3,8.13,123.02
4,7.89,126.79
5,7.84,127.60
6,7.90,126.53
7,7.83,127.75
8,7.70,129.89
9,7.62,131.23
10,7.64,130.97
11,7.56,132.21
12,7.55,132.47
13,7.48,133.66
14,7.47,133.82
15,7.44,134.47
16,7.37,135.67
17,7.32,136.70
18,7.30,136.92
19,15.46,64.67
20,7.20,138.86
21,9.03,110.69
22,10.77,92.88
23,7.19,139.06
24,7.46,134.07
25,7.05,141.78
26,6.90,144.90
27,6.93,144.40
28,6.82,146.69
29,6.76,147.88
30,6.68,149.64
31,6.67,149.83
32,6.54,152.93
33,6.68,149.68
34,6.53,153.15
35,6.48,154.24
36,6.38,156.78
37,6.38,156.76
38,6.47,154.49
39,6.59,151.74
40,7.12,140.36
41,6.77,147.76
42,6.93,144.25
43,7.36,135.78
44,7.13,140.23
45,7.17,139.40
46,7.27,137.62
47,7.32,136.59
48,7.39,135.28
49,7.49,133.46
50,7.53,132.73
51,7.55,132.39
52,7.63,131.00
53,7.70,129.85
54,7.75,128.95
55,7.83,127.69
56,7.83,127.78
57,7.90,126.51
58,7.95,125.74
59,8.01,124.81
60,16.19,61.76
61,8.12,123.14
62,8.22,121.70
63,8.30,120.43
64,8.38,119.39
65,8.39,119.17
66,8.36,119.56
67,8.43,118.61
68,8.44,118.47
69,8.49,117.74
70,8.55,116.95
71,8.55,116.91
72,8.55,116.93
73,8.67,115.37
74,8.76,114.16
75,8.81,113.45
76,8.86,112.87
77,8.91,112.22
78,8.95,111.67
79,9.00,111.16
80,9.04,110.64
81,9.08,110.19
82,9.13,109.55
83,9.17,109.00
84,9.21,108.53
85,9.20,108.72
86,9.21,108.61
87,9.28,107.81
88,9.28,107.73
89,9.27,107.85
90,9.33,107.20
91,9.94,100.63
92,9.35,106.99
93,9.51,105.17
94,9.52,104.99
95,9.49,105.38
96,9.52,105.06
97,9.53,104.94
98,9.57,104.45
99,9.55,104.74
100,9.57,104.54
101,9.90,100.98
102,9.61,104.02
103,9.60,104.18
104,9.64,103.77
105,9.65,103.58
106,9.66,103.48
107,9.69,103.20
108,9.72,102.90
109,9.70,103.13
110,9.69,103.19
111,9.70,103.07
112,9.67,103.37
113,9.66,103.55
114,9.64,103.69
115,9.61,104.04
116,9.64,103.73
117,9.60,104.13
118,9.56,104.65
119,9.45,105.78
120,9.41,106.31
121,9.35,106.91
122,9.29,107.69
123,9.22,108.46
124,9.17,109.01
125,9.09,110.00
126,9.04,110.64
127,8.99,111.19
128,8.97,111.45
129,8.89,112.47
130,8.83,113.26
131,8.74,114.38
132,8.67,115.33
133,8.57,116.68
134,8.48,117.89
135,8.40,119.03
136,8.34,119.91
137,8.30,120.53
138,8.18,122.24
139,8.15,122.71
140,8.05,124.27
141,8.00,124.95
142,7.76,128.90
143,7.74,129.24
144,7.58,131.85
145,7.68,130.20
146,7.68,130.21
147,7.84,127.60
148,8.00,125.05
149,8.08,123.69
150,8.16,122.54
151,8.44,118.53
152,8.34,119.90
153,8.44,118.45
154,8.50,117.58
155,8.52,117.36
156,8.63,115.91
157,8.89,112.47
158,8.76,114.19
159,8.87,112.80
160,8.96,111.58
161,9.06,110.37
162,9.70,103.14
163,9.20,108.73
164,9.25,108.09
165,9.28,107.80
166,9.39,106.51
167,9.40,106.41
168,9.40,106.35
169,9.50,105.30
170,9.48,105.49
171,9.51,105.11
172,9.51,105.20
173,9.54,104.84
174,9.50,105.28
175,9.52,105.00
176,9.50,105.27
177,9.48,105.43
178,9.46,105.75
179,9.45,105.79
180,9.39,106.44
181,9.36,106.79
182,9.34,107.08
183,9.32,107.34
184,9.28,107.78
185,9.22,108.50
186,9.21,108.57
187,9.12,109.66
188,9.08,110.09
189,8.98,111.34
190,9.02,110.87
191,8.93,112.00
192,8.91,112.17
193,8.89,112.45
194,8.92,112.09
195,8.90,112.34
196,8.84,113.10
197,8.85,113.03
198,8.82,113.33
199,8.76,114.14
200,8.76,114.15

# t culling
Frame,Frame (ms),FPS
1,6.61,151.26
2,6.50,153.78
3,7.41,134.99
4,6.51,153.63
5,6.49,154.17
6,6.48,154.42
7,6.42,155.67
8,6.36,157.31
9,6.30,158.64
10,6.25,160.05
11,6.19,161.57
12,6.15,162.60
13,6.66,150.04
14,6.08,164.56
15,6.06,165.04
16,6.01,166.40
17,5.98,167.32
18,5.96,167.88
19,5.87,170.22
20,5.89,169.67
21,5.86,170.65
22,5.82,171.88
23,12.95,77.21
24,5.83,171.41
25,6.03,165.97
26,5.64,177.39
27,5.58,179.10
28,5.51,181.32
29,5.46,183.06
30,5.40,185.22
31,5.34,187.17
32,5.24,190.74
33,5.36,186.66
34,5.09,196.63
35,5.10,196.07
36,4.99,200.39
37,5.00,199.80
38,4.95,201.95
39,5.34,187.17
40,5.22,191.52
41,5.33,187.73
42,5.42,184.40
43,5.50,181.94
44,5.49,182.03
45,5.56,179.92
46,5.64,177.27
47,5.69,175.68
48,5.72,174.92
49,5.81,172.24
50,5.86,170.53
51,5.88,170.16
52,5.93,168.57
53,5.93,168.54
54,6.00,166.76
55,6.00,166.67
56,5.96,167.81
57,5.99,167.04
58,5.98,167.28
59,6.05,165.37
60,6.07,164.87
61,6.12,163.44
62,6.18,161.82
63,6.19,161.45
64,6.25,160.06
65,6.29,159.10
66,6.30,158.79
67,6.28,159.23
68,6.33,157.99
69,6.37,156.96
70,6.47,154.45
71,6.50,153.73
72,6.57,152.17
73,6.62,151.16
74,6.71,148.93
75,6.78,147.48
76,6.82,146.67
77,6.92,144.56
78,6.96,143.68
79,7.03,142.18
80,7.04,141.95
81,7.10,140.78
82,7.17,139.51
83,7.21,138.62
84,7.25,137.88
85,7.28,137.29
86,7.30,136.91
87,7.32,136.54
88,7.36,135.90
89,7.34,136.26
90,7.32,136.60
91,7.35,136.12
92,7.37,135.75
93,7.41,135.00
94,7.45,134.25
95,7.46,134.07
96,7.47,133.95
97,7.48,133.62
98,7.65,130.68
99,7.46,134.01
100,7.44,134.43
101,7.84,127.58
102,7.51,133.15
103,7.45,134.15
104,7.50,133.33
105,7.47,133.80
106,7.46,134.07
107,7.42,134.81
108,7.45,134.16
109,7.43,134.66
110,7.41,134.92
111,7.40,135.15
112,7.40,135.15
113,7.39,135.26
114,7.39,135.41
115,7.41,135.02
116,7.41,134.96
