step,rot_degrees,frame_ms,fps
1,1.63636,113.938,8.77674
2,3.27273,108.016,9.25787
3,4.90909,104.665,9.55428
4,6.54545,104.591,9.56103
5,8.18182,97.421,10.2647
6,9.81818,97.0399,10.305
7,11.4545,96.5536,10.3569
8,13.0909,95.8652,10.4313
9,14.7273,95.7142,10.4478
10,16.3636,95.0591,10.5198
11,18,95.2937,10.4939
12,19.6364,94.3294,10.6011
13,21.2727,94.0864,10.6285
14,22.9091,93.3188,10.716
15,24.5455,93.1578,10.7345
16,26.1818,92.7456,10.7822
17,27.8182,92.2543,10.8396
18,29.4545,91.93,10.8778
19,31.0909,108.524,9.21454
20,32.7273,93.0231,10.75
21,34.3636,91.743,10.9
22,36,94.7032,10.5593
23,37.6364,93.6288,10.6805
24,39.2727,91.756,10.8985
25,40.9091,91.8466,10.8877
26,42.5455,91.9107,10.8801
27,44.1818,91.8259,10.8902
28,45.8182,91.7531,10.8988
29,47.4545,91.5819,10.9192
30,49.0909,91.9171,10.8794
31,50.7273,91.9486,10.8756
32,52.3636,92.5333,10.8069
33,54,92.2573,10.8393
34,55.6364,92.5273,10.8076
35,57.2727,92.1944,10.8467
36,58.9091,93.4988,10.6953
37,60.5455,92.2665,10.8382
38,62.1818,92.5644,10.8033
39,63.8182,92.1719,10.8493
40,65.4545,92.0751,10.8607
41,67.0909,92.1206,10.8553
42,68.7273,92.2,10.846
43,70.3636,91.966,10.8736
44,72,91.7123,10.9037
45,73.6364,91.6289,10.9136
46,75.2727,91.8726,10.8846
47,76.9091,91.2353,10.9607
48,78.5455,91.7517,10.899
49,80.1818,90.7071,11.0245
50,81.8182,90.3752,11.065
51,83.4545,89.924,11.1205
52,85.0909,89.7324,11.1442
53,86.7273,89.5401,11.1682
54,88.3636,89.8118,11.1344
55,90,89.7641,11.1403
56,91.6364,89.7592,11.1409
57,93.2727,89.7519,11.1418
58,94.9091,89.8915,11.1245
59,96.5455,90.4432,11.0567
60,98.1818,90.748,11.0195
61,99.8182,90.4426,11.0567
62,101.455,90.6812,11.0276
63,103.091,90.7451,11.0199
64,104.727,90.9639,10.9934
65,106.364,91.0542,10.9825
66,108,90.9634,10.9934
67,109.636,91.2165,10.9629
68,111.273,91.4986,10.9291
69,112.909,91.2513,10.9588
70,114.545,91.5371,10.9245
71,116.182,91.3382,10.9483
72,117.818,91.3233,10.9501
73,119.455,93.9223,10.6471
74,121.091,93.4433,10.7017
75,122.727,91.4083,10.9399
76,124.364,91.6067,10.9162
77,126,91.7446,10.8998
78,127.636,91.5987,10.9172
79,129.273,91.6061,10.9163
80,130.909,91.383,10.943
81,132.545,91.1933,10.9657
82,134.182,91.5343,10.9249
83,135.818,91.6541,10.9106
84,137.455,91.5834,10.919
85,139.091,93.3845,10.7084
86,140.727,91.4812,10.9312
87,142.364,91.3068,10.9521
88,144,90.7532,11.0189
89,145.636,90.6964,11.0258
90,147.273,91.0478,10.9832
91,148.909,91.3786,10.9435
92,150.545,91.2946,10.9536
93,152.182,91.5369,10.9246
94,153.818,92.1342,10.8537
95,155.455,92.207,10.8452
96,157.091,92.3442,10.8291
97,158.727,93.6259,10.6808
98,160.364,92.9117,10.7629
99,162,93.2612,10.7226
100,163.636,93.1548,10.7348
101,165.273,93.5634,10.6879
102,166.909,94.1444,10.622
103,168.545,94.3743,10.5961
104,170.182,94.9261,10.5345
105,171.818,95.2832,10.495
106,173.455,95.9912,10.4176
107,175.091,97.603,10.2456
108,176.727,97.2345,10.2844
109,178.364,97.8931,10.2152
110,180,97.9757,10.2066
111,181.636,98.6337,10.1385
112,183.273,99.5364,10.0466
113,184.909,100.16,9.98406
114,186.545,101.258,9.87572
115,188.182,101.844,9.81891
116,189.818,102.265,9.77855
117,191.455,103.289,9.68157
118,193.091,103.923,9.62255
119,194.727,104.532,9.56648
120,196.364,105.368,9.49051
121,198,106.088,9.42614
122,199.636,107.966,9.26219
123,201.273,107.74,9.28164
124,202.909,108.498,9.21679
125,204.545,122,8.1967
126,206.182,117.576,8.50513
127,207.818,110.728,9.03113
128,209.455,117.941,8.4788
129,211.091,113.15,8.83781
130,212.727,112.986,8.85062
131,214.364,127.829,7.82296
132,216,113.458,8.81384
133,217.636,112.134,8.91789
134,219.273,112.34,8.90155
135,220.909,112.329,8.90238
136,222.545,112.408,8.89613
137,224.182,112.539,8.8858
138,225.818,112.749,8.86925
139,227.455,114.45,8.73747
140,229.091,113.424,8.81645
141,230.727,113.777,8.78911
142,232.364,113.753,8.79094
143,234,113.857,8.78291
144,235.636,113.865,8.78233
145,237.273,113.991,8.7726
146,238.909,113.565,8.80555
147,240.545,113.463,8.81347
148,242.182,113.518,8.80917
149,243.818,113.39,8.81916
150,245.455,114.189,8.75737
151,247.091,113.531,8.80817
152,248.727,113.324,8.82422
153,250.364,112.975,8.85153
154,252,112.834,8.86256
155,253.636,113.069,8.84414
156,255.273,112.627,8.87889
157,256.909,112.377,8.89861
158,258.545,112.527,8.88676
159,260.182,112.101,8.92055
160,261.818,111.884,8.9378
161,263.455,112.952,8.85335
162,265.091,111.779,8.9462
163,266.727,111.36,8.97985
164,268.364,111.13,8.99849
165,270,111.279,8.98643
166,271.636,110.922,9.01534
167,273.273,110.735,9.03054
168,274.909,110.688,9.03442
169,276.545,114.848,8.70717
170,278.182,112.987,8.85059
171,279.818,111.186,8.99393
172,281.455,111.228,8.99055
173,283.091,111.149,8.99694
174,284.727,111.459,8.97194
175,286.364,111.55,8.96459
176,288,111.582,8.96206
177,289.636,111.791,8.94527
178,291.273,111.846,8.94088
179,292.909,113.946,8.77608
180,294.545,112.317,8.9034
181,296.182,112.338,8.90168
182,297.818,112.258,8.90805
183,299.455,112.606,8.88055
184,301.091,112.879,8.85902
185,302.727,113.602,8.80265
186,304.364,113.803,8.78712
187,306,114.167,8.75912
188,307.636,114.645,8.72259
189,309.273,114.282,8.75031
190,310.909,115.241,8.67746
191,312.545,114.451,8.73738
192,314.182,114.35,8.74511
193,315.818,113.779,8.78893
194,317.455,113.263,8.82904
195,319.091,112.816,8.86402
196,320.727,112.687,8.87414
197,322.364,112.034,8.92584
198,324,112.12,8.91903
199,325.636,111.728,8.95028
200,327.273,111.322,8.98293
201,328.909,112.17,8.91504
202,330.545,111.129,8.99853
203,332.182,110.772,9.02756
204,333.818,110.235,9.07156
205,335.455,109.508,9.13178
206,337.091,108.591,9.20886
207,338.727,107.906,9.26732
208,340.364,107.586,9.29488
209,342,107.606,9.29314
210,343.636,108.596,9.20844
211,345.273,107.03,9.34317
212,346.909,106.432,9.39567
213,348.545,105.568,9.47258
214,350.182,104.661,9.55468
215,351.818,104.271,9.59037
216,353.455,103.577,9.65462
217,355.091,102.988,9.70989
218,356.727,102.22,9.78286
219,358.364,101.433,9.85869
220,360,101.302,9.87151
