step,rot_degrees,frame_ms,fps
1,1.63636,64.3524,15.5394
2,3.27273,50.0739,19.9705
3,4.90909,46.7476,21.3915
4,6.54545,43.6081,22.9315
5,8.18182,36.4191,27.4581
6,9.81818,36.3946,27.4766
7,11.4545,36.263,27.5763
8,13.0909,36.2585,27.5798
9,14.7273,36.336,27.5209
10,16.3636,36.1519,27.661
11,18,36.0616,27.7304
12,19.6364,36.1441,27.667
13,21.2727,36.0122,27.7684
14,22.9091,36.0063,27.7729
15,24.5455,35.985,27.7894
16,26.1818,35.8523,27.8922
17,27.8182,35.719,27.9963
18,29.4545,35.7389,27.9807
19,31.0909,36.3288,27.5263
20,32.7273,35.6457,28.0539
21,34.3636,35.4846,28.1813
22,36,35.4308,28.224
23,37.6364,35.4882,28.1784
24,39.2727,35.7526,27.97
25,40.9091,35.5926,28.0957
26,42.5455,35.6918,28.0177
27,44.1818,35.7312,27.9868
28,45.8182,35.8158,27.9207
29,47.4545,35.9859,27.7886
30,49.0909,35.9319,27.8304
31,50.7273,35.963,27.8064
32,52.3636,35.9897,27.7857
33,54,37.0058,27.0228
34,55.6364,36.2644,27.5753
35,57.2727,36.2723,27.5692
36,58.9091,36.1132,27.6907
37,60.5455,36.0887,27.7095
38,62.1818,36.1377,27.6719
39,63.8182,36.1563,27.6577
40,65.4545,36.1735,27.6446
41,67.0909,36.0442,27.7437
42,68.7273,35.9431,27.8217
43,70.3636,35.8773,27.8728
44,72,35.8577,27.888
45,73.6364,35.6755,28.0304
46,75.2727,35.4959,28.1722
47,76.9091,35.1348,28.4618
48,78.5455,34.8779,28.6714
49,80.1818,34.6487,28.8611
50,81.8182,34.2433,29.2028
51,83.4545,34.1654,29.2693
52,85.0909,34.1189,29.3093
53,86.7273,33.9367,29.4667
54,88.3636,33.8192,29.569
55,90,33.6374,29.7289
56,91.6364,33.6196,29.7446
57,93.2727,33.7424,29.6363
58,94.9091,33.8054,29.5811
59,96.5455,34.7209,28.8011
60,98.1818,34.3239,29.1342
61,99.8182,34.5477,28.9455
62,101.455,34.5278,28.9622
63,103.091,34.6666,28.8462
64,104.727,34.9248,28.633
65,106.364,35.081,28.5055
66,108,35.1809,28.4245
67,109.636,35.284,28.3415
68,111.273,35.4198,28.2328
69,112.909,35.8798,27.8709
70,114.545,35.6844,28.0234
71,116.182,35.774,27.9533
72,117.818,35.9268,27.8344
73,119.455,35.9102,27.8473
74,121.091,35.9267,27.8345
75,122.727,35.9593,27.8093
76,124.364,35.9994,27.7783
77,126,36.1262,27.6808
78,127.636,36.2979,27.5498
79,129.273,36.3039,27.5452
80,130.909,36.4167,27.4599
81,132.545,36.5133,27.3873
82,134.182,36.5189,27.3831
83,135.818,36.5172,27.3843
84,137.455,36.6232,27.3051
85,139.091,36.789,27.182
86,140.727,37.0007,27.0265
87,142.364,36.851,27.1363
88,144,37.0556,26.9864
89,145.636,37.2012,26.8808
90,147.273,37.4853,26.6771
91,148.909,37.8533,26.4178
92,150.545,37.8601,26.413
93,152.182,37.8464,26.4226
94,153.818,37.9603,26.3433
95,155.455,38.9976,25.6426
96,157.091,38.2832,26.1211
97,158.727,38.3144,26.0998
98,160.364,38.2205,26.164
99,162,38.0966,26.249
100,163.636,38.1655,26.2017
101,165.273,38.1502,26.2122
102,166.909,38.1931,26.1828
103,168.545,38.1945,26.1818
