step,rot_degrees,frame_ms,fps
1,1.63636,111.442,8.97324
2,3.27273,113.928,8.77751
3,4.90909,73.6092,13.5853
4,6.54545,50.7843,19.6911
5,8.18182,43.3863,23.0488
6,9.81818,43.273,23.1091
7,11.4545,42.9696,23.2723
8,13.0909,42.8039,23.3623
9,14.7273,42.6795,23.4305
10,16.3636,42.4634,23.5497
11,18,42.1616,23.7183
12,19.6364,41.8709,23.8829
13,21.2727,41.6715,23.9972
14,22.9091,41.4231,24.1411
15,24.5455,41.2038,24.2696
16,26.1818,40.9527,24.4184
17,27.8182,40.7991,24.5103
18,29.4545,40.6635,24.5921
19,31.0909,40.4824,24.7021
20,32.7273,41.4551,24.1225
21,34.3636,40.529,24.6737
22,36,40.5468,24.6629
23,37.6364,40.8085,24.5047
24,39.2727,40.7807,24.5214
25,40.9091,40.8419,24.4847
26,42.5455,41.0858,24.3393
27,44.1818,41.3031,24.2112
28,45.8182,42.4898,23.535
29,47.4545,41.8494,23.8952
30,49.0909,42.4037,23.5829
31,50.7273,42.0476,23.7826
32,52.3636,42.2857,23.6487
33,54,42.3905,23.5902
34,55.6364,42.5294,23.5132
35,57.2727,42.68,23.4302
36,58.9091,42.6774,23.4316
37,60.5455,42.792,23.3688
38,62.1818,42.7691,23.3814
39,63.8182,42.9163,23.3012
40,65.4545,42.9758,23.2689
41,67.0909,43.0873,23.2087
42,68.7273,43.1172,23.1926
43,70.3636,42.9728,23.2705
44,72,42.9431,23.2866
45,73.6364,42.9339,23.2916
46,75.2727,42.9257,23.2961
47,76.9091,42.9017,23.3091
48,78.5455,42.7849,23.3727
49,80.1818,42.6871,23.4263
50,81.8182,42.6185,23.464
51,83.4545,42.695,23.4219
52,85.0909,60.5262,16.5218
53,86.7273,42.3633,23.6053
54,88.3636,42.8338,23.3461
55,90,42.047,23.7829
56,91.6364,41.9326,23.8478
57,93.2727,41.8197,23.9122
58,94.9091,41.6844,23.9898
59,96.5455,41.7035,23.9788
60,98.1818,41.6847,23.9896
61,99.8182,41.7322,23.9623
62,101.455,41.7637,23.9442
63,103.091,41.4207,24.1425
64,104.727,41.3116,24.2062
65,106.364,41.1408,24.3068
66,108,41.0993,24.3313
67,109.636,40.8716,24.4669
68,111.273,40.6819,24.581
69,112.909,40.6272,24.6141
70,114.545,40.6702,24.588
71,116.182,40.8841,24.4594
72,117.818,40.3975,24.754
73,119.455,40.7304,24.5517
74,121.091,41.1072,24.3267
75,122.727,41.4906,24.1019
76,124.364,41.9182,23.856
77,126,43.2106,23.1425
78,127.636,42.6926,23.4233
79,129.273,42.8469,23.3389
80,130.909,42.6323,23.4564
81,132.545,42.6115,23.4678
82,134.182,43.0574,23.2248
83,135.818,43.0222,23.2438
84,137.455,43.1156,23.1935
85,139.091,43.071,23.2175
86,140.727,42.9847,23.2641
87,142.364,42.8083,23.36
88,144,42.5882,23.4807
89,145.636,42.4493,23.5575
90,147.273,42.2847,23.6492
91,148.909,42.1361,23.7326
92,150.545,41.9401,23.8435
93,152.182,41.7452,23.9549
94,153.818,41.8223,23.9107
95,155.455,41.6272,24.0228
96,157.091,41.4918,24.1012
97,158.727,42.2667,23.6593
98,160.364,40.9606,24.4137
99,162,40.9225,24.4364
100,163.636,40.5638,24.6525
101,165.273,40.5271,24.6748
102,166.909,40.4261,24.7365
103,168.545,40.3008,24.8134
104,170.182,40.0381,24.9762
105,171.818,40.0302,24.9811
106,173.455,39.9604,25.0248
107,175.091,39.9926,25.0046
108,176.727,40.1217,24.9242
109,178.364,40.2192,24.8637
110,180,40.4432,24.726
111,181.636,40.7152,24.5609
112,183.273,41.4858,24.1046
113,184.909,41.5751,24.0529
114,186.545,42.0369,23.7886
115,188.182,42.5419,23.5062
116,189.818,43.1748,23.1617
117,191.455,43.7964,22.8329
118,193.091,44.4126,22.5161
119,194.727,44.9743,22.2349
120,196.364,45.9017,21.7857
121,198,46.7455,21.3924
122,199.636,46.9153,21.315
123,201.273,47.3671,21.1117
124,202.909,47.9607,20.8504
125,204.545,48.6122,20.571
126,206.182,49.6226,20.1521
127,207.818,49.9948,20.0021
128,209.455,50.438,19.8263
129,211.091,50.7227,19.715
130,212.727,51.1701,19.5427
131,214.364,51.5841,19.3858
132,216,52.0465,19.2136
133,217.636,52.3991,19.0843
134,219.273,53.0824,18.8386
135,220.909,53.5568,18.6718
136,222.545,54.0896,18.4878
137,224.182,54.3896,18.3859
138,225.818,54.9998,18.1819
139,227.455,55.1385,18.1361
140,229.091,55.9938,17.8591
141,230.727,55.91,17.8859
142,232.364,56.2811,17.768
143,234,56.6236,17.6605
144,235.636,56.8592,17.5873
145,237.273,57.0707,17.5221
146,238.909,57.1464,17.4989
147,240.545,57.2525,17.4665
148,242.182,57.2992,17.4523
149,243.818,58.5858,17.069
150,245.455,57.7992,17.3013
151,247.091,57.8754,17.2785
152,248.727,57.685,17.3355
153,250.364,57.9524,17.2555
154,252,57.6863,17.3351
155,253.636,57.6398,17.3491
156,255.273,57.9176,17.2659
157,256.909,57.6959,17.3323
158,258.545,57.7623,17.3123
159,260.182,61.0373,16.3834
160,261.818,57.6905,17.3339
161,263.455,57.4901,17.3943
162,265.091,57.1758,17.4899
163,266.727,57.0412,17.5312
164,268.364,57.0897,17.5163
165,270,56.936,17.5636
166,271.636,58.1784,17.1885
167,273.273,57.0139,17.5396
168,274.909,57.0648,17.5239
169,276.545,56.8433,17.5922
170,278.182,56.9927,17.5461
171,279.818,57.0427,17.5307
172,281.455,57.1143,17.5087
173,283.091,57.2189,17.4767
174,284.727,57.1448,17.4994
175,286.364,57.1254,17.5053
176,288,57.0688,17.5227
177,289.636,57.1099,17.5101
178,291.273,57.2084,17.48
179,292.909,57.1082,17.5106
180,294.545,57.0965,17.5142
181,296.182,56.9128,17.5707
182,297.818,56.83,17.5963
183,299.455,56.7317,17.6268
184,301.091,57.6751,17.3385
185,302.727,56.5742,17.6759
186,304.364,56.0075,17.8547
187,306,54.8514,18.2311
188,307.636,53.7694,18.5979
189,309.273,52.5078,19.0448
190,310.909,51.258,19.5092
191,312.545,50.1222,19.9512
192,314.182,48.9479,20.4299
193,315.818,47.9104,20.8723
194,317.455,47.3533,21.1179
195,319.091,46.3352,21.5819
196,320.727,45.797,21.8355
197,322.364,45.36,22.0459
198,324,45.0831,22.1812
199,325.636,45.0807,22.1824
200,327.273,44.7669,22.3379
201,328.909,44.7568,22.343
202,330.545,44.7284,22.3571
203,332.182,44.6069,22.4181
204,333.818,45.4482,22.0031
205,335.455,44.6611,22.3909
206,337.091,45.0426,22.2012
207,338.727,46.0594,21.7111
208,340.364,47.6048,21.0063
209,342,48.7151,20.5275
210,343.636,48.7154,20.5274
211,345.273,48.4152,20.6547
212,346.909,48.0341,20.8186
213,348.545,47.5003,21.0525
214,350.182,46.9512,21.2987
215,351.818,46.5709,21.4726
216,353.455,46.2257,21.633
217,355.091,45.8434,21.8134
218,356.727,45.3911,22.0308
219,358.364,45.0509,22.1971
220,360,44.8017,22.3206
