step,rot_degrees,frame_ms,fps
1,1.63636,17.3559,57.6174
2,3.27273,23.6916,42.209
3,4.90909,17.9296,55.7738
4,6.54545,18.5677,53.8571
5,8.18182,20.1201,49.7015
6,9.81818,20.034,49.9151
7,11.4545,20.7368,48.2234
8,13.0909,21.2937,46.9622
9,14.7273,21.9858,45.484
10,16.3636,22.794,43.8713
11,18,35.9086,27.8485
12,19.6364,29.214,34.2301
13,21.2727,26.7357,37.4032
14,22.9091,27.5073,36.354
15,24.5455,27.2063,36.7562
16,26.1818,28.9104,34.5897
17,27.8182,28.7022,34.8405
18,29.4545,29.6337,33.7454
19,31.0909,30.5201,32.7653
20,32.7273,31.3981,31.849
21,34.3636,35.5856,28.1013
22,36,33.5677,29.7905
23,37.6364,33.7311,29.6463
24,39.2727,35.6944,28.0156
25,40.9091,35.1998,28.4093
26,42.5455,36.4335,27.4472
27,44.1818,36.2046,27.6208
28,45.8182,36.7723,27.1944
29,47.4545,36.8756,27.1182
30,49.0909,44.1628,22.6435
31,50.7273,41.8897,23.8722
32,52.3636,37.551,26.6305
33,54,35.2366,28.3796
34,55.6364,33.5285,29.8254
35,57.2727,31.2281,32.0224
36,58.9091,29.3291,34.0958
37,60.5455,27.6604,36.1528
38,62.1818,25.9082,38.5978
39,63.8182,24.6109,40.6325
40,65.4545,24.4775,40.8539
41,67.0909,21.8272,45.8144
42,68.7273,20.6386,48.4529
43,70.3636,19.0871,52.3914
44,72,18.3801,54.4066
45,73.6364,17.2593,57.9397
46,75.2727,16.4282,60.8708
47,76.9091,15.4344,64.7905
48,78.5455,14.5903,68.5385
49,80.1818,13.5309,73.9051
50,81.8182,12.6384,79.1238
51,83.4545,12.0731,82.8289
52,85.0909,11.6627,85.7434
53,86.7273,11.4181,87.58
54,88.3636,9.2111,108.565
55,90,8.83482,113.188
56,91.6364,9.27016,107.873
57,93.2727,11.0051,90.8668
58,94.9091,11.4898,87.0341
59,96.5455,11.9876,83.4198
60,98.1818,12.5119,79.9238
61,99.8182,13.1775,75.8868
62,101.455,14.0484,71.1825
63,103.091,15.403,64.9224
64,104.727,16.0326,62.373
65,106.364,16.8906,59.2047
66,108,17.9934,55.576
67,109.636,19.3575,51.6597
68,111.273,20.0655,49.8367
69,112.909,21.2936,46.9624
70,114.545,23.2674,42.9785
71,116.182,24.4204,40.9494
72,117.818,25.8614,38.6676
73,119.455,27.4623,36.4135
74,121.091,29.2158,34.2281
75,122.727,31.1211,32.1325
76,124.364,33.0291,30.2763
77,126,34.5982,28.9032
78,127.636,35.6278,28.068
79,129.273,36.6411,27.2918
80,130.909,36.9209,27.085
81,132.545,36.9064,27.0956
82,134.182,36.6989,27.2487
83,135.818,36.3609,27.5021
84,137.455,35.7514,27.9709
85,139.091,35.0698,28.5145
86,140.727,34.5622,28.9334
87,142.364,33.7614,29.6196
88,144,33.3446,29.9898
89,145.636,33.3033,30.027
90,147.273,31.8611,31.3863
91,148.909,30.9434,32.3171
92,150.545,29.8236,33.5304
93,152.182,28.9653,34.5241
94,153.818,28.0429,35.6597
95,155.455,27.1459,36.8379
96,157.091,26.2404,38.1091
97,158.727,25.3399,39.4634
98,160.364,24.4821,40.8462
99,162,23.6279,42.3229
100,163.636,22.8333,43.7956
101,165.273,22.0582,45.3346
102,166.909,21.2992,46.9501
103,168.545,20.6547,48.4152
104,170.182,20.0127,49.9682
105,171.818,19.3858,51.5841
106,173.455,18.7843,53.2359
107,175.091,18.2019,54.9394
108,176.727,18.0354,55.4466
109,178.364,17.1286,58.3818
110,180,16.5949,60.2594
111,181.636,16.0422,62.3356
112,183.273,15.5749,64.2059
113,184.909,15.0535,66.4297
114,186.545,14.5241,68.8509
115,188.182,14.0703,71.0715
116,189.818,13.6513,73.253
