# Bounding Box Culling
Frame,Frame (ms),FPS
1,35.59,28.10
2,33.57,29.79
3,33.73,29.65
4,35.69,28.02
5,35.20,28.41
6,36.43,27.45
7,36.20,27.62
8,36.77,27.19
9,36.88,27.12
10,44.16,22.64
11,41.89,23.87
12,37.55,26.63
13,35.24,28.38
14,33.53,29.83
15,31.23,32.02
16,29.33,34.10
17,27.66,36.15
18,25.91,38.60
19,24.61,40.63
20,24.48,40.85
21,21.83,45.81
22,20.64,48.45
23,19.09,52.39
24,18.38,54.41
25,17.26,57.94
26,16.43,60.87
27,15.43,64.79
28,14.59,68.54
29,13.53,73.91
30,12.64,79.12
31,12.07,82.83
32,11.66,85.74
33,11.42,87.58
34,9.21,108.56
35,8.83,113.19
36,9.27,107.87
37,11.01,90.87
38,11.49,87.03
39,11.99,83.42
40,12.51,79.92
41,13.18,75.89
42,14.05,71.18
43,15.40,64.92
44,16.03,62.37
45,16.89,59.20
46,17.99,55.58
47,19.36,51.66
48,20.07,49.84
49,21.29,46.96
50,23.27,42.98
51,24.42,40.95
52,25.86,38.67
53,27.46,36.41
54,29.22,34.23
55,31.12,32.13
56,33.03,30.28
57,34.60,28.90
58,35.63,28.07
59,36.64,27.29
60,36.92,27.09
61,36.91,27.10
62,36.70,27.25
63,36.36,27.50
64,35.75,27.97
65,35.07,28.51
66,34.56,28.93
67,33.76,29.62
68,33.34,29.99
69,33.30,30.03
70,31.86,31.39
71,30.94,32.32
72,29.82,33.53
73,28.97,34.52
74,28.04,35.66
75,27.15,36.84
76,26.24,38.11
77,25.34,39.46
78,24.48,40.85
79,23.63,42.32
80,22.83,43.80
81,22.06,45.33
82,21.30,46.95
83,20.65,48.42
84,20.01,49.97
85,19.39,51.58
86,18.78,53.24
87,18.20,54.94
88,18.04,55.45
89,17.13,58.38
90,16.59,60.26
91,16.04,62.34
92,15.57,64.21
93,15.05,66.43
94,14.52,68.85
95,14.07,71.07
96,13.65,73.25
97,13.24,75.54
98,12.84,77.87
99,12.55,79.71
100,12.15,82.29
101,11.85,84.39
102,11.21,89.19
103,11.10,90.07
104,10.70,93.42
105,10.15,98.50
106,9.83,101.77
107,9.52,105.03
108,9.17,109.06
109,8.86,112.87
110,8.55,116.93
111,8.21,121.77
112,7.88,126.96
113,7.55,132.41
114,7.25,137.99
115,6.91,144.81
116,6.62,151.13
117,6.36,157.23
118,6.07,164.68
119,5.77,173.24
120,5.50,181.84
121,5.27,189.88
122,4.99,200.21
123,4.66,214.63
124,4.42,226.31
125,4.34,230.28
126,4.01,249.68
127,4.37,229.02
128,3.65,274.29
129,3.85,259.42
130,3.39,294.69
131,3.27,306.13
132,3.08,324.81
133,2.98,335.80
134,2.90,345.32
135,2.86,349.56
136,2.76,362.09
137,2.71,368.70
138,2.60,383.93
139,2.59,385.92
140,2.52,396.99
141,2.49,401.35
142,2.39,418.86
143,2.31,433.55
144,2.17,461.06
145,2.10,475.76
146,2.14,466.79
147,2.27,440.18
148,2.38,419.74
149,2.44,410.06
150,2.53,395.35
151,2.57,388.51
152,2.60,383.99
153,2.68,373.18
154,2.73,365.70
155,2.85,351.00
156,2.90,344.44
157,3.01,332.04
158,3.08,324.23
159,3.22,310.80
160,3.35,298.42
161,3.50,285.76
162,3.64,274.59
163,3.78,264.61
164,3.96,252.72
165,4.21,237.38
166,4.64,215.32
167,4.66,214.63
168,4.99,200.46
169,5.26,190.13
170,5.87,170.24
171,5.75,173.98
172,6.07,164.65
173,6.29,158.99
174,6.64,150.50
175,6.90,144.85
176,7.20,138.95
177,7.54,132.66
178,7.88,126.83
179,8.19,122.05
180,8.47,118.02
181,8.82,113.36
182,9.13,109.50
183,9.44,105.91
184,9.77,102.40
185,10.12,98.85
186,12.95,77.22
187,10.75,92.98
188,11.17,89.49
189,11.53,86.72
190,11.85,84.37
191,12.24,81.68
192,12.62,79.21
193,12.98,77.06
194,13.35,74.88
195,13.85,72.18
196,14.30,69.95
197,14.80,67.59
198,15.30,65.36
199,15.77,63.39
200,16.31,61.31

# t culling
Frame,Frame (ms),FPS
1,22.42,44.60
2,22.17,45.10
3,21.86,45.74
4,21.46,46.60
5,21.08,47.43
6,21.08,47.43
7,20.29,49.29
8,20.20,49.51
9,20.04,49.90
10,19.97,50.08
11,19.30,51.82
12,18.61,53.72
13,18.14,55.14
14,17.70,56.49
15,17.26,57.94
16,16.70,59.88
17,16.11,62.07
18,15.23,65.66
19,14.83,67.43
20,14.57,68.65
21,13.80,72.48
22,13.22,75.64
23,12.56,79.60
24,11.94,83.75
25,11.33,88.29
26,10.70,93.45
27,10.15,98.53
28,9.14,109.36
29,8.82,113.42
30,7.72,129.58
31,6.84,146.30
32,6.17,162.15
33,5.24,190.77
34,4.33,230.74
35,2.69,372.42
36,4.30,232.81
37,5.26,190.00
38,6.45,155.10
39,7.03,142.17
40,7.76,128.81
41,8.54,117.10
42,9.30,107.52
43,9.72,102.85
44,10.67,93.74
45,11.25,88.86
46,11.87,84.21
47,12.55,79.68
48,13.28,75.30
49,13.77,72.63
50,14.40,69.45
51,14.85,67.36
52,15.38,65.02
53,16.10,62.11
54,16.57,60.34
55,17.37,57.58
56,17.87,55.96
57,18.26,54.76
58,18.75,53.33
59,19.23,52.01
60,19.97,50.08
61,20.53,48.71
62,20.40,49.02
63,20.85,47.96
64,21.99,45.47
65,22.40,44.64
66,22.30,44.84
67,22.40,44.65
68,22.76,43.94
69,22.94,43.58
70,23.83,41.96
71,23.62,42.34
72,23.96,41.73
73,24.01,41.66
74,24.48,40.85
75,24.33,41.09
76,24.88,40.20
77,24.83,40.27
78,25.71,38.89
79,25.82,38.73
80,26.17,38.22
81,26.27,38.07
82,26.65,37.52
83,26.73,37.42
84,26.74,37.39
85,26.96,37.09
86,26.73,37.41
87,27.05,36.96
88,27.07,36.94
89,26.88,37.20
90,27.11,36.88
91,26.97,37.08
92,26.64,37.54
93,26.94,37.12
94,26.64,37.54
95,26.47,37.79
96,26.74,37.39
97,26.30,38.03
98,26.41,37.86
99,25.89,38.63
100,25.70,38.90
101,25.85,38.69
102,25.62,39.04
103,25.01,39.99
104,24.35,41.07
105,24.32,41.13
106,23.97,41.72
107,23.80,42.02
108,23.46,42.63
109,23.34,42.85
110,24.05,41.59
111,36.28,27.56
112,33.65,29.72
113,35.44,28.22
114,36.10,27.70
115,34.47,29.01
116,21.71,46.07
117,21.17,47.23
118,20.65,48.43
119,20.15,49.63
120,19.67,50.83
121,19.25,51.94
122,18.90,52.91
123,18.41,54.33
124,17.98,55.61
125,19.21,52.06
126,17.06,58.63
127,16.48,60.69
128,15.73,63.59
129,15.22,65.72
130,14.84,67.41
131,14.65,68.24
132,13.33,75.01
133,13.54,73.83
134,13.26,75.44
135,12.24,81.68
136,10.66,93.85
137,10.15,98.49
138,9.47,105.60
139,8.53,117.20
140,7.83,127.75
141,6.92,144.58
142,6.14,162.95
143,5.22,191.55
144,4.24,235.85
145,2.39,418.61
146,4.20,238.11
147,5.18,192.92
148,6.39,156.61
149,6.99,143.15
150,7.80,128.13
151,8.59,116.36
152,9.31,107.47
153,9.85,101.54
154,10.67,93.70
155,11.41,87.66
156,12.07,82.84
157,12.70,78.77
158,13.37,74.78
159,13.98,71.54
160,14.41,69.41
161,14.84,67.41
162,15.34,65.18
163,16.85,59.34
164,16.94,59.03
165,17.97,55.65
166,18.66,53.60
167,18.73,53.38
168,19.21,52.05
169,19.66,50.87
170,20.48,48.83
171,20.59,48.56
172,21.16,47.26
173,21.68,46.12
174,21.98,45.49
175,22.37,44.70
176,22.60,44.26
177,22.94,43.59
178,23.31,42.91
179,23.39,42.75
180,23.79,42.03
181,24.00,41.66
182,24.13,41.45
183,24.43,40.93
184,24.60,40.65
185,24.86,40.22
186,24.96,40.06
187,25.14,39.78
188,25.67,38.96
189,25.74,38.84
190,38.71,25.83
191,33.37,29.96
192,26.44,37.82
193,26.45,37.80
194,26.49,37.75
195,26.64,37.54
196,26.73,37.41
197,26.81,37.30
198,27.08,36.93
199,26.84,37.25
200,26.92,37.15

# KD tree
Frame,Frame (ms),FPS
1,2.13,469.75
2,2.12,472.72
3,2.03,493.54
4,2.01,497.23
5,2.05,486.63
6,2.23,447.85
7,1.94,516.39
8,2.02,494.13
9,2.27,440.21
10,2.10,476.73
11,2.13,470.46
12,2.13,468.58
13,2.43,411.77
14,2.10,475.27
15,2.31,432.30
16,2.02,496.10
17,1.93,516.86
18,1.98,504.00
19,1.98,505.95
20,2.02,494.24
21,1.88,532.49
22,2.01,496.44
23,1.92,522.11
24,1.74,576.22
25,1.79,558.41
26,1.62,616.40
27,1.85,540.05
28,1.52,656.64
29,1.50,666.70
30,1.56,640.41
31,1.52,658.64
32,1.42,703.75
33,1.36,737.60
34,1.31,765.59
35,1.19,838.21
36,1.38,726.37
37,1.31,763.56
38,1.77,566.10
39,1.53,651.75
40,1.55,646.96
41,1.53,654.49
42,1.57,636.26
43,1.65,605.88
44,1.66,601.61
45,1.65,605.91
46,1.73,579.62
47,1.66,602.63
48,1.70,589.57
49,2.01,498.29
50,1.81,551.49
51,1.80,555.18
52,2.05,488.72
53,1.81,550.98
54,1.80,555.30
55,1.86,536.22
56,1.93,518.75
57,1.84,542.80
58,1.98,504.51
59,1.88,531.74
60,1.99,502.11
61,2.03,491.81
62,2.02,495.77
63,1.99,503.62
64,2.10,477.17
65,2.06,485.17
66,2.01,497.48
67,2.11,474.28
68,2.11,473.98
69,2.14,467.10
70,2.42,413.21
71,2.06,485.08
72,2.12,472.27
73,2.16,463.38
74,2.12,471.26
75,2.13,469.40
76,2.16,462.46
77,2.13,468.85
78,2.19,456.23
79,2.21,453.40
80,2.29,437.20
81,2.23,447.95
82,2.18,458.29
83,2.19,455.96
84,2.34,427.17
85,2.23,448.51
86,2.36,423.71
87,2.50,400.32
88,2.49,401.03
89,2.47,405.40
90,2.45,408.46
91,2.50,399.56
92,2.50,400.52
93,2.49,401.20
94,2.49,401.59
95,2.46,405.78
96,2.46,407.27
97,2.51,397.77
98,2.56,390.68
99,2.48,402.55
100,2.57,389.24
101,2.57,389.26
102,3.00,333.09
103,2.55,392.39
104,2.42,413.58
105,11.33,88.27
106,2.78,359.56
107,4.15,241.09
108,4.02,248.57
109,3.99,250.50
110,2.42,412.58
111,2.69,371.60
112,2.73,366.21
113,2.95,339.15
114,2.47,405.52
115,2.49,401.29
116,2.49,401.14
117,2.25,444.34
118,2.22,450.02
119,2.24,445.99
120,2.25,444.74
121,2.20,454.92
122,2.21,452.81
123,2.23,447.99
124,2.17,460.07
125,2.03,492.09
126,2.11,474.55
127,2.08,479.79
128,2.08,481.41
129,2.04,489.36
130,2.00,500.52
131,1.98,504.27
132,1.87,535.05
133,1.82,547.98
134,2.19,456.69
135,1.86,538.19
136,1.73,579.64
137,1.72,581.78
138,1.67,597.72
139,1.61,619.24
140,1.63,612.75
141,1.61,622.72
142,1.55,643.95
143,1.43,699.14
144,1.41,707.62
145,1.22,822.15
146,1.40,711.87
147,1.48,676.69
148,1.68,594.06
149,1.56,639.32
150,1.56,639.83
151,1.64,610.27
152,1.74,575.05
153,1.68,593.54
154,1.76,567.76
155,1.79,557.37
156,1.83,545.75
157,1.86,537.62
158,1.95,512.74
159,1.93,519.03
160,1.98,505.83
161,1.98,505.64
162,1.99,501.82
163,2.06,485.66
164,2.11,474.94
165,2.03,493.66
166,2.44,410.47
167,2.09,477.73
168,2.12,470.82
169,2.21,453.42
170,2.24,447.41
171,2.18,457.95
172,2.25,444.86
173,2.23,448.46
174,2.27,441.12
175,2.26,441.90
176,2.24,445.82
177,2.25,444.78
178,2.27,440.02
179,2.29,436.03
180,2.52,397.15
181,2.38,419.80
182,2.32,430.23
183,2.39,417.64
184,2.32,430.68
185,2.34,428.09
186,2.41,414.77
187,2.40,416.90
188,2.33,428.44
189,2.44,409.37
190,2.43,410.79
191,2.46,406.57
192,2.44,409.49
193,2.44,409.83
194,2.37,421.91
195,2.34,428.25
196,2.44,409.88
197,2.32,430.25
198,2.71,369.02
199,2.33,428.38
200,2.41,414.43

