step,rot_degrees,frame_ms,fps
1,1.63636,156.65,6.38367
2,3.27273,150.516,6.64382
3,4.90909,147.765,6.76748
4,6.54545,142.162,7.03425
5,8.18182,133.83,7.47215
6,9.81818,134.311,7.44542
7,11.4545,130.428,7.66707
8,13.0909,127.509,7.84257
9,14.7273,128.405,7.78784
10,16.3636,124.643,8.02294
11,18,121.558,8.2265
12,19.6364,139.443,7.17139
13,21.2727,119.049,8.3999
14,22.9091,116.202,8.60569
15,24.5455,116.637,8.57359
16,26.1818,112.688,8.87406
17,27.8182,111.458,8.97201
18,29.4545,112.853,8.86107
19,31.0909,111.811,8.9437
20,32.7273,106.863,9.35781
21,34.3636,107.837,9.27327
22,36,108.475,9.21872
23,37.6364,104.704,9.55071
24,39.2727,104.543,9.56541
25,40.9091,105.271,9.49925
26,42.5455,105.541,9.47497
27,44.1818,102.53,9.75328
28,45.8182,103.16,9.69371
29,47.4545,104.496,9.56974
30,49.0909,105.732,9.45791
31,50.7273,104.032,9.61247
32,52.3636,103.411,9.67018
33,54,104.967,9.52678
34,55.6364,105.846,9.44767
35,57.2727,105.355,9.4917
36,58.9091,103.639,9.64889
37,60.5455,104.512,9.56829
38,62.1818,104.791,9.54277
39,63.8182,106.941,9.35097
40,65.4545,107.367,9.31388
41,67.0909,107.58,9.29541
42,68.7273,108.101,9.25062
43,70.3636,106.247,9.41203
44,72,106.599,9.38097
45,73.6364,106.649,9.37658
46,75.2727,107.094,9.33757
47,76.9091,108.276,9.23567
48,78.5455,108.587,9.20921
49,80.1818,109.147,9.16195
50,81.8182,109.393,9.14137
51,83.4545,108.578,9.20993
52,85.0909,109.162,9.16067
53,86.7273,107.263,9.32289
54,88.3636,106.125,9.42284
55,90,106.015,9.43262
56,91.6364,106.342,9.40366
57,93.2727,107.528,9.29994
58,94.9091,110.115,9.08145
59,96.5455,110.215,9.07318
60,98.1818,110.059,9.08601
61,99.8182,110.804,9.02496
62,101.455,109.627,9.12188
63,103.091,110.598,9.0418
64,104.727,108.115,9.24943
65,106.364,107.989,9.2602
66,108,107.225,9.32614
67,109.636,106.956,9.34961
68,111.273,108.523,9.21464
69,112.909,108.97,9.17685
70,114.545,108.967,9.17706
71,116.182,108.097,9.25095
72,117.818,106.281,9.40901
73,119.455,105.969,9.43673
74,121.091,105.699,9.46084
75,122.727,108.024,9.25719
76,124.364,107.033,9.34289
77,126,105.092,9.51547
78,127.636,104.669,9.55396
79,129.273,104.654,9.55526
80,130.909,107.179,9.33019
81,132.545,105.924,9.44076
82,134.182,104.309,9.5869
83,135.818,104.082,9.60777
84,137.455,107.85,9.27216
85,139.091,107.149,9.3328
86,140.727,105.256,9.50062
87,142.364,106.07,9.42777
88,144,109.05,9.1701
89,145.636,108.667,9.20246
90,147.273,107.411,9.31007
91,148.909,111.483,8.97
92,150.545,114.026,8.76994
93,152.182,112.661,8.87621
94,153.818,114.487,8.7346
95,155.455,118.064,8.46998
96,157.091,117.928,8.47978
97,158.727,119.464,8.37075
98,160.364,124.79,8.01346
99,162,123.39,8.1044
100,163.636,125.801,7.94908
101,165.273,130.184,7.68143
102,166.909,130.366,7.67074
103,168.545,147.481,6.78052
104,170.182,144.195,6.93507
105,171.818,142.236,7.03058
106,173.455,139.729,7.15669
107,175.091,145.027,6.89526
108,176.727,159.929,6.25276
109,178.364,148.817,6.71968
110,180,153.641,6.5087
111,181.636,155.748,6.42063
112,183.273,161.003,6.21105
113,184.909,162.91,6.13836
114,186.545,167.22,5.98016
115,188.182,172.172,5.80815
116,189.818,174.772,5.72173
117,191.455,178.789,5.5932
118,193.091,181.697,5.50365
119,194.727,185.458,5.39205
120,196.364,189.679,5.27206
121,198,191.597,5.21929
122,199.636,195.082,5.12606
123,201.273,196.67,5.08465
124,202.909,200.254,4.99365
125,204.545,201.348,4.96654
126,206.182,204.494,4.89011
127,207.818,205.583,4.86422
128,209.455,209.059,4.78333
129,211.091,208.725,4.791
130,212.727,211.461,4.729
131,214.364,214.773,4.65609
132,216,214.666,4.65839
133,217.636,214.322,4.66588
134,219.273,215.086,4.6493
135,220.909,215.526,4.63981
136,222.545,215.956,4.63057
137,224.182,216.571,4.61743
138,225.818,218.392,4.57893
139,227.455,218.952,4.56721
140,229.091,219.241,4.5612
141,230.727,220.169,4.54197
142,232.364,219.539,4.555
143,234,219.135,4.56339
144,235.636,220.67,4.53165
145,237.273,219.734,4.55095
146,238.909,219.466,4.55652
147,240.545,219.95,4.54649
148,242.182,220.394,4.53733
149,243.818,220.119,4.543
150,245.455,218.976,4.56671
151,247.091,220.601,4.53308
152,248.727,219.212,4.56178
153,250.364,219.21,4.56184
154,252,218.608,4.5744
155,253.636,218.029,4.58656
156,255.273,218.586,4.57485
157,256.909,218.512,4.57642
158,258.545,216.633,4.61611
159,260.182,216.109,4.62729
160,261.818,215.976,4.63015
161,263.455,214.122,4.67023
162,265.091,214.38,4.66462
163,266.727,214.235,4.66777
164,268.364,211.239,4.73398
165,270,212.403,4.70802
166,271.636,208.752,4.79037
167,273.273,209.819,4.76601
168,274.909,210.447,4.75178
169,276.545,210.574,4.74892
170,278.182,213.346,4.68722
171,279.818,212.723,4.70096
172,281.455,212.858,4.69796
173,283.091,213.924,4.67456
174,284.727,214.484,4.66235
175,286.364,214.293,4.6665
176,288,214.507,4.66185
177,289.636,214.003,4.67283
178,291.273,213.995,4.67301
179,292.909,214.603,4.65977
180,294.545,213.611,4.68141
181,296.182,215.188,4.64709
182,297.818,214.033,4.67218
183,299.455,213.446,4.68503
184,301.091,211.964,4.71778
185,302.727,212.687,4.70175
186,304.364,213.039,4.69397
187,306,212.198,4.71257
188,307.636,212.551,4.70476
189,309.273,212.075,4.7153
190,310.909,211.104,4.73699
191,312.545,210.158,4.75833
192,314.182,209.803,4.76637
193,315.818,209.94,4.76326
194,317.455,208.994,4.78482
195,319.091,207.834,4.81152
196,320.727,206.543,4.8416
197,322.364,206.526,4.842
198,324,205.747,4.86035
199,325.636,204.37,4.89309
200,327.273,203.342,4.91783
201,328.909,201.093,4.97283
202,330.545,201.12,4.97214
203,332.182,198.16,5.04642
204,333.818,196.616,5.08606
205,335.455,196.149,5.09816
206,337.091,193.903,5.15721
207,338.727,190.805,5.24095
208,340.364,188.348,5.30931
209,342,185.443,5.39249
210,343.636,183.218,5.45799
211,345.273,179.969,5.5565
212,346.909,176.133,5.67753
213,348.545,174.566,5.72849
214,350.182,170.67,5.85927
215,351.818,167.827,5.95851
216,353.455,164.206,6.08989
217,355.091,158.72,6.30039
218,356.727,157.226,6.36027
219,358.364,153.014,6.53534
220,360,150.236,6.65622
