# Bounding Box Culling
Frame,Frame (ms),FPS
1,107.84,9.27
2,108.47,9.22
3,104.70,9.55
4,104.54,9.57
5,105.27,9.50
6,105.54,9.47
7,102.53,9.75
8,103.16,9.69
9,104.50,9.57
10,105.73,9.46
11,104.03,9.61
12,103.41,9.67
13,104.97,9.53
14,105.85,9.45
15,105.36,9.49
16,103.64,9.65
17,104.51,9.57
18,104.79,9.54
19,106.94,9.35
20,107.37,9.31
21,107.58,9.30
22,108.10,9.25
23,106.25,9.41
24,106.60,9.38
25,106.65,9.38
26,107.09,9.34
27,108.28,9.24
28,108.59,9.21
29,109.15,9.16
30,109.39,9.14
31,108.58,9.21
32,109.16,9.16
33,107.26,9.32
34,106.12,9.42
35,106.02,9.43
36,106.34,9.40
37,107.53,9.30
38,110.11,9.08
39,110.22,9.07
40,110.06,9.09
41,110.80,9.02
42,109.63,9.12
43,110.60,9.04
44,108.11,9.25
45,107.99,9.26
46,107.22,9.33
47,106.96,9.35
48,108.52,9.21
49,108.97,9.18
50,108.97,9.18
51,108.10,9.25
52,106.28,9.41
53,105.97,9.44
54,105.70,9.46
55,108.02,9.26
56,107.03,9.34
57,105.09,9.52
58,104.67,9.55
59,104.65,9.56
60,107.18,9.33
61,105.92,9.44
62,104.31,9.59
63,104.08,9.61
64,107.85,9.27
65,107.15,9.33
66,105.26,9.50
67,106.07,9.43
68,109.05,9.17
69,108.67,9.20
70,107.41,9.31
71,111.48,8.97
72,114.03,8.77
73,112.66,8.88
74,114.49,8.73
75,118.06,8.47
76,117.93,8.48
77,119.46,8.37
78,124.79,8.01
79,123.39,8.10
80,125.80,7.95
81,130.18,7.68
82,130.37,7.67
83,147.48,6.78
84,144.19,6.94
85,142.24,7.03
86,139.73,7.16
87,145.03,6.90
88,159.93,6.25
89,148.82,6.72
90,153.64,6.51
91,155.75,6.42
92,161.00,6.21
93,162.91,6.14
94,167.22,5.98
95,172.17,5.81
96,174.77,5.72
97,178.79,5.59
98,181.70,5.50
99,185.46,5.39
