step,rot_degrees,frame_ms,fps
1,1.8,1.38162,723.786
2,3.6,1.69142,591.218
3,5.4,2.30778,433.316
4,7.2,1.39435,717.181
5,9,1.66271,601.428
6,10.8,2.12405,470.798
7,12.6,1.52321,656.507
8,14.4,1.58602,630.508
9,16.2,1.47714,676.986
10,18,1.67626,596.565
11,19.8,1.56483,639.046
12,21.6,2.1665,461.575
13,23.4,1.46435,682.896
14,25.2,1.58093,632.538
15,27,1.57503,634.908
16,28.8,1.51768,658.899
17,30.6,1.47032,680.123
18,32.4,1.45165,688.873
19,34.2,1.42588,701.322
20,36,1.43725,695.774
21,37.8,1.45254,688.45
22,39.6,1.4442,692.423
23,41.4,1.40978,709.332
24,43.2,1.47673,677.17
25,45,1.44501,692.035
26,46.8,1.48518,673.319
27,48.6,1.4319,698.373
28,50.4,1.44557,691.766
29,52.2,1.44398,692.529
30,54,1.45349,687.999
31,55.8,1.4517,688.849
32,57.6,1.4489,690.178
33,59.4,1.84927,540.753
34,61.2,1.43948,694.693
35,63,1.46848,680.977
36,64.8,1.49466,669.049
37,66.6,1.48169,674.903
38,68.4,1.47367,678.578
39,70.2,1.49488,668.95
40,72,1.49495,668.919
41,73.8,1.49381,669.431
42,75.6,1.49694,668.028
43,77.4,1.40243,713.046
44,79.2,1.4738,678.519
45,81,1.47671,677.179
46,82.8,1.50456,664.647
47,84.6,1.48621,672.851
48,86.4,1.48074,675.337
49,88.2,1.77447,563.549
50,90,1.46469,682.737
51,91.8,1.51355,660.697
52,93.6,1.49238,670.069
53,95.4,1.71321,583.699
54,97.2,1.46882,680.819
55,99,1.511,661.814
56,100.8,1.51668,659.335
57,102.6,1.49955,666.868
58,104.4,1.45207,688.673
59,106.2,1.83304,545.542
60,108,1.5024,665.6
61,109.8,1.51121,661.721
62,111.6,1.48878,671.692
63,113.4,1.48229,674.634
64,115.2,1.49992,666.703
65,117,1.48445,673.651
66,118.8,1.5122,661.287
67,120.6,1.515,660.067
68,122.4,1.47953,675.89
69,124.2,1.74012,574.671
70,126,1.40356,712.476
71,127.8,1.48061,675.396
72,129.6,1.47819,676.504
73,131.4,1.46434,682.901
74,133.2,1.4723,679.211
75,135,1.45094,689.21
76,136.8,1.45857,685.603
77,138.6,1.46176,684.109
78,140.4,1.89172,528.619
79,142.2,1.52276,656.701
80,144,1.47565,677.667
81,145.8,1.42228,703.096
82,147.6,1.40232,713.102
83,149.4,1.46333,683.373
84,151.2,1.47034,680.114
85,153,1.4667,681.8
86,154.8,1.48418,673.774
87,156.6,1.49398,669.354
88,158.4,1.4491,690.082
89,160.2,1.48145,675.013
90,162,1.41409,707.171
