step,rot_degrees,frame_ms,fps
1,1.8,1.41955,704.451
2,3.6,1.76824,565.534
3,5.4,1.55978,641.115
4,7.2,1.50338,665.17
5,9,1.49954,666.872
6,10.8,2.08932,478.625
7,12.6,1.73451,576.53
8,14.4,1.43689,695.948
9,16.2,1.48491,673.441
10,18,1.49894,667.139
11,19.8,1.64237,608.876
12,21.6,2.08226,480.247
13,23.4,1.49953,666.877
14,25.2,1.45599,686.816
15,27,1.55906,641.412
16,28.8,1.49107,670.658
17,30.6,1.45293,688.265
18,32.4,1.43494,696.895
19,34.2,1.47372,678.555
20,36,1.46988,680.327
21,37.8,1.45868,685.551
22,39.6,1.5101,662.209
23,41.4,1.4679,681.246
24,43.2,1.40442,712.039
25,45,1.47705,677.027
26,46.8,1.47323,678.782
27,48.6,1.44701,691.081
28,50.4,1.48933,671.443
29,52.2,1.48692,672.529
30,54,1.45649,686.583
31,55.8,1.43208,698.285
32,57.6,1.44198,693.491
33,59.4,1.54551,647.034
34,61.2,1.8948,527.76
35,63,1.51635,659.478
36,64.8,1.51874,658.443
37,66.6,1.50535,664.298
38,68.4,1.45211,688.654
39,70.2,1.51949,658.117
40,72,1.45743,686.14
41,73.8,1.45749,686.112
42,75.6,1.52834,654.303
43,77.4,1.52187,657.086
44,79.2,1.4526,688.421
45,81,1.46334,683.368
46,82.8,1.54278,648.181
47,84.6,1.4618,684.09
48,86.4,1.45186,688.773
49,88.2,1.45765,686.037
50,90,1.53729,650.495
51,91.8,1.54088,648.981
52,93.6,1.53726,650.508
53,95.4,1.53645,650.851
54,97.2,1.81851,549.9
55,99,1.55304,643.898
56,100.8,1.56243,640.029
57,102.6,1.55515,643.024
58,104.4,1.54234,648.366
59,106.2,1.53779,650.283
60,108,1.53402,651.881
61,109.8,1.47796,676.61
62,111.6,1.47849,676.367
63,113.4,1.64586,607.587
64,115.2,1.56354,639.575
65,117,1.56095,640.638
66,118.8,1.56509,638.94
67,120.6,1.5578,641.931
68,122.4,1.50041,666.485
69,124.2,1.52669,655.012
70,126,1.52123,657.363
71,127.8,1.55843,641.671
72,129.6,1.56717,638.094
73,131.4,1.45782,685.956
74,133.2,1.44877,690.24
75,135,1.5141,660.456
76,136.8,1.5103,662.121
77,138.6,1.51019,662.169
78,140.4,1.46634,681.972
79,142.2,1.87395,533.632
80,144,1.51698,659.204
81,145.8,1.52831,654.317
82,147.6,1.4625,683.762
83,149.4,1.47688,677.101
84,151.2,1.48845,671.841
85,153,1.51192,661.41
86,154.8,1.51439,660.334
87,156.6,1.56222,640.116
88,158.4,1.50571,664.138
89,160.2,1.5509,644.789
90,162,1.55286,643.974
91,163.8,1.48578,673.046
92,165.6,1.55761,642.01
93,167.4,1.48813,671.986
94,169.2,1.55031,645.034
95,171,1.54354,647.861
96,172.8,1.48416,673.782
97,174.6,1.55999,641.029
98,176.4,1.5466,646.581
99,178.2,1.66514,600.549
100,180,1.56053,640.806
101,181.8,1.48638,672.774
102,183.6,1.43816,695.332
103,185.4,1.55083,644.818
104,187.2,1.54712,646.363
105,189,1.66827,599.424
106,190.8,1.66651,600.055
107,192.6,1.74522,572.992
108,194.4,1.77233,564.23
109,196.2,1.72022,581.322
110,198,1.7253,579.61
111,199.8,1.66303,601.312
112,201.6,1.7243,579.947
113,203.4,1.72517,579.654
