step,rot_degrees,frame_ms,fps
1,1.8,49.2795,20.2924
2,3.6,127.298,7.85561
3,5.4,60.2465,16.5985
4,7.2,15.7111,63.6494
5,9,9.05768,110.404
6,10.8,9.46937,105.604
7,12.6,9.81431,101.892
8,14.4,10.1764,98.2668
9,16.2,9.94942,100.508
10,18,10.9583,91.2548
11,19.8,11.1399,89.7674
12,21.6,11.1906,89.3606
13,23.4,11.544,86.625
14,25.2,12.4131,80.5599
15,27,11.5043,86.924
16,28.8,12.216,81.8602
17,30.6,12.8546,77.7932
18,32.4,13.6419,73.3033
19,34.2,14.6336,68.3361
20,36,16.3582,61.1313
21,37.8,16.8962,59.1848
22,39.6,18.1135,55.2073
23,41.4,20.441,48.9212
24,43.2,23.4939,42.5642
25,45,27.0053,37.0297
26,46.8,30.0629,33.2636
27,48.6,33.9164,29.4842
28,50.4,37.4581,26.6965
29,52.2,41.7635,23.9444
30,54,45.7879,21.8398
31,55.8,50.1693,19.9325
32,57.6,53.7231,18.614
33,59.4,57.6191,17.3554
34,61.2,80.3399,12.4471
35,63,63.1549,15.8341
36,64.8,61.918,16.1504
37,66.6,60.7022,16.4739
38,68.4,62.1346,16.0941
39,70.2,60.8778,16.4264
40,72,60.6841,16.4788
41,73.8,59.4125,16.8315
42,75.6,59.8577,16.7063
43,77.4,60.4727,16.5364
44,79.2,62.4081,16.0236
45,81,62.4535,16.0119
46,82.8,64.8709,15.4152
47,84.6,62.283,16.0557
48,86.4,46.1314,21.6772
49,88.2,30.7911,32.4769
50,90,24.2938,41.1627
51,91.8,60.7992,16.4476
52,93.6,60.3745,16.5633
53,95.4,61.1471,16.354
54,97.2,63.8742,15.6558
55,99,59.9694,16.6752
56,100.8,59.4178,16.83
57,102.6,56.5401,17.6866
58,104.4,56.7889,17.6091
59,106.2,56.4443,17.7166
60,108,57.0922,17.5155
61,109.8,57.3466,17.4378
62,111.6,58.0237,17.2343
63,113.4,58.7197,17.0301
64,115.2,59.6328,16.7693
65,117,59.345,16.8506
66,118.8,59.999,16.6669
67,120.6,56.994,17.5457
68,122.4,54.7428,18.2672
69,124.2,52.8211,18.9318
70,126,47.538,21.0358
71,127.8,43.3452,23.0706
72,129.6,38.9636,25.665
73,131.4,35.5814,28.1046
74,133.2,31.8722,31.3753
75,135,28.1889,35.4749
76,136.8,25.2751,39.5646
77,138.6,21.7111,46.0593
78,140.4,19.7138,50.7258
79,142.2,18.4326,54.2517
80,144,17.3454,57.6522
81,145.8,16.2912,61.3828
82,147.6,15.3812,65.0144
83,149.4,14.5644,68.6605
84,151.2,13.7804,72.5667
85,153,13.2193,75.647
86,154.8,12.37,80.8409
87,156.6,12.0338,83.0992
88,158.4,11.5003,86.9545
89,160.2,11.0814,90.2413
90,162,10.4657,95.5502
91,163.8,10.1814,98.2187
92,165.6,9.68388,103.264
93,167.4,9.57193,104.472
94,169.2,9.1973,108.728
95,171,8.92846,112.001
96,172.8,8.50885,117.525
97,174.6,8.53001,117.233
98,176.4,8.23058,121.498
99,178.2,8.37899,119.346
100,180,8.09529,123.529
101,181.8,7.89723,126.627
102,183.6,7.65581,130.62
103,185.4,7.95514,125.705
104,187.2,7.39834,135.165
105,189,7.19247,139.034
106,190.8,7.02408,142.367
107,192.6,6.95891,143.701
108,194.4,6.99288,143.003
109,196.2,6.56605,152.299
110,198,6.38924,156.513
111,199.8,6.58425,151.878
112,201.6,6.22561,160.627
113,203.4,6.01544,166.239
114,205.2,6.3244,158.118
115,207,5.84922,170.963
116,208.8,6.06961,164.755
117,210.6,5.94951,168.081
118,212.4,5.82557,171.657
119,214.2,5.66577,176.498
120,216,5.51523,181.316
121,217.8,5.43614,183.954
122,219.6,5.15055,194.154
123,221.4,4.99877,200.049
124,223.2,4.92477,203.055
125,225,4.66494,214.365
126,226.8,4.49549,222.445
