step,rot_degrees,frame_ms,fps
1,1.8,57.6753,17.3385
2,3.6,16.6987,59.885
3,5.4,14.4912,69.0072
4,7.2,15.2009,65.7856
5,9,8.48595,117.842
6,10.8,8.56836,116.708
7,12.6,9.09777,109.917
8,14.4,9.06769,110.282
9,16.2,9.07638,110.176
10,18,9.61305,104.025
11,19.8,8.67778,115.237
12,21.6,8.76923,114.035
13,23.4,8.90647,112.278
14,25.2,9.44462,105.88
15,27,9.92165,100.79
16,28.8,10.4121,96.0417
17,30.6,10.6369,94.0121
18,32.4,10.964,91.2074
19,34.2,11.6402,85.9091
20,36,12.8885,77.5883
21,37.8,12.6881,78.814
22,39.6,13.024,76.7813
23,41.4,14.0348,71.2513
24,43.2,15.1816,65.8691
25,45,16.0897,62.1516
26,46.8,17.2686,57.9085
27,48.6,18.2357,54.8374
28,50.4,19.0275,52.5555
29,52.2,20.1162,49.7112
30,54,20.6817,48.352
31,55.8,21.446,46.6287
32,57.6,21.3514,46.8352
33,59.4,21.1796,47.2152
34,61.2,21.2709,47.0126
35,63,20.3565,49.1244
36,64.8,19.0666,52.4477
37,66.6,17.9063,55.8464
38,68.4,16.8444,59.367
39,70.2,15.8536,63.0772
40,72,14.81,67.522
41,73.8,13.5998,73.5304
42,75.6,12.5344,79.7802
43,77.4,11.6209,86.0516
44,79.2,10.3518,96.6018
45,81,8.80334,113.593
46,82.8,7.73228,129.328
47,84.6,5.73261,174.441
48,86.4,3.62834,275.608
49,88.2,1.83092,546.174
50,90,1.71048,584.632
51,91.8,3.13759,318.716
52,93.6,4.23503,236.126
53,95.4,5.30284,188.578
54,97.2,6.23916,160.278
55,99,7.29347,137.109
56,100.8,8.11658,123.205
57,102.6,8.92588,112.034
58,104.4,10.147,98.5513
59,106.2,16.4202,60.9005
60,108,12.5514,79.6721
61,109.8,12.7672,78.3256
62,111.6,14.007,71.3931
63,113.4,14.8207,67.4733
64,115.2,15.5495,64.3106
65,117,16.223,61.6408
66,118.8,17.6776,56.5688
67,120.6,18.3257,54.5683
68,122.4,18.9773,52.6946
69,124.2,19.0097,52.6046
70,126,19.043,52.5126
71,127.8,18.6118,53.7293
72,129.6,18.1533,55.0865
73,131.4,17.5865,56.8617
74,133.2,17.0595,58.6183
75,135,16.0529,62.2939
76,136.8,15.9308,62.7715
77,138.6,14.4555,69.1776
78,140.4,14.1529,70.6569
79,142.2,13.7423,72.7683
80,144,13.2127,75.6846
81,145.8,12.765,78.339
82,147.6,12.1197,82.51
83,149.4,11.7577,85.0509
84,151.2,11.1795,89.4496
85,153,11.0226,90.7227
86,154.8,10.3011,97.0766
87,156.6,10.2935,97.1488
88,158.4,9.84598,101.564
89,160.2,9.53279,104.901
90,162,8.9131,112.194
91,163.8,8.91437,112.178
92,165.6,8.62836,115.897
93,167.4,8.41782,118.796
94,169.2,8.43365,118.573
95,171,8.2127,121.763
96,172.8,7.83741,127.593
97,174.6,7.92813,126.133
98,176.4,7.56467,132.194
99,178.2,7.92991,126.105
100,180,7.60559,131.482
101,181.8,7.44505,134.317
102,183.6,7.20783,138.738
103,185.4,7.591,131.735
104,187.2,6.98197,143.226
105,189,6.8014,147.029
106,190.8,6.62037,151.049
107,192.6,6.57231,152.153
108,194.4,6.68542,149.579
109,196.2,6.12606,163.237
110,198,5.92496,168.777
111,199.8,6.25424,159.892
112,201.6,5.88485,169.928
113,203.4,5.65469,176.844
114,205.2,6.02214,166.054
115,207,5.52127,181.118
116,208.8,5.80126,172.376
117,210.6,5.72834,174.571
118,212.4,5.5877,178.964
119,214.2,5.3721,186.147
120,216,5.21921,191.6
121,217.8,5.47148,182.766
122,219.6,4.84837,206.255
123,221.4,4.66526,214.35
124,223.2,4.63741,215.638
125,225,4.31386,231.811
126,226.8,4.14468,241.273
127,228.6,4.0392,247.574
128,230.4,3.83111,261.021
129,232.2,3.55621,281.198
130,234,3.46991,288.192
131,235.8,3.23201,309.405
132,237.6,3.08353,324.304
133,239.4,2.94828,339.181
134,241.2,2.73493,365.64
135,243,2.60283,384.197
136,244.8,2.46304,406.003
137,246.6,2.46014,406.48
138,248.4,2.3148,432.004
139,250.2,2.2486,444.721
140,252,2.37705,420.689
141,253.8,1.99744,500.64
142,255.6,1.92765,518.766
143,257.4,1.90555,524.783
144,259.2,2.28471,437.693
145,261,1.74298,573.73
146,262.8,1.6676,599.665
147,264.6,1.6004,624.844
148,266.4,1.52296,656.615
149,268.2,1.43965,694.611
150,270,1.39316,717.795
151,271.8,1.33624,748.37
152,273.6,1.3967,715.972
153,275.4,1.46078,684.568
154,277.2,1.51725,659.086
155,279,1.57094,636.56
156,280.8,1.67522,596.936
157,282.6,1.70883,585.197
158,284.4,1.77402,563.692
159,286.2,1.80909,552.765
160,288,1.96239,509.583
161,289.8,2.0631,484.708
162,291.6,2.07611,481.669
163,293.4,2.19714,455.137
164,295.2,2.26583,441.339
165,297,2.36588,422.675
166,298.8,2.46879,405.057
167,300.6,2.53794,394.02
168,302.4,2.67485,373.853
169,304.2,2.84484,351.513
170,306,2.9285,341.471
171,307.8,3.06403,326.368
172,309.6,3.22033,310.528
173,311.4,3.42871,291.655
174,313.2,3.62329,275.992
175,315,3.86794,258.536
176,316.8,3.89473,256.757
177,318.6,4.06739,245.858
178,320.4,4.27286,234.035
179,322.2,4.42002,226.243
180,324,4.71473,212.101
181,325.8,4.9163,203.405
182,327.6,4.75116,210.475
183,329.4,5.04309,198.291
184,331.2,5.02313,199.079
185,333,5.76595,173.432
186,334.8,5.1108,195.664
187,336.6,5.87106,170.327
188,338.4,5.59586,178.704
189,340.2,5.61184,178.195
190,342,5.55521,180.011
191,343.8,5.70657,175.237
192,345.6,5.86412,170.529
193,347.4,5.92701,168.719
194,349.2,6.03199,165.783
195,351,6.22907,160.538
196,352.8,6.24621,160.097
197,354.6,6.39388,156.399
198,356.4,6.40225,156.195
199,358.2,6.62274,150.995
200,360,6.958,143.719
