step,rot_degrees,frame_ms,fps
1,1.63636,1.48751,672.262
2,3.27273,8.20436,121.886
3,4.90909,1.53631,650.911
4,6.54545,1.49772,667.68
5,8.18182,1.93651,516.393
6,9.81818,1.51009,662.213
7,11.4545,1.61264,620.1
8,13.0909,1.56769,637.882
9,14.7273,1.48166,674.917
10,16.3636,1.50708,663.534
11,18,1.51441,660.324
12,19.6364,1.51133,661.669
13,21.2727,1.70667,585.936
14,22.9091,1.5897,629.049
15,24.5455,1.51391,660.539
16,26.1818,1.56699,638.168
17,27.8182,2.25669,443.128
18,29.4545,1.50259,665.516
19,31.0909,1.48914,671.529
20,32.7273,1.44423,692.409
21,34.3636,1.44743,690.88
22,36,1.44766,690.77
23,37.6364,1.4818,674.853
24,39.2727,1.43201,698.32
25,40.9091,1.4742,678.334
26,42.5455,1.47376,678.537
27,44.1818,1.46755,681.409
28,45.8182,1.433,697.836
29,47.4545,1.48702,672.488
30,49.0909,1.44415,692.448
31,50.7273,1.45659,686.537
32,52.3636,1.45566,686.971
33,54,1.44663,691.263
34,55.6364,1.4577,686.013
35,57.2727,1.46084,684.536
36,58.9091,1.79989,555.59
37,60.5455,1.46627,682.001
38,62.1818,1.48336,674.146
39,63.8182,1.55005,645.139
40,65.4545,1.46041,684.737
41,67.0909,1.46803,681.186
42,68.7273,1.4791,676.087
43,70.3636,1.50182,665.858
44,72,1.50115,666.156
45,73.6364,1.46228,683.865
46,75.2727,1.46989,680.322
47,76.9091,1.50062,666.391
48,78.5455,1.50561,664.183
49,80.1818,1.46612,682.07
50,81.8182,1.49709,667.961
51,83.4545,1.50119,666.138
52,85.0909,1.47605,677.482
53,86.7273,1.45926,685.278
54,88.3636,1.47102,679.799
55,90,1.46744,681.461
56,91.6364,1.72185,580.771
57,93.2727,1.48762,672.216
58,94.9091,1.51774,658.873
59,96.5455,1.50992,662.288
60,98.1818,1.52571,655.434
61,99.8182,1.49041,670.956
62,101.455,1.51923,658.23
63,103.091,1.48674,672.611
64,104.727,1.56864,637.495
65,106.364,1.57062,636.69
66,108,1.53158,652.921
67,109.636,1.57263,635.879
68,111.273,1.52429,656.041
69,112.909,1.49833,667.411
70,114.545,1.50044,666.471
71,116.182,1.53461,651.63
72,117.818,1.47212,679.294
73,119.455,1.50784,663.199
74,121.091,1.49614,668.386
75,122.727,1.51598,659.64
76,124.364,1.56457,639.152
77,126,1.49169,670.379
78,127.636,1.49483,668.973
79,129.273,1.48461,673.578
80,130.909,1.48196,674.784
81,132.545,1.8591,537.895
82,134.182,1.49008,671.105
83,135.818,1.48127,675.095
84,137.455,1.48396,673.874
85,139.091,1.45294,688.26
86,140.727,1.48544,673.201
87,142.364,1.45845,685.659
88,144,1.46276,683.64
89,145.636,1.46898,680.745
90,147.273,1.47492,678.002
91,148.909,1.5087,662.824
92,150.545,1.55436,643.351
93,152.182,1.55865,641.581
94,153.818,1.53042,653.417
95,155.455,1.56632,638.437
96,157.091,1.56822,637.666
97,158.727,1.53639,650.878
98,160.364,1.5656,638.732
99,162,1.57564,634.662
100,163.636,1.54183,648.58
101,165.273,1.7698,565.035
102,166.909,1.57831,633.59
103,168.545,1.54651,646.618
104,170.182,1.47914,676.069
105,171.818,1.55079,644.831
106,173.455,1.55889,641.482
107,175.091,1.55452,643.284
108,176.727,1.56402,639.378
109,178.364,1.55925,641.334
110,180,1.59855,625.568
111,181.636,1.57617,634.448
112,183.273,1.61587,618.862
113,184.909,1.59865,625.529
114,186.545,1.58398,631.321
115,188.182,1.76688,565.971
116,189.818,1.8045,554.171
117,191.455,1.77999,561.801
118,193.091,1.75346,570.301
119,194.727,1.8093,552.701
120,196.364,1.78739,559.474
121,198,1.81765,550.16
122,199.636,1.81387,551.306
123,201.273,1.78764,559.395
124,202.909,1.79326,557.642
125,204.545,1.79039,558.538
126,206.182,2.2516,444.129
127,207.818,1.82648,547.502
128,209.455,1.82374,548.323
129,211.091,1.80503,554.008
130,212.727,1.7851,560.193
131,214.364,1.79733,556.38
132,216,1.81474,551.044
133,217.636,1.82854,546.884
134,219.273,1.83304,545.541
135,220.909,1.81116,552.132
136,222.545,1.84004,543.465
137,224.182,1.82544,547.814
138,225.818,1.78526,560.143
139,227.455,1.78189,561.201
140,229.091,1.82077,549.219
141,230.727,1.78346,560.709
142,232.364,1.78507,560.202
143,234,1.79231,557.938
144,235.636,1.77705,562.732
145,237.273,1.78336,560.74
146,238.909,1.9654,508.802
147,240.545,1.79902,555.859
148,242.182,1.77115,564.604
149,243.818,1.71791,582.102
150,245.455,1.7986,555.989
151,247.091,1.72879,578.438
152,248.727,1.77319,563.956
153,250.364,1.77724,562.672
154,252,1.73456,576.514
155,253.636,1.76074,567.945
156,255.273,1.73641,575.901
157,256.909,1.73269,577.137
158,258.545,1.76637,566.134
159,260.182,1.72929,578.274
160,261.818,1.72933,578.257
161,263.455,1.77096,564.665
162,265.091,1.7228,580.45
163,266.727,3.86849,258.499
164,268.364,3.92874,254.534
165,270,3.85555,259.366
166,271.636,3.87268,258.219
167,273.273,3.83785,260.563
168,274.909,3.85451,259.436
169,276.545,3.82286,261.584
170,278.182,3.76317,265.734
171,279.818,3.86148,258.968
172,281.455,5.33657,187.386
173,283.091,3.70097,270.199
174,284.727,3.83125,261.012
175,286.364,3.93383,254.205
176,288,3.97258,251.725
177,289.636,3.98114,251.184
178,291.273,3.96971,251.908
179,292.909,3.97703,251.444
180,294.545,4.05913,246.358
181,296.182,3.9685,251.985
182,297.818,3.91195,255.627
183,299.455,3.98615,250.869
184,301.091,3.98915,250.68
185,302.727,3.99905,250.059
186,304.364,3.99528,250.295
187,306,4.05856,246.393
188,307.636,3.98875,250.705
189,309.273,4.0435,247.311
190,310.909,4.09343,244.294
191,312.545,4.01484,249.076
192,314.182,4.08584,244.748
193,315.818,4.39681,227.438
194,317.455,4.39703,227.426
195,319.091,4.31493,231.754
196,320.727,4.08432,244.839
197,322.364,8.31182,120.311
198,324,13.2487,75.479
199,325.636,10.1952,98.0851
200,327.273,11.2545,88.8534
201,328.909,12.1958,81.9956
202,330.545,10.9661,91.1901
203,332.182,3.85227,259.587
204,333.818,4.84966,206.2
205,335.455,26.0299,38.4174
206,337.091,3.70204,270.121
207,338.727,5.76275,173.528
208,340.364,5.16734,193.523
209,342,5.07169,197.173
210,343.636,3.21208,311.325
211,345.273,1.88491,530.529
212,346.909,1.85227,539.879
213,348.545,1.89991,526.341
214,350.182,1.90302,525.482
215,351.818,1.852,539.958
