step,rot_degrees,frame_ms,fps
1,3.6,8.71332,114.767
2,7.2,15.3458,65.1643
3,10.8,9.86225,101.397
4,14.4,9.76108,102.448
5,18,8.52871,117.251
6,21.6,8.34399,119.847
7,25.2,8.22818,121.534
8,28.8,8.14856,122.721
9,32.4,8.13194,122.972
10,36,7.97647,125.369
11,39.6,7.85776,127.263
12,43.2,7.80983,128.044
13,46.8,7.9977,125.036
14,50.4,7.60316,131.524
15,54,7.46152,134.021
16,57.6,7.41495,134.863
17,61.2,8.17762,122.285
18,64.8,7.2015,138.86
19,68.4,7.21028,138.691
20,72,7.02313,142.387
21,75.6,6.90273,144.87
22,79.2,7.05192,141.805
23,82.8,6.62271,150.996
24,86.4,6.43605,155.375
25,90,6.39401,156.396
26,93.6,6.32029,158.22
27,97.2,6.61847,151.092
28,100.8,6.87077,145.544
29,104.4,7.03843,142.077
30,108,7.2475,137.979
31,111.6,7.37726,135.552
32,115.2,7.5504,132.443
33,118.8,7.63312,131.008
34,122.4,7.76743,128.743
35,126,7.86255,127.185
36,129.6,10.7216,93.2693
37,133.2,8.2442,121.297
38,136.8,9.25385,108.063
39,140.4,8.33361,119.996
40,144,8.4229,118.724
41,147.6,8.54881,116.975
42,151.2,8.58111,116.535
43,154.8,8.80019,113.634
44,158.4,8.90987,112.235
45,162,9.00049,111.105
46,165.6,9.08659,110.052
47,169.2,9.18365,108.889
48,172.8,9.19625,108.74
49,176.4,9.91269,100.881
50,180,9.30552,107.463
51,183.6,9.37088,106.714
52,187.2,9.67077,103.404
53,190.8,9.50435,105.215
54,194.4,14.8537,67.3235
55,198,9.51734,105.071
56,201.6,9.67066,103.406
57,205.2,9.63323,103.807
58,208.8,9.69695,103.125
59,212.4,9.65011,103.626
60,216,9.65239,103.601
61,219.6,9.58512,104.328
62,223.2,10.5345,94.9259
63,226.8,9.507,105.186
64,230.4,9.36368,106.796
65,234,9.23666,108.264
66,237.6,9.11707,109.684
67,241.2,8.9971,111.147
68,244.8,8.86049,112.861
69,248.4,8.69844,114.963
70,252,8.47305,118.021
71,255.6,8.31726,120.232
72,259.2,8.17652,122.301
73,262.8,7.99827,125.027
74,266.4,7.72571,129.438
75,270,7.68504,130.123
76,273.6,7.88861,126.765
77,277.2,8.1117,123.279
78,280.8,8.309,120.351
79,284.4,8.47129,118.046
80,288,8.63036,115.87
81,291.6,8.75064,114.277
82,295.2,8.98421,111.306
83,298.8,9.14,109.409
84,302.4,9.31333,107.373
85,306,9.35448,106.901
86,309.6,9.43822,105.952
87,313.2,9.49144,105.358
88,316.8,9.49992,105.264
89,320.4,9.49708,105.296
90,324,9.41324,106.233
91,327.6,9.39487,106.441
92,331.2,9.34273,107.035
93,334.8,9.24862,108.124
94,338.4,9.12924,109.538
95,342,8.98722,111.269
96,345.6,8.9124,112.203
97,349.2,8.86494,112.804
98,352.8,8.86324,112.826
99,356.4,8.81121,113.492
100,360,8.72447,114.62
