step,rot_degrees,frame_ms,fps
1,3.6,5.41882,184.542
2,7.2,12.0404,83.0539
3,10.8,5.34959,186.93
4,14.4,5.50916,181.516
5,18,5.28397,189.252
6,21.6,7.62803,131.095
7,25.2,7.67745,130.252
8,28.8,5.10626,195.838
9,32.4,4.88371,204.763
10,36,5.36943,186.24
11,39.6,4.75589,210.265
12,43.2,7.54551,132.529
13,46.8,4.69327,213.071
14,50.4,4.59808,217.482
15,54,4.56835,218.898
16,57.6,4.49446,222.496
17,61.2,5.32742,187.708
18,64.8,4.31253,231.882
19,68.4,4.09805,244.018
20,72,3.98806,250.748
21,75.6,3.949,253.229
22,79.2,4.11835,242.816
23,82.8,3.74528,267.003
24,86.4,3.57202,279.953
25,90,3.42249,292.185
26,93.6,3.33166,300.151
27,97.2,3.53833,282.619
28,100.8,3.66158,273.106
29,104.4,3.70235,270.099
30,108,3.72617,268.372
31,111.6,3.80793,262.61
32,115.2,3.88764,257.225
33,118.8,3.94766,253.315
34,122.4,4.0111,249.308
35,126,4.02936,248.178
36,129.6,4.04535,247.197
37,133.2,4.13781,241.674
38,136.8,4.21239,237.395
39,140.4,4.2512,235.227
40,144,4.28,233.645
41,147.6,4.37363,228.643
42,151.2,4.48987,222.724
43,154.8,4.64633,215.223
44,158.4,4.80856,207.962
45,162,4.93609,202.589
46,165.6,5.10318,195.956
47,169.2,5.22126,191.525
48,172.8,5.29784,188.756
49,176.4,5.59801,178.635
50,180,5.41245,184.759
51,183.6,5.478,182.548
52,187.2,5.69041,175.734
53,190.8,5.4595,183.167
54,194.4,5.51153,181.438
55,198,5.52883,180.87
56,201.6,5.52347,181.046
57,205.2,5.51274,181.398
58,208.8,5.53392,180.704
59,212.4,5.47993,182.484
60,216,5.48586,182.287
61,219.6,5.43288,184.064
62,223.2,5.39057,185.509
63,226.8,5.3676,186.303
64,230.4,5.25095,190.442
65,234,5.20932,191.964
66,237.6,5.14212,194.472
67,241.2,5.03682,198.538
68,244.8,4.96001,201.612
69,248.4,4.90165,204.013
70,252,4.77349,209.49
71,255.6,4.63498,215.751
72,259.2,4.47954,223.237
73,262.8,4.25742,234.884
74,266.4,4.11523,243
75,270,4.06216,246.174
76,273.6,4.17783,239.358
77,277.2,4.35694,229.519
78,280.8,4.51387,221.539
79,284.4,4.59105,217.815
80,288,4.6757,213.872
81,291.6,4.76753,209.752
82,295.2,4.87237,205.239
83,298.8,4.95738,201.72
84,302.4,5.05238,197.927
85,306,5.21229,191.854
86,309.6,5.24123,190.795
87,313.2,5.27496,189.575
88,316.8,5.4465,183.604
89,320.4,5.51964,181.171
90,324,5.56043,179.842
91,327.6,5.60657,178.362
92,331.2,5.61747,178.016
93,334.8,5.56099,179.824
94,338.4,5.54459,180.356
95,342,5.5381,180.567
96,345.6,5.51867,181.203
97,349.2,5.54517,180.337
98,352.8,5.51286,181.394
99,356.4,5.52185,181.099
100,360,5.48301,182.381
