step,rot_degrees,frame_ms,fps
1,3.6,7.29186,137.139
2,7.2,13.8807,72.0424
3,10.8,7.17355,139.401
4,14.4,8.45018,118.341
5,18,9.49479,105.321
6,21.6,12.0159,83.2231
7,25.2,7.02252,142.399
8,28.8,6.67982,149.705
9,32.4,7.63141,131.037
10,36,6.52654,153.221
11,39.6,9.00522,111.047
12,43.2,6.44133,155.247
13,46.8,6.39567,156.356
14,50.4,6.24364,160.163
15,54,6.08475,164.345
16,57.6,6.02281,166.036
17,61.2,6.82818,146.452
18,64.8,5.92628,168.74
19,68.4,5.82819,171.58
20,72,5.72617,174.637
21,75.6,5.5876,178.968
22,79.2,5.66378,176.561
23,82.8,5.35443,186.761
24,86.4,5.15607,193.946
25,90,5.05263,197.917
26,93.6,4.89077,204.467
27,97.2,5.1958,192.463
28,100.8,5.36699,186.324
29,104.4,5.51566,181.302
30,108,5.63511,177.459
31,111.6,5.75525,173.754
32,115.2,5.8505,170.926
33,118.8,5.92717,168.715
34,122.4,5.97714,167.304
35,126,6.45603,154.894
36,129.6,6.05436,165.17
37,133.2,6.13962,162.877
38,136.8,6.22748,160.579
39,140.4,6.27983,159.24
40,144,6.32892,158.005
41,147.6,6.46714,154.628
42,151.2,6.56199,152.393
43,154.8,6.71348,148.954
44,158.4,6.89805,144.969
45,162,6.99973,142.863
46,165.6,7.12012,140.447
47,169.2,7.22129,138.479
48,172.8,7.28776,137.216
49,176.4,7.3174,136.661
50,180,7.31543,136.697
51,183.6,7.34685,136.113
52,187.2,7.62738,131.107
53,190.8,7.43176,134.558
54,194.4,8.04221,124.344
55,198,7.47447,133.789
56,201.6,7.4801,133.688
57,205.2,7.42874,134.612
58,208.8,7.42767,134.632
59,212.4,7.45774,134.089
60,216,7.36931,135.698
61,219.6,7.36102,135.851
62,223.2,7.38441,135.421
63,226.8,7.37553,135.584
64,230.4,7.39821,135.168
65,234,7.39155,135.29
66,237.6,7.28576,137.254
67,241.2,7.22026,138.499
68,244.8,7.05069,141.83
69,248.4,6.95807,143.718
70,252,6.76991,147.712
71,255.6,6.53095,153.117
72,259.2,6.30882,158.508
73,262.8,6.07192,164.693
74,266.4,5.81547,171.955
75,270,5.79029,172.703
76,273.6,6.08763,164.268
77,277.2,6.32862,158.012
78,280.8,6.52253,153.315
79,284.4,6.72951,148.599
80,288,6.79411,147.186
81,291.6,6.83347,146.339
82,295.2,6.9514,143.856
83,298.8,7.03955,142.055
84,302.4,7.23788,138.162
85,306,7.288,137.212
86,309.6,7.33999,136.24
87,313.2,7.43342,134.528
88,316.8,7.51286,133.105
89,320.4,7.59101,131.735
90,324,7.6272,131.11
91,327.6,7.66363,130.486
92,331.2,7.68902,130.056
93,334.8,7.64255,130.846
94,338.4,7.62267,131.188
95,342,7.55773,132.315
96,345.6,7.50128,133.311
97,349.2,7.50982,133.159
98,352.8,7.46656,133.93
99,356.4,7.42433,134.692
100,360,7.36866,135.71
