# Bounding Box Culling
Frame,Frame (ms),FPS
1,102.01,9.80
2,95.91,10.43
3,90.61,11.04
4,89.93,11.12
5,89.99,11.11
6,89.77,11.14
7,90.27,11.08
8,91.75,10.90
9,91.37,10.94
10,91.38,10.94
11,91.60,10.92
12,91.89,10.88
13,91.38,10.94
14,91.46,10.93
15,91.97,10.87
16,93.04,10.75
17,91.72,10.90
18,91.98,10.87
19,91.43,10.94
20,91.04,10.98
21,91.48,10.93
22,91.63,10.91
23,92.42,10.82
24,92.55,10.81
25,93.25,10.72
26,94.08,10.63
27,94.83,10.55
28,96.67,10.34
29,97.12,10.30
30,98.33,10.17
31,99.70,10.03
32,101.14,9.89
33,102.74,9.73
34,104.42,9.58
35,106.13,9.42
36,107.87,9.27
37,109.85,9.10
38,110.77,9.03
39,111.43,8.97
40,112.82,8.86
41,112.48,8.89
42,112.75,8.87
43,113.00,8.85
44,113.57,8.81
45,113.81,8.79
46,113.79,8.79
47,113.54,8.81
48,113.50,8.81
49,114.48,8.73
50,113.50,8.81
51,116.72,8.57
52,112.24,8.91
53,114.04,8.77
54,111.48,8.97
55,111.60,8.96
56,110.59,9.04
57,110.78,9.03
58,112.05,8.92
59,111.61,8.96
60,111.77,8.95
61,111.85,8.94
62,112.21,8.91
63,112.36,8.90
64,113.47,8.81
65,114.25,8.75
66,114.42,8.74
67,114.68,8.72
68,113.49,8.81
69,113.28,8.83
70,112.07,8.92
71,111.61,8.96
72,110.80,9.03
73,109.88,9.10
74,108.22,9.24
75,107.58,9.30
76,106.69,9.37
77,105.41,9.49
78,104.17,9.60
79,102.47,9.76
80,100.81,9.92

# t culling
Frame,Frame (ms),FPS
1,42.89,23.32
2,43.75,22.86
3,42.69,23.42
4,42.27,23.66
5,41.82,23.91
6,41.83,23.91
7,41.59,24.04
8,41.74,23.96
9,41.31,24.21
10,41.27,24.23
11,40.67,24.59
12,40.48,24.71
13,40.48,24.71
14,41.56,24.06
15,42.07,23.77
16,42.60,23.47
17,42.69,23.43
18,43.11,23.19
19,42.92,23.30
20,42.53,23.51
21,42.20,23.70
22,41.87,23.88
23,41.60,24.04
24,41.05,24.36
25,40.62,24.62
26,40.68,24.58
27,40.21,24.87
28,40.01,24.99
29,40.09,24.94
30,40.53,24.67
31,54.41,18.38
32,42.46,23.55
33,43.82,22.82
34,46.74,21.39
35,46.36,21.57
36,47.69,20.97
37,48.96,20.43
38,50.18,19.93
39,51.05,19.59
40,51.99,19.23
41,53.21,18.79
42,54.15,18.47
43,55.02,18.17
44,55.90,17.89
45,56.73,17.63
46,57.01,17.54
47,57.32,17.45
48,57.62,17.35
49,57.54,17.38
50,57.85,17.28
51,58.06,17.22
52,57.87,17.28
53,58.31,17.15
54,57.39,17.42
55,57.16,17.49
56,56.87,17.58
57,56.86,17.59
58,57.20,17.48
59,57.17,17.49
60,57.26,17.46
61,57.03,17.53
62,56.92,17.57
63,56.84,17.59
64,56.54,17.69
65,54.90,18.21
66,52.37,19.09
67,49.68,20.13
68,47.50,21.05
69,45.86,21.81
70,45.05,22.20
71,45.51,21.97
72,44.87,22.29
73,44.75,22.35
74,45.88,21.80
75,48.69,20.54
76,48.23,20.73
77,47.29,21.15
78,46.30,21.60
79,45.49,21.98
80,44.88,22.28

# KD tree
Frame,Frame (ms),FPS
1,35.44,28.21
2,34.89,28.66
3,34.17,29.27
4,33.92,29.48
5,33.71,29.67
6,33.86,29.53
7,34.14,29.29
8,35.27,28.35
9,35.14,28.45
10,35.46,28.20
11,35.44,28.21
12,35.68,28.03
13,35.94,27.82
14,36.01,27.77
15,36.12,27.68
16,36.32,27.53
17,36.42,27.46
18,36.61,27.31
19,36.80,27.17
20,37.04,27.00
21,37.58,26.61
22,37.90,26.39
23,38.05,26.28
24,38.07,26.27
25,38.11,26.24
26,38.19,26.18
27,38.26,26.14
28,38.27,26.13
29,38.37,26.06
30,38.64,25.88
31,39.02,25.63
32,39.51,25.31
33,40.23,24.86
34,41.07,24.35
35,41.33,24.20
36,41.98,23.82
37,42.49,23.53
38,43.63,22.92
39,43.55,22.96
40,43.95,22.76
41,44.33,22.56
42,44.71,22.37
43,45.04,22.20
44,45.68,21.89
45,46.24,21.63
46,46.48,21.51
47,46.48,21.52
48,46.79,21.37
49,46.77,21.38
50,47.25,21.16
51,46.78,21.38
52,46.66,21.43
53,46.28,21.61
54,46.26,21.62
55,45.90,21.79
56,46.23,21.63
57,46.46,21.52
58,46.95,21.30
59,47.44,21.08
60,48.11,20.79
61,48.00,20.83
62,48.40,20.66
63,49.33,20.27
64,49.05,20.39
65,48.97,20.42
66,48.68,20.54
67,48.32,20.69
68,48.20,20.75
69,47.98,20.84
70,47.39,21.10
71,46.82,21.36
72,46.18,21.66
73,45.40,22.03
74,45.05,22.20
75,44.05,22.70
76,42.18,23.71
77,40.08,24.95
78,38.29,26.12
79,37.51,26.66
80,36.90,27.10

