step,rot_degrees,frame_ms,fps
1,3.6,2.83725,352.454
2,7.2,8.55016,116.957
3,10.8,2.12783,469.962
4,14.4,2.16952,460.931
5,18,2.20526,453.462
6,21.6,2.15449,464.147
7,25.2,2.10246,475.633
8,28.8,2.66788,374.83
9,32.4,2.30851,433.179
10,36,2.0387,490.508
11,39.6,2.08171,480.373
12,43.2,2.81256,355.548
13,46.8,1.92048,520.704
14,50.4,1.98304,504.277
15,54,2.03373,491.707
16,57.6,1.79942,555.736
17,61.2,1.85611,538.76
18,64.8,1.8101,552.457
19,68.4,1.72244,580.571
20,72,1.67579,596.732
21,75.6,1.65611,603.826
22,79.2,1.60567,622.793
23,82.8,1.43844,695.197
24,86.4,1.40575,711.364
25,90,1.17002,854.685
26,93.6,1.66327,601.226
27,97.2,1.44343,692.793
28,100.8,1.51251,661.151
29,104.4,1.56187,640.26
30,108,1.63967,609.877
31,111.6,1.73829,575.278
32,115.2,1.75582,569.533
33,118.8,1.85452,539.222
34,122.4,1.8752,533.276
35,126,1.89265,528.361
36,129.6,1.97758,505.67
37,133.2,1.91385,522.506
38,136.8,2.01536,496.19
39,140.4,1.99087,502.293
40,144,2.22377,449.686
41,147.6,2.11306,473.247
42,151.2,2.00952,497.632
43,154.8,2.11391,473.056
44,158.4,2.18018,458.678
45,162,2.21345,451.783
46,165.6,2.15465,464.112
47,169.2,2.23119,448.192
48,172.8,2.22333,449.775
49,176.4,2.15838,463.31
50,180,2.15667,463.679
51,183.6,2.24117,446.196
52,187.2,2.15792,463.41
53,190.8,2.22164,450.118
54,194.4,2.21415,451.64
55,198,2.24519,445.396
56,201.6,2.24406,445.62
57,205.2,2.23118,448.194
58,208.8,2.50268,399.571
59,212.4,2.24565,445.306
60,216,2.10281,475.553
61,219.6,2.1622,462.493
62,223.2,2.18979,456.665
63,226.8,2.08697,479.163
64,230.4,2.00771,498.079
65,234,1.93976,515.527
66,237.6,1.92103,520.554
67,241.2,1.92592,519.233
68,244.8,1.87417,533.57
69,248.4,1.80003,555.547
70,252,1.66914,599.111
71,255.6,1.68608,593.091
72,259.2,1.7972,556.42
73,262.8,1.51925,658.222
74,266.4,1.29149,774.298
75,270,1.13716,879.384
76,273.6,1.40006,714.256
77,277.2,1.52753,654.651
78,280.8,1.60175,624.316
79,284.4,1.59096,628.551
80,288,1.73213,577.324
81,291.6,1.82529,547.859
82,295.2,1.79812,556.138
83,298.8,1.86695,535.634
84,302.4,2.0092,497.712
85,306,2.01823,495.483
86,309.6,2.0191,495.269
87,313.2,2.06448,484.383
88,316.8,2.13801,467.724
89,320.4,2.14687,465.795
90,324,2.54174,393.432
91,327.6,2.15316,464.434
92,331.2,2.22065,450.319
93,334.8,2.2445,445.533
94,338.4,2.20686,453.132
95,342,2.25124,444.2
96,345.6,2.27129,440.278
97,349.2,2.18435,457.802
98,352.8,2.23982,446.464
99,356.4,2.19129,456.352
100,360,2.3434,426.73
