step,rot_degrees,frame_ms,fps
1,3.6,44.4797,22.4822
2,7.2,74.1329,13.4893
3,10.8,48.1214,20.7808
4,14.4,41.9476,23.8393
5,18,23.4919,42.5679
6,21.6,22.7781,43.9019
7,25.2,22.5307,44.3839
8,28.8,22.4253,44.5925
9,32.4,21.9036,45.6547
10,36,22.1738,45.0982
11,39.6,22.3072,44.8286
12,43.2,22.4343,44.5746
13,46.8,21.8354,45.7972
14,50.4,21.5458,46.4127
15,54,21.6507,46.188
16,57.6,21.5719,46.3566
17,61.2,22.1831,45.0795
18,64.8,21.5701,46.3605
19,68.4,21.4743,46.5672
20,72,21.355,46.8274
21,75.6,20.6318,48.4689
22,79.2,20.0744,49.8146
23,82.8,19.7277,50.6902
24,86.4,19.2137,52.0463
25,90,18.9062,52.8927
26,93.6,19.243,51.967
27,97.2,19.6318,50.9378
28,100.8,20.2887,49.2886
29,104.4,20.7245,48.2521
30,108,21.0111,47.5938
31,111.6,21.4781,46.559
32,115.2,21.4661,46.5851
33,118.8,21.3235,46.8966
34,122.4,20.9291,47.7803
35,126,21.1488,47.284
36,129.6,21.0667,47.4682
37,133.2,20.9997,47.6197
38,136.8,20.6411,48.447
39,140.4,21.0524,47.5005
40,144,20.967,47.6939
41,147.6,21.1059,47.3801
42,151.2,21.344,46.8517
43,154.8,21.6015,46.2932
44,158.4,21.3905,46.7498
45,162,21.7672,45.9407
46,165.6,21.9535,45.5508
47,169.2,22.2053,45.0344
48,172.8,23.2869,42.9426
49,176.4,24.598,40.6537
50,180,23.9974,41.6713
51,183.6,24.25,41.237
52,187.2,24.3499,41.068
53,190.8,24.9845,40.0248
54,194.4,25.275,39.5648
55,198,25.6138,39.0415
56,201.6,25.8911,38.6233
57,205.2,27.798,35.9738
58,208.8,32.3602,30.9021
59,212.4,27.2882,36.6459
60,216,28.9945,34.4893
61,219.6,27.4984,36.3657
62,223.2,27.6329,36.1888
63,226.8,27.3206,36.6025
64,230.4,27.2822,36.6539
65,234,27.5382,36.3132
66,237.6,26.2643,38.0745
67,241.2,25.3145,39.5031
68,244.8,25.446,39.2988
69,248.4,25.0207,39.9669
70,252,25.1764,39.7198
71,255.6,24.8354,40.2652
72,259.2,24.9121,40.1411
73,262.8,24.046,41.5869
74,266.4,23.3728,42.7848
75,270,22.7903,43.8783
76,273.6,23.0767,43.3338
77,277.2,23.4539,42.6368
78,280.8,24.1583,41.3937
79,284.4,24.6758,40.5256
80,288,24.8327,40.2695
81,291.6,25.4675,39.2658
82,295.2,24.893,40.1719
83,298.8,24.6612,40.5496
84,302.4,24.7439,40.414
85,306,25.1538,39.7554
86,309.6,25.2997,39.5262
87,313.2,25.5312,39.1678
88,316.8,25.5536,39.1335
89,320.4,25.8873,38.629
90,324,25.8547,38.6777
91,327.6,25.773,38.8003
92,331.2,25.9122,38.5919
93,334.8,25.4614,39.2751
94,338.4,25.5877,39.0813
95,342,25.4115,39.3523
96,345.6,25.0886,39.8588
97,349.2,25.0092,39.9853
98,352.8,25.9573,38.5247
99,356.4,24.3749,41.0258
100,360,24.2461,41.2438
