# Bounding Box Culling
Frame,Frame (ms),FPS
1,22.87,43.72
2,22.57,44.31
3,22.28,44.89
4,21.98,45.50
5,21.80,45.87
6,22.12,45.20
7,22.82,43.82
8,23.44,42.66
9,23.78,42.06
10,24.23,41.27
11,24.47,40.87
12,24.25,41.24
13,24.28,41.18
14,24.01,41.66
15,24.44,40.92
16,24.16,41.39
17,24.45,40.89
18,24.28,41.19
19,24.03,41.61
20,24.19,41.34
21,25.17,39.73
22,25.62,39.03
23,26.76,37.36
24,27.76,36.02
25,28.50,35.09
26,29.78,33.58
27,30.86,32.40
28,32.22,31.03
29,32.95,30.35
30,34.01,29.40
31,35.00,28.57
32,36.25,27.59
33,52.95,18.89
34,37.79,26.46
35,41.73,23.96
36,39.11,25.57
37,40.12,24.93
38,40.10,24.94
39,41.05,24.36
40,41.45,24.13
41,41.71,23.98
42,42.02,23.80
43,42.20,23.70
44,41.98,23.82
45,41.60,24.04
46,41.54,24.08
47,41.58,24.05
48,41.61,24.04
49,41.42,24.15
50,41.00,24.39
51,41.25,24.24
52,40.77,24.53
53,39.79,25.13
54,39.55,25.28
55,39.00,25.64
56,39.44,25.36
57,40.80,24.51
58,41.54,24.08
59,43.33,23.08
60,42.03,23.79
61,42.19,23.70
62,41.29,24.22
63,40.92,24.44
64,40.19,24.88
65,39.84,25.10
66,39.26,25.47
67,38.80,25.77
68,38.25,26.14
69,37.59,26.60
70,36.99,27.03
71,36.49,27.41
72,35.58,28.10
73,34.76,28.77
74,33.82,29.57
75,32.78,30.51
76,32.02,31.23
77,31.07,32.19
78,30.37,32.93
79,29.12,34.35
80,28.09,35.60

# t culling
Frame,Frame (ms),FPS
1,17.26,57.93
2,18.14,55.11
3,17.12,58.40
4,16.85,59.34
5,16.37,61.09
6,16.66,60.04
7,17.11,58.43
8,17.66,56.64
9,17.97,55.66
10,18.16,55.06
11,18.29,54.67
12,18.21,54.91
13,18.14,55.13
14,17.89,55.89
15,17.80,56.18
16,17.76,56.32
17,17.60,56.83
18,17.43,57.36
19,17.21,58.11
20,17.42,57.40
21,17.80,56.18
22,18.24,54.83
23,18.88,52.97
24,19.38,51.59
25,20.02,49.95
26,20.61,48.51
27,21.36,46.81
28,23.31,42.90
29,23.56,42.44
30,24.01,41.66
31,24.46,40.88
32,25.33,39.48
33,26.05,38.39
34,26.29,38.04
35,26.53,37.69
36,27.16,36.82
37,27.46,36.41
38,27.73,36.07
39,28.08,35.61
40,28.36,35.26
41,27.81,35.95
42,28.08,35.61
43,27.78,36.00
44,27.55,36.29
45,29.61,33.77
46,27.84,35.92
47,27.58,36.26
48,27.63,36.19
49,27.69,36.11
50,42.78,23.37
51,28.69,34.86
52,28.44,35.16
53,28.31,35.32
54,27.85,35.91
55,27.20,36.76
56,27.58,36.26
57,30.99,32.27
58,29.40,34.01
59,30.11,33.22
60,30.26,33.04
61,31.04,32.22
62,29.80,33.56
63,29.11,34.35
64,28.86,34.65
65,28.88,34.62
66,28.67,34.88
67,28.38,35.23
68,28.19,35.48
69,27.79,35.99
70,27.42,36.47
71,26.96,37.09
72,26.46,37.80
73,25.41,39.35
74,24.79,40.33
75,24.16,41.38
76,23.59,42.40
77,22.68,44.10
78,21.74,46.00
79,20.78,48.12
80,20.01,49.98

# KD tree
Frame,Frame (ms),FPS
1,20.63,48.47
2,20.07,49.81
3,19.73,50.69
4,19.21,52.05
5,18.91,52.89
6,19.24,51.97
7,19.63,50.94
8,20.29,49.29
9,20.72,48.25
10,21.01,47.59
11,21.48,46.56
12,21.47,46.59
13,21.32,46.90
14,20.93,47.78
15,21.15,47.28
16,21.07,47.47
17,21.00,47.62
18,20.64,48.45
19,21.05,47.50
20,20.97,47.69
21,21.11,47.38
22,21.34,46.85
23,21.60,46.29
24,21.39,46.75
25,21.77,45.94
26,21.95,45.55
27,22.21,45.03
28,23.29,42.94
29,24.60,40.65
30,24.00,41.67
31,24.25,41.24
32,24.35,41.07
33,24.98,40.02
34,25.27,39.56
35,25.61,39.04
36,25.89,38.62
37,27.80,35.97
38,32.36,30.90
39,27.29,36.65
40,28.99,34.49
41,27.50,36.37
42,27.63,36.19
43,27.32,36.60
44,27.28,36.65
45,27.54,36.31
46,26.26,38.07
47,25.31,39.50
48,25.45,39.30
49,25.02,39.97
50,25.18,39.72
51,24.84,40.27
52,24.91,40.14
53,24.05,41.59
54,23.37,42.78
55,22.79,43.88
56,23.08,43.33
57,23.45,42.64
58,24.16,41.39
59,24.68,40.53
60,24.83,40.27
61,25.47,39.27
62,24.89,40.17
63,24.66,40.55
64,24.74,40.41
65,25.15,39.76
66,25.30,39.53
67,25.53,39.17
68,25.55,39.13
69,25.89,38.63
70,25.85,38.68
71,25.77,38.80
72,25.91,38.59
73,25.46,39.28
74,25.59,39.08
75,25.41,39.35
76,25.09,39.86
77,25.01,39.99
78,25.96,38.52
79,24.37,41.03
80,24.25,41.24

