step,rot_degrees,frame_ms,fps
1,3.6,20.256,49.3681
2,7.2,24.8698,40.2094
3,10.8,17.5962,56.8304
4,14.4,17.1239,58.3978
5,18,17.0019,58.8171
6,21.6,16.6408,60.0934
7,25.2,16.2436,61.5626
8,28.8,15.9365,62.7489
9,32.4,15.7417,63.5254
10,36,15.7449,63.5125
11,39.6,15.7608,63.4487
12,43.2,15.5227,64.4217
13,46.8,15.7086,63.6594
14,50.4,15.9983,62.5065
15,54,16.2079,61.6982
16,57.6,16.3401,61.1991
17,61.2,17.4011,57.4677
18,64.8,16.9572,58.972
19,68.4,17.1261,58.3904
20,72,17.2576,57.9455
21,75.6,17.2617,57.9317
22,79.2,18.1444,55.1135
23,82.8,17.1235,58.3994
24,86.4,16.8519,59.3403
25,90,16.3704,61.0858
26,93.6,16.6552,60.0412
27,97.2,17.115,58.4282
28,100.8,17.656,56.638
29,104.4,17.9678,55.6551
30,108,18.1631,55.0567
31,111.6,18.291,54.6718
32,115.2,18.213,54.9059
33,118.8,18.1386,55.1311
34,122.4,17.8928,55.8885
35,126,17.7984,56.1847
36,129.6,17.756,56.3189
37,133.2,17.5952,56.8337
38,136.8,17.435,57.3561
39,140.4,17.2091,58.1088
40,144,17.4225,57.3971
41,147.6,17.7995,56.1813
42,151.2,18.2385,54.8292
43,154.8,18.8785,52.9703
44,158.4,19.3837,51.5898
45,162,20.0202,49.9495
46,165.6,20.6143,48.51
47,169.2,21.363,46.8099
48,172.8,23.3083,42.9031
49,176.4,23.5602,42.4445
50,180,24.0061,41.6561
51,183.6,24.462,40.8797
52,187.2,25.3276,39.4826
53,190.8,26.0518,38.3851
54,194.4,26.2861,38.043
55,198,26.533,37.689
56,201.6,27.1565,36.8236
57,205.2,27.4623,36.4136
58,208.8,27.7262,36.067
59,212.4,28.0811,35.6112
60,216,28.3589,35.2623
61,219.6,27.814,35.9531
62,223.2,28.0794,35.6133
63,226.8,27.7783,35.9994
64,230.4,27.554,36.2924
65,234,29.6134,33.7685
66,237.6,27.8416,35.9175
67,241.2,27.5787,36.2598
68,244.8,27.6285,36.1945
69,248.4,27.6918,36.1118
70,252,42.7822,23.3742
71,255.6,28.6887,34.8569
72,259.2,28.4385,35.1636
73,262.8,28.3105,35.3226
74,266.4,27.8497,35.907
75,270,27.2016,36.7626
76,273.6,27.5799,36.2583
77,277.2,30.9926,32.2657
78,280.8,29.3989,34.0148
79,284.4,30.105,33.2171
80,288,30.262,33.0447
81,291.6,31.0368,32.2198
82,295.2,29.8,33.557
83,298.8,29.1144,34.3472
84,302.4,28.8604,34.6496
85,306,28.8828,34.6227
86,309.6,28.6687,34.8812
87,313.2,28.3836,35.2317
88,316.8,28.187,35.4774
89,320.4,27.7877,35.9871
90,324,27.4226,36.4662
91,327.6,26.9599,37.0921
92,331.2,26.4552,37.7998
93,334.8,25.4098,39.3549
94,338.4,24.7944,40.3317
95,342,24.1642,41.3836
96,345.6,23.5854,42.3991
97,349.2,22.6777,44.0962
98,352.8,21.739,46.0002
99,356.4,20.7834,48.1154
100,360,20.0092,49.9769
