step,rot_degrees,frame_ms,fps
1,3.6,14.5372,68.789
2,7.2,16.513,60.5583
3,10.8,10.09,99.108
4,14.4,9.24922,108.117
5,18,8.97907,111.37
6,21.6,8.27632,120.827
7,25.2,8.14447,122.783
8,28.8,7.86619,127.126
9,32.4,7.87704,126.951
10,36,7.91787,126.297
11,39.6,8.13125,122.982
12,43.2,8.54931,116.969
13,46.8,9.404,106.338
14,50.4,8.92926,111.991
15,54,9.32112,107.283
16,57.6,9.63097,103.832
17,61.2,10.8746,91.9575
18,64.8,10.3382,96.7282
19,68.4,10.6217,94.147
20,72,10.9183,91.5895
21,75.6,11.1078,90.0265
22,79.2,11.1889,89.3746
23,82.8,11.2292,89.0538
24,86.4,11.2007,89.2804
25,90,11.1245,89.8919
26,93.6,11.1808,89.4394
27,97.2,11.645,85.8735
28,100.8,11.7367,85.2029
29,104.4,11.1757,89.4795
30,108,10.9798,91.0761
31,111.6,10.7375,93.1315
32,115.2,10.3421,96.6926
33,118.8,10.3611,96.5152
34,122.4,9.67496,103.36
35,126,9.35078,106.943
36,129.6,9.06309,110.338
37,133.2,8.77063,114.017
38,136.8,8.42804,118.652
39,140.4,8.09602,123.518
40,144,7.90257,126.541
41,147.6,7.85781,127.262
42,151.2,7.89941,126.592
43,154.8,8.09104,123.594
44,158.4,8.2374,121.398
45,162,8.64453,115.68
46,165.6,9.17422,109.001
47,169.2,9.68089,103.296
48,172.8,10.0637,99.3668
49,176.4,10.5132,95.1184
50,180,11.2438,88.9378
51,183.6,11.4808,87.102
52,187.2,11.9957,83.3635
53,190.8,12.4472,80.3393
54,194.4,13.0311,76.7397
55,198,13.7623,72.6623
56,201.6,14.4736,69.0914
57,205.2,14.9716,66.7933
58,208.8,15.4726,64.6303
59,212.4,15.8734,62.9985
60,216,16.1508,61.9164
61,219.6,16.3564,61.1383
62,223.2,16.9753,58.909
63,226.8,17.318,57.7434
64,230.4,17.7428,56.3608
65,234,18.1715,55.0312
66,237.6,18.583,53.8127
67,241.2,18.8621,53.0163
68,244.8,19.0373,52.5285
69,248.4,19.1395,52.2479
70,252,19.2316,51.9977
71,255.6,19.3752,51.6124
72,259.2,19.4398,51.4409
73,262.8,19.7961,50.515
74,266.4,19.4949,51.2955
75,270,19.439,51.4429
76,273.6,19.3493,51.6815
77,277.2,19.3584,51.6573
78,280.8,19.0951,52.3695
79,284.4,19.1886,52.1143
80,288,19.1013,52.3524
81,291.6,18.9478,52.7766
82,295.2,19.052,52.4879
83,298.8,18.745,53.3477
84,302.4,18.5196,53.9968
85,306,18.4784,54.1173
86,309.6,17.7135,56.454
87,313.2,17.3393,57.6724
88,316.8,16.9873,58.8675
89,320.4,16.5917,60.2712
90,324,16.4483,60.7964
91,327.6,16.2662,61.4772
92,331.2,15.7724,63.4018
93,334.8,15.2983,65.3666
94,338.4,14.7356,67.863
95,342,14.0346,71.2524
96,345.6,13.3829,74.7224
97,349.2,13.5054,74.0446
98,352.8,12.6232,79.2191
99,356.4,12.1657,82.1982
100,360,11.6226,86.039
