step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
1,1.79104,4.65421,214.859,1958402,1213324
2,3.58209,7.1784,139.307,1983727,1229248
3,5.37313,4.19512,238.372,2006543,1243791
4,7.16418,3.98766,250.774,2028988,1257824
5,8.95522,4.28954,233.125,2055664,1274314
6,10.7463,4.05116,246.843,2082235,1291028
7,12.5373,4.14693,241.142,2106846,1306590
8,14.3284,4.14579,241.209,2134870,1324262
9,16.1194,4.23819,235.95,2172378,1346246
10,17.9104,4.35131,229.816,2218493,1372191
11,19.7015,4.39402,227.582,2266394,1399416
12,21.4925,4.41787,226.353,2319520,1428401
13,23.2836,4.5132,221.572,2386933,1462672
14,25.0746,4.59406,217.673,2449166,1495847
15,26.8657,4.63717,215.649,2524052,1534048
16,28.6567,4.98866,200.455,2599948,1573492
17,30.4478,4.82343,207.321,2674609,1612548
18,32.2388,4.93577,202.603,2748932,1652491
19,34.0299,5.0391,198.448,2838321,1698219
20,35.8209,5.13486,194.747,2908762,1738951
21,37.6119,5.26883,189.796,2988130,1782227
22,39.403,5.34007,187.263,3045190,1813953
23,41.194,5.37564,186.024,3081422,1834205
24,42.9851,5.50182,181.758,3178565,1883752
25,44.7761,5.66183,176.621,3226272,1909189
26,46.5672,5.68432,175.923,3251508,1918699
27,48.3582,5.76448,173.476,3262498,1921079
28,50.1493,6.11044,163.654,3286949,1925164
29,51.9403,5.73045,174.506,3232460,1895372
30,53.7313,5.77068,173.29,3229460,1880383
31,55.5224,5.78763,172.782,3172160,1840812
32,57.3134,5.64579,177.123,3054754,1773413
33,59.1045,5.40783,184.917,2911219,1688263
34,60.8955,5.25181,190.411,2745337,1587784
35,62.6866,4.99812,200.075,2559283,1480045
36,64.4776,4.71122,212.259,2385610,1378326
37,66.2687,4.46613,223.908,2213622,1279098
38,68.0597,4.22037,236.946,2048342,1182717
39,69.8507,3.9697,251.908,1873636,1083216
40,71.6418,3.71323,269.308,1717439,991231
41,73.4328,3.49831,285.852,1545161,893802
42,75.2239,3.29708,303.299,1378467,798965
43,77.0149,3.05742,327.073,1212090,704548
44,78.806,2.79026,358.39,1041504,608547
45,80.597,2.53181,394.974,865653,510052
46,82.3881,2.27512,439.538,681606,407511
47,84.1791,1.68741,592.623,483042,300038
48,85.9701,1.6122,620.27,451185,282472
49,87.7612,1.58697,630.131,435864,273428
50,89.5522,1.58045,632.731,423821,266271
51,91.3433,1.93138,517.766,498837,308664
52,93.1343,2.2042,453.679,597116,365994
53,94.9254,2.43673,410.385,697449,424500
54,96.7164,2.61986,381.699,799270,483903
55,98.5075,2.85112,350.739,903111,544586
56,100.299,3.08238,324.425,1011072,607283
57,102.09,3.65335,273.721,1120782,671382
58,103.881,3.86768,258.553,1234669,737796
59,105.672,4.5049,221.981,1350252,805718
60,107.463,4.33342,230.764,1474974,877961
61,109.254,4.5898,217.874,1591294,947950
62,111.045,4.82182,207.391,1716621,1022069
63,112.836,5.08385,196.701,1851082,1099725
64,114.627,5.28918,189.065,1978832,1175948
65,116.418,5.55833,179.91,2105141,1253042
66,118.209,5.80291,172.327,2253763,1339991
67,120,6.07384,164.641,2407826,1430352
68,121.791,6.44093,155.257,2557393,1519668
69,123.582,6.64146,150.569,2683968,1596673
70,125.373,6.76156,147.895,2764068,1648745
71,127.164,6.87874,145.375,2835605,1693633
72,128.955,6.78231,147.442,2860933,1716708
73,130.746,6.77452,147.612,2893679,1740420
74,132.537,6.81057,146.831,2913499,1756115
75,134.328,6.74701,148.214,2898082,1754272
76,136.119,6.62355,150.976,2852006,1734502
77,137.91,6.4949,153.967,2833148,1725058
78,139.701,6.38878,156.524,2812387,1714275
79,141.493,6.28645,159.072,2761271,1687832
80,143.284,6.03372,165.735,2715501,1663201
81,145.075,5.9796,167.235,2662724,1634976
82,146.866,5.87072,170.337,2606262,1603706
83,148.657,5.71565,174.958,2555622,1575200
84,150.448,5.65056,176.974,2502959,1547345
85,152.239,5.54201,180.44,2450993,1520120
86,154.03,5.45739,183.238,2399425,1493169
87,155.821,5.3875,185.615,2352940,1468551
88,157.612,5.28526,189.205,2298609,1441770
89,159.403,5.44781,183.56,2244516,1414497
90,161.194,5.08131,196.8,2194337,1388866
91,162.985,5.04591,198.18,2150589,1365244
92,164.776,4.99042,200.384,2111240,1343432
93,166.567,4.9228,203.136,2079678,1324358
94,168.358,4.87869,204.973,2053443,1308020
95,170.149,5.04941,198.043,2029586,1292764
96,171.94,4.78401,209.03,2009000,1278799
97,173.731,4.76178,210.006,1988743,1265481
98,175.522,4.72221,211.765,1970244,1253237
99,177.313,4.71353,212.155,1952402,1240885
100,179.104,4.63301,215.842,1933479,1227876
101,180.896,4.54494,220.025,1914480,1215258
102,182.687,4.56083,219.259,1895273,1202050
103,184.478,4.51348,221.558,1876999,1189350
104,186.269,4.47294,223.567,1858299,1176926
105,188.06,4.44482,224.981,1837094,1163712
106,189.851,4.40962,226.777,1811942,1148540
107,191.642,4.37,228.833,1791798,1135412
108,193.433,4.32624,231.148,1771865,1122294
109,195.224,4.23375,236.197,1750355,1108532
110,197.015,4.26275,234.59,1730047,1095729
111,198.806,4.22543,236.662,1711211,1084014
112,200.597,4.13834,241.643,1688079,1069907
113,202.388,4.14536,241.234,1662645,1054952
114,204.179,4.08158,245.003,1638868,1040242
115,205.97,4.05113,246.845,1615444,1025215
116,207.761,4.01529,249.048,1591950,1009706
117,209.552,3.96877,251.967,1567641,993673
118,211.343,3.91655,255.327,1542344,977054
119,213.134,3.85604,259.334,1514774,959407
120,214.925,3.82867,261.188,1486945,941173
121,216.716,3.78081,264.494,1456491,920654
122,218.507,3.71457,269.21,1425968,899776
123,220.299,3.66521,272.836,1397606,880487
