step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
1,1.79104,12.3717,80.8295,17691246,1766561
2,3.58209,16.5535,60.4102,18035925,1792362
3,5.37313,13.0867,76.4133,18394748,1818697
4,7.16418,13.347,74.923,18766376,1845650
5,8.95522,13.6605,73.2039,19141077,1874154
6,10.7463,13.9282,71.7966,19537364,1904335
7,12.5373,14.2759,70.0483,19953194,1937160
8,14.3284,14.7663,67.7218,20379534,1976854
9,16.1194,15.0052,66.6434,20845872,2024139
10,17.9104,15.583,64.1726,21366413,2082340
11,19.7015,16.058,62.2741,21918319,2146869
12,21.4925,16.4056,60.9549,22478567,2213744
13,23.2836,16.9185,59.1068,23045148,2285263
14,25.0746,17.4054,57.4534,23619480,2361295
15,26.8657,18.1166,55.1979,24212866,2443131
16,28.6567,18.7389,53.3649,24838554,2531796
17,30.4478,19.4212,51.4902,25502833,2627713
18,32.2388,20.0972,49.7581,26189664,2735939
19,34.0299,21.0018,47.6149,26888845,2854560
20,35.8209,21.9275,45.6048,27568859,2979392
21,37.6119,22.8276,43.8066,28237328,3105969
22,39.403,23.8854,41.8666,28921581,3230154
23,41.194,24.6187,40.6194,29531397,3346729
24,42.9851,25.5484,39.1413,30122052,3459775
25,44.7761,27.215,36.7445,30713939,3568860
26,46.5672,27.6615,36.1514,31196310,3670345
27,48.3582,28.5027,35.0844,31542273,3762752
28,50.1493,29.4256,33.984,31762361,3844507
29,51.9403,30.0369,33.2924,31794768,3910711
30,53.7313,30.7252,32.5466,31694254,3959678
31,55.5224,31.5881,31.6575,31433759,3980546
32,57.3134,31.904,31.344,30832083,3955047
33,59.1045,31.5033,31.7427,29753722,3859891
34,60.8955,30.7336,32.5377,28347589,3723393
35,62.6866,29.6906,33.6807,26959424,3588243
36,64.4776,28.8867,34.618,25654283,3460019
37,66.2687,28.1852,35.4796,24411086,3338895
38,68.0597,27.3431,36.5723,23234219,3225302
39,69.8507,26.6666,37.5001,22121946,3119277
40,71.6418,26.2657,38.0724,21064126,3019328
41,73.4328,25.7298,38.8655,20058292,2925455
42,75.2239,25.2314,39.6332,19080260,2832787
43,77.0149,24.6233,40.6119,18130186,2743710
44,78.806,23.9783,41.7043,17192821,2654581
45,80.597,22.552,44.342,16191487,2558995
46,82.3881,20.7744,48.1362,15167609,2453562
47,84.1791,15.3988,64.94,14152755,2332048
48,85.9701,15.1802,65.8751,13401372,2196947
49,87.7612,13.2654,75.3838,12028176,1955805
50,89.5522,11.2223,89.1082,10124792,1601394
51,91.3433,11.8468,84.4111,10747767,1672725
52,93.1343,13.1073,76.2934,12218655,1888095
53,94.9254,14.0996,70.9239,13707643,2106884
54,96.7164,15.4838,64.5837,15223328,2330436
55,98.5075,16.7689,59.6342,16770808,2556775
56,100.299,19.3848,51.5867,18143374,2728705
