# No DNF
Frame,Frame (ms),FPS
1,16.55,60.41
2,13.09,76.41
3,13.35,74.92
4,13.66,73.20
5,13.93,71.80
6,14.28,70.05
7,14.77,67.72
8,15.01,66.64
9,15.58,64.17
10,16.06,62.27
11,16.41,60.95
12,16.92,59.11
13,17.41,57.45
14,18.12,55.20
15,18.74,53.36
16,19.42,51.49
17,20.10,49.76
18,21.00,47.61
19,21.93,45.60
20,22.83,43.81
21,23.89,41.87
22,24.62,40.62
23,25.55,39.14
24,27.21,36.74
25,27.66,36.15
26,28.50,35.08
27,29.43,33.98
28,30.04,33.29
29,30.73,32.55
30,31.59,31.66
31,31.90,31.34
32,31.50,31.74
33,30.73,32.54
34,29.69,33.68
35,28.89,34.62
36,28.19,35.48
37,27.34,36.57
38,26.67,37.50
39,26.27,38.07
40,25.73,38.87
41,25.23,39.63
42,24.62,40.61
43,23.98,41.70
44,22.55,44.34
45,20.77,48.14
46,15.40,64.94
47,15.18,65.88
48,13.27,75.38
49,11.22,89.11
50,11.85,84.41
51,13.11,76.29
52,14.10,70.92
53,15.48,64.58
54,16.77,59.63
55,19.38,51.59
56,21.64,46.21
57,23.06,43.36
58,24.08,41.52
59,25.14,39.77
60,26.28,38.05
61,26.74,37.40
62,27.34,36.57
63,28.16,35.52
64,28.90,34.60
65,29.88,33.46
66,31.53,31.71
67,31.83,31.42
68,32.14,31.12
69,31.88,31.37
70,31.25,32.00
71,30.63,32.65
72,29.92,33.42
73,29.05,34.42
74,28.14,35.54
75,27.32,36.60
76,26.35,37.96
77,25.58,39.09
78,24.70,40.48
79,23.74,42.12
80,22.85,43.76
81,21.82,45.83
82,21.08,47.44
83,20.34,49.17
84,19.64,50.93
85,19.03,52.55
86,18.50,54.05
87,18.02,55.50
88,17.44,57.33
89,17.11,58.44
90,16.70,59.89
91,16.31,61.29
92,15.91,62.84
93,15.62,64.01
94,15.26,65.51
95,14.92,67.02
96,14.59,68.52
97,14.28,70.03
98,13.89,71.98
99,13.60,73.52
100,13.37,74.79
101,13.25,75.49
102,12.87,77.68
103,12.79,78.22
104,12.42,80.54
105,12.20,81.94
106,11.99,83.38
107,11.58,86.35
108,11.30,88.49
109,11.37,87.98
110,11.17,89.50
111,10.77,92.88
112,10.59,94.45
113,10.44,95.79
114,10.25,97.55
115,10.11,98.93
116,9.87,101.29
117,9.63,103.81
118,9.51,105.11
119,9.26,107.95
120,9.39,106.46
121,8.96,111.61
122,8.80,113.57
123,8.62,116.05
124,8.38,119.33
125,8.18,122.20
126,8.00,124.94
127,7.84,127.59
128,7.64,130.96
129,7.41,134.87
130,7.13,140.19
131,6.90,144.88
132,6.59,151.70
133,6.32,158.26
134,6.10,164.00
135,5.80,172.51
136,5.60,178.68
137,5.43,184.30
138,5.20,192.24
139,5.07,197.21
140,4.90,204.27
141,4.70,212.90
142,4.58,218.17
143,4.75,210.50
144,4.33,231.08
145,4.24,236.09
146,4.06,246.10
147,3.96,252.75
148,3.78,264.72
149,3.65,274.25
150,3.64,275.10
151,3.63,275.60
152,3.61,276.86
153,3.64,274.97
154,3.74,267.17
155,3.74,267.44
156,3.81,262.62
157,3.95,253.38
158,4.11,243.54
159,4.20,237.99
160,4.26,234.69
161,4.38,228.25
162,4.50,222.09
163,4.63,215.90
164,4.75,210.51
165,4.93,202.86
166,5.10,196.21
167,5.24,191.00
168,5.46,183.09
169,5.67,176.25
170,5.88,170.02
171,6.16,162.22
172,6.42,155.83
173,6.66,150.14
174,6.93,144.20
175,7.22,138.42
176,7.46,134.06
177,7.64,130.95
178,7.88,126.84
179,8.31,120.31
180,8.26,121.01
181,8.75,114.31
182,8.63,115.87
183,8.83,113.30
184,9.00,111.14
185,9.20,108.68
186,9.37,106.78
187,9.52,105.04
188,9.73,102.74
189,9.91,100.94
190,10.09,99.09
191,10.23,97.74
192,10.45,95.67
193,10.67,93.70
194,10.85,92.18
195,11.07,90.30
196,11.33,88.24
197,11.54,86.69
198,11.74,85.17
199,11.95,83.71
200,12.18,82.10

# DNF
Frame,Frame (ms),FPS
1,7.18,139.31
2,4.20,238.37
3,3.99,250.77
4,4.29,233.12
5,4.05,246.84
6,4.15,241.14
7,4.15,241.21
8,4.24,235.95
9,4.35,229.82
10,4.39,227.58
11,4.42,226.35
12,4.51,221.57
13,4.59,217.67
14,4.64,215.65
15,4.99,200.46
16,4.82,207.32
17,4.94,202.60
18,5.04,198.45
19,5.13,194.75
20,5.27,189.80
21,5.34,187.26
22,5.38,186.02
23,5.50,181.76
24,5.66,176.62
25,5.68,175.92
26,5.76,173.48
27,6.11,163.65
28,5.73,174.51
29,5.77,173.29
30,5.79,172.78
31,5.65,177.12
32,5.41,184.92
33,5.25,190.41
34,5.00,200.07
35,4.71,212.26
36,4.47,223.91
37,4.22,236.95
38,3.97,251.91
39,3.71,269.31
40,3.50,285.85
41,3.30,303.30
42,3.06,327.07
43,2.79,358.39
44,2.53,394.97
45,2.28,439.54
46,1.69,592.62
47,1.61,620.27
48,1.59,630.13
49,1.58,632.73
50,1.93,517.77
51,2.20,453.68
52,2.44,410.38
53,2.62,381.70
54,2.85,350.74
55,3.08,324.43
56,3.65,273.72
57,3.87,258.55
58,4.50,221.98
59,4.33,230.76
60,4.59,217.87
61,4.82,207.39
62,5.08,196.70
63,5.29,189.06
64,5.56,179.91
65,5.80,172.33
66,6.07,164.64
67,6.44,155.26
68,6.64,150.57
69,6.76,147.90
70,6.88,145.38
71,6.78,147.44
72,6.77,147.61
73,6.81,146.83
74,6.75,148.21
75,6.62,150.98
76,6.49,153.97
77,6.39,156.52
78,6.29,159.07
79,6.03,165.74
80,5.98,167.24
81,5.87,170.34
82,5.72,174.96
83,5.65,176.97
84,5.54,180.44
85,5.46,183.24
86,5.39,185.62
87,5.29,189.21
88,5.45,183.56
89,5.08,196.80
90,5.05,198.18
91,4.99,200.38
92,4.92,203.14
93,4.88,204.97
94,5.05,198.04
95,4.78,209.03
96,4.76,210.01
97,4.72,211.76
98,4.71,212.16
99,4.63,215.84
100,4.54,220.03
101,4.56,219.26
102,4.51,221.56
103,4.47,223.57
104,4.44,224.98
105,4.41,226.78
106,4.37,228.83
107,4.33,231.15
108,4.23,236.20
109,4.26,234.59
110,4.23,236.66
111,4.14,241.64
112,4.15,241.23
113,4.08,245.00
114,4.05,246.84
115,4.02,249.05
116,3.97,251.97
117,3.92,255.33
118,3.86,259.33
119,3.83,261.19
120,3.78,264.49
121,3.71,269.21
122,3.67,272.84
123,3.63,275.85
124,3.57,279.83
125,3.50,285.91
126,3.48,287.69
127,3.36,297.82
128,3.32,300.78
129,3.29,304.38
130,3.19,313.28
131,3.11,321.04
132,3.05,327.94
133,2.98,335.93
134,2.87,348.01
135,2.81,355.43
136,2.75,363.47
137,2.69,371.61
138,2.61,383.69
139,2.53,394.49
140,2.51,398.39
141,2.77,360.81
