step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
1,0.897756,14.4257,69.3208,481328,481328
2,1.79551,14.3902,69.4919,480296,480296
3,2.69327,14.3576,69.6494,478790,478790
4,3.59102,14.1696,70.5734,476184,476184
5,4.48878,14.2484,70.1831,474340,474340
6,5.38653,14.7718,67.6968,472422,472422
7,6.28429,13.9974,71.4418,470666,470666
8,7.18204,14.2039,70.403,469051,469051
9,8.0798,14.1234,70.8046,467226,467226
10,8.97756,14.0666,71.0902,465312,465312
11,9.87531,14.101,70.9168,463581,463581
12,10.7731,14.0659,71.0939,462916,462916
13,11.6708,13.8287,72.3136,460575,460575
14,12.5686,13.822,72.3484,459350,459350
15,13.4663,14.1839,70.5025,458145,458145
16,14.3641,14.1838,70.5029,458193,458193
17,15.2618,14.1676,70.5836,456695,456695
18,16.1596,14.2028,70.4087,455300,455300
19,17.0574,14.2151,70.3478,453658,453658
20,17.9551,14.2126,70.3603,451815,451815
21,18.8529,13.9512,71.6783,449638,449638
22,19.7506,13.9745,71.559,446755,446755
23,20.6484,14.0255,71.2987,444082,444082
24,21.5461,14.2438,70.2061,440585,440585
25,22.4439,14.1234,70.8045,436319,436319
26,23.3416,14.0776,71.0349,431284,431284
27,24.2394,14.1097,70.8733,427494,427494
28,25.1372,14.11,70.8715,423025,423025
29,26.0349,14.0633,71.107,421541,421541
30,26.9327,14.1788,70.5281,420239,420239
31,27.8304,14.19,70.4724,419795,419795
32,28.7282,14.2165,70.3409,420515,420515
33,29.6259,14.2676,70.0889,421821,421821
34,30.5237,14.257,70.1409,424009,424009
35,31.4214,14.1908,70.4679,425580,425580
36,32.3192,14.2842,70.0076,427355,427355
37,33.217,14.3005,69.9276,429040,429040
38,34.1147,14.4501,69.2035,430388,430388
39,35.0125,14.1621,70.6112,430269,430269
40,35.9102,14.2717,70.0689,430048,430048
41,36.808,14.2597,70.1278,427687,427687
42,37.7057,14.2009,70.4178,425882,425882
43,38.6035,14.2111,70.3673,425364,425364
44,39.5012,14.1744,70.5495,423024,423024
45,40.399,14.1221,70.8111,421801,421801
46,41.2968,14.1609,70.6168,420370,420370
47,42.1945,14.035,71.2506,419981,419981
48,43.0923,14.0239,71.3067,419292,419292
49,43.99,14.0555,71.1466,419098,419098
50,44.8878,14.0887,70.9788,418238,418238
51,45.7855,13.9733,71.565,417364,417364
52,46.6833,13.971,71.5769,417013,417013
53,47.581,13.9434,71.7187,416821,416821
54,48.4788,13.8565,72.1685,416863,416863
55,49.3766,14.0725,71.0606,415788,415788
56,50.2743,13.8915,71.9867,414049,414049
57,51.1721,13.8622,72.1387,412486,412486
58,52.0698,13.8067,72.4286,410406,410406
59,52.9676,13.798,72.4743,408297,408297
60,53.8653,13.7867,72.5337,405911,405911
61,54.7631,13.675,73.1262,403624,403624
62,55.6608,13.7367,72.7979,401708,401708
63,56.5586,13.7312,72.8271,400652,400652
64,57.4564,14.009,71.3828,399411,399411
65,58.3541,13.7075,72.9529,398880,398880
66,59.2519,13.6895,73.0484,398815,398815
67,60.1496,13.6962,73.013,398130,398130
68,61.0474,13.7224,72.8735,399491,399491
69,61.9451,13.8242,72.3369,400042,400042
70,62.8429,13.6537,73.2401,401243,401243
71,63.7406,13.7809,72.5641,402493,402493
72,64.6384,13.7675,72.6346,403282,403282
73,65.5362,13.7964,72.4827,404048,404048
74,66.4339,13.7644,72.651,404968,404968
75,67.3317,13.7674,72.6352,404629,404629
76,68.2294,13.724,72.8653,404914,404914
77,69.1272,13.6059,73.4975,404513,404513
