step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
1,0.897756,479.668,2.08478,498053,498053
2,1.79551,480.49,2.08121,494582,494582
3,2.69327,480.248,2.08226,491065,491065
4,3.59102,480.13,2.08277,487189,487189
5,4.48878,479.322,2.08628,483255,483255
6,5.38653,478.85,2.08834,479768,479768
7,6.28429,476.924,2.09677,476487,476487
8,7.18204,475.795,2.10175,473769,473769
9,8.0798,475.48,2.10314,470875,470875
10,8.97756,474.175,2.10893,468127,468127
11,9.87531,472.829,2.11493,465913,465913
12,10.7731,472.485,2.11647,464769,464769
13,11.6708,470.733,2.12435,462576,462576
14,12.5686,469.46,2.13011,460990,460990
15,13.4663,468.647,2.1338,459769,459769
16,14.3641,468.096,2.13631,459703,459703
17,15.2618,466.617,2.14308,458795,458795
18,16.1596,465.784,2.14692,458189,458189
19,17.0574,465.003,2.15052,456986,456986
20,17.9551,465.313,2.14909,455746,455746
21,18.8529,464.101,2.1547,453691,453691
22,19.7506,462.394,2.16266,451650,451650
23,20.6484,460.541,2.17136,448657,448657
24,21.5461,460.25,2.17273,444991,444991
25,22.4439,457.86,2.18408,440128,440128
26,23.3416,456.313,2.19148,434178,434178
27,24.2394,455.22,2.19674,428582,428582
28,25.1372,454.594,2.19977,422691,422691
29,26.0349,452.359,2.21063,419465,419465
30,26.9327,450.092,2.22177,416057,416057
31,27.8304,448.395,2.23018,413929,413929
32,28.7282,446.892,2.23768,413081,413081
33,29.6259,443.742,2.25356,412582,412582
34,30.5237,442.362,2.26059,413628,413628
35,31.4214,438.981,2.278,414705,414705
36,32.3192,437.511,2.28566,416702,416702
37,33.217,434.623,2.30085,418641,418641
38,34.1147,431.496,2.31752,419266,419266
39,35.0125,436.18,2.29263,528682,528682
40,35.9102,433.513,2.30674,521658,521658
41,36.808,429.553,2.328,511616,511616
42,37.7057,421.474,2.37262,399094,399094
43,38.6035,418.943,2.38696,391862,391862
44,39.5012,419.535,2.38359,481218,481218
45,40.399,412.766,2.42268,378714,378714
46,41.2968,411.867,2.42797,462406,462406
47,42.1945,405.076,2.46867,367986,367986
48,43.0923,404.623,2.47144,445971,445971
49,43.99,399.721,2.50174,437726,437726
50,44.8878,392.892,2.54523,355687,355687
51,45.7855,388.973,2.57088,352170,352170
52,46.6833,386.539,2.58706,348232,348232
53,47.581,382.41,2.61499,345526,345526
54,48.4788,380.104,2.63086,341859,341859
55,49.3766,377.685,2.64771,393036,393036
56,50.2743,373.813,2.67513,382809,382809
57,51.1721,388.057,2.57694,362224,362224
58,52.0698,381.598,2.62056,352438,352438
59,52.9676,374.821,2.66794,344217,344217
60,53.8653,369.81,2.70409,334194,334194
61,54.7631,362.733,2.75684,322291,322291
62,55.6608,356.756,2.80304,312720,312720
63,56.5586,351.603,2.84412,305404,305404
64,57.4564,345.006,2.8985,299526,299526
65,58.3541,337.165,2.9659,295648,295648
66,59.2519,330.79,3.02306,292024,292024
67,60.1496,324.365,3.08295,287881,287881
68,61.0474,316.96,3.15498,285634,285634
69,61.9451,311.898,3.20618,282550,282550
70,62.8429,305.718,3.27099,280197,280197
71,63.7406,300.114,3.33207,277544,277544
72,64.6384,294.849,3.39156,274417,274417
73,65.5362,288.946,3.46085,271520,271520
74,66.4339,283.373,3.52892,268345,268345
75,67.3317,275.368,3.6315,263310,263310
76,68.2294,268.515,3.72418,260257,260257
