step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
1,0.878049,18.2548,54.78,38933586,575491
2,1.7561,18.1453,55.1107,38867732,569679
3,2.63415,18.09,55.2792,38803679,563168
4,3.5122,17.9476,55.7176,38747261,556826
5,4.39024,17.8555,56.0052,38690860,551329
6,5.26829,17.7746,56.2601,38631089,545805
7,6.14634,16.9882,58.8645,38558688,538878
8,7.02439,16.5714,60.345,38498069,533610
9,7.90244,16.4925,60.6335,38425210,527470
10,8.78049,16.4065,60.9513,38356925,521525
11,9.65854,16.896,59.1856,38292487,516441
12,10.5366,16.2918,61.3804,38221524,510756
13,11.4146,16.2621,61.4925,38161281,505855
14,12.2927,16.2294,61.6167,38095989,500436
15,13.1707,16.2017,61.7218,38037250,495776
16,14.0488,16.1024,62.1025,37973096,490542
17,14.9268,16.1106,62.071,37914682,486016
18,15.8049,16.0686,62.2331,37846219,480624
19,16.6829,16.0399,62.3444,37779349,475035
20,17.561,15.9846,62.5601,37716988,470175
21,18.439,15.9365,62.749,37656235,464272
22,19.3171,15.8853,62.9512,37590092,457649
23,20.1951,15.8372,63.1425,37533462,451468
24,21.0732,15.7983,63.2981,37468832,444116
25,21.9512,15.8095,63.253,37421474,437515
26,22.8293,15.7635,63.4379,37372524,429900
27,23.7073,15.743,63.5204,37327863,421538
28,24.5854,15.6631,63.8443,37284478,413949
29,25.4634,15.6365,63.953,37231556,407169
30,26.3415,15.6006,64.0999,37154614,400090
31,27.2195,15.5976,64.1126,37097612,396533
32,28.0976,15.5904,64.142,37011090,392259
33,28.9756,15.5546,64.2898,36932357,389765
34,29.8537,15.5392,64.3534,36842779,387638
35,30.7317,15.1736,65.9038,36732394,384907
36,31.6098,15.4204,64.8491,36618120,383259
37,32.4878,15.3723,65.0521,36512361,383267
38,33.3659,15.361,65.0998,36385225,382555
39,34.2439,15.3016,65.3525,36274231,381423
40,35.122,15.2914,65.3963,36159996,378476
41,36,15.1634,65.9483,36045555,374173
42,36.878,15.0815,66.3065,35931334,369110
43,37.7561,14.978,66.7644,35837726,365355
44,38.6341,14.8982,67.1223,35733369,361035
45,39.5122,14.8173,67.4888,35614779,356387
46,40.3902,14.7415,67.8357,35505483,352999
47,41.2683,14.6678,68.1767,35398002,349751
48,42.1463,14.634,68.3341,35281952,346358
49,43.0244,14.5889,68.5451,35185885,344719
50,43.9024,14.2776,70.0396,35077762,342747
51,44.7805,14.507,68.9322,34968116,340658
52,45.6585,14.5101,68.9176,34856176,339189
53,46.5366,14.4538,69.1861,34753105,337975
54,47.4146,14.4189,69.3532,34658278,337302
55,48.2927,14.4466,69.2205,34557669,335582
56,49.1707,14.8439,67.3677,34466829,333948
57,50.0488,14.3739,69.5706,34388949,332454
58,50.9268,14.3288,69.7894,34299500,329107
59,51.8049,14.2971,69.9443,34222402,326059
60,52.6829,13.9868,71.4959,34150583,322861
61,53.561,13.9387,71.7428,34060348,318764
62,54.439,13.9039,71.9224,33971521,315443
63,55.3171,13.8875,72.0073,33880649,312905
64,56.1951,13.8209,72.354,33774135,309910
65,57.0732,13.783,72.5529,33674742,308116
66,57.9512,13.7318,72.8234,33556184,305578
67,58.8293,13.6899,73.0468,33450477,304660
68,59.7073,13.6704,73.1507,33320794,302838
69,60.5854,13.6673,73.1672,33200421,302278
70,61.4634,13.6479,73.2715,33073430,301794
71,62.3415,13.6397,73.3155,32934218,300751
72,63.2195,13.6724,73.1398,32803343,301054
73,64.0976,13.6837,73.0796,32673791,301734
74,64.9756,13.6745,73.1288,32516759,300829
75,65.8537,13.6704,73.1507,32382779,301927
76,66.7317,13.6305,73.3651,32221167,300684
77,67.6098,13.5465,73.8198,32063121,299968
78,68.4878,13.4461,74.3708,31899507,298971
79,69.3659,13.3366,74.9818,31737951,298224
80,70.2439,13.2403,75.5269,31582725,297307
81,71.122,13.1471,76.0622,31420427,295603
82,72,13.0714,76.5031,31270211,294199
83,72.878,13.0058,76.8886,31144630,293852
84,73.7561,12.9649,77.1315,31009068,292292
85,74.6341,12.9208,77.3944,30891787,290361
86,75.5122,12.9116,77.4496,30792372,289085
87,76.3902,12.8614,77.7518,30690537,287310
88,77.2683,12.8317,77.9317,30595866,284958
89,78.1463,12.8461,77.8448,30518189,283430
90,79.0244,12.8655,77.727,30447092,281731
91,79.9024,12.8696,77.7023,30382208,279544
92,80.7805,12.9219,77.3883,30354021,278120
93,81.6585,12.9475,77.2352,30338964,276522
94,82.5366,12.9843,77.016,30341502,273690
95,83.4146,13.0499,76.6292,30390894,270866
96,84.2927,13.0857,76.4193,30464995,266707
97,85.1707,13.0898,76.3954,30548768,258884
98,86.0488,13.0488,76.6352,30663676,249566
99,86.9268,13.0089,76.8705,30767213,237117
100,87.8049,13.0058,76.8886,30885176,229008
101,88.6829,12.9915,76.9735,30960405,223494
102,89.561,12.9782,77.0524,30996316,220690
103,90.439,12.9638,77.1376,30985311,220646
104,91.3171,12.9516,77.2108,30909111,223525
105,92.1951,12.9669,77.1194,30788270,229191
106,93.0732,12.97,77.1011,30631347,237492
107,93.9512,12.9884,76.9917,30475882,249518
108,94.8293,12.9915,76.9735,30312779,258893
109,95.7073,12.971,77.095,30177415,265682
