step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
1,0.878049,627.196,1.5944,1253688656,347540
2,1.7561,626.868,1.59523,1253844035,344860
3,2.63415,626.995,1.59491,1253760743,341425
4,3.5122,625.216,1.59945,1253475714,338463
5,4.39024,624.739,1.60067,1253091103,336310
6,5.26829,622.384,1.60672,1252435382,333890
7,6.14634,621.708,1.60847,1251407383,330806
8,7.02439,618.271,1.61741,1250360892,328782
9,7.90244,617.372,1.61977,1248919837,325644
10,8.78049,616.295,1.6226,1247444005,323246
11,9.65854,614.7,1.62681,1245913558,321470
12,10.5366,614.324,1.6278,1244104375,319217
13,11.4146,612.333,1.6331,1242240714,317494
14,12.2927,610.697,1.63747,1240054389,315543
15,13.1707,609.857,1.63973,1237869474,314235
16,14.0488,608.086,1.6445,1235351721,312532
17,14.9268,607.193,1.64692,1232767032,311616
18,15.8049,606.387,1.64911,1229886125,310190
19,16.6829,605.794,1.65073,1226876952,308617
20,17.561,606.159,1.64973,1223637856,306971
21,18.439,604.872,1.65324,1220309183,304892
22,19.3171,604.904,1.65315,1216546522,301892
23,20.1951,602.086,1.66089,1212796573,299645
24,21.0732,603.416,1.65723,1208689628,295756
25,21.9512,601.667,1.66205,1204605950,292512
26,22.8293,599.895,1.66696,1200290426,288095
27,23.7073,598.969,1.66953,1195700619,282771
28,24.5854,596.672,1.67596,1191005588,278121
29,25.4634,595.341,1.67971,1185976268,274246
30,26.3415,592.423,1.68798,1180500932,270163
31,27.2195,591.141,1.69164,1175010221,269193
32,28.0976,588.227,1.70003,1169010113,267908
33,28.9756,585.992,1.70651,1162769705,268058
34,29.8537,582.435,1.71693,1156016528,267991
35,30.7317,582.411,1.717,1148722120,267827
36,31.6098,578.314,1.72916,1141048517,268620
37,32.4878,575.675,1.73709,1133147426,270896
38,33.3659,572.924,1.74543,1124644287,272252
39,34.2439,569.36,1.75636,1116119297,273529
40,35.122,565.999,1.76679,1107187278,273099
41,36,563.321,1.77519,1098055219,271283
42,36.878,560.859,1.78298,1088686271,268666
43,37.7561,559.715,1.78662,1079327032,267103
44,38.6341,556.294,1.79761,1069646114,264978
45,39.5122,553.003,1.80831,1059559691,262529
46,40.3902,549.452,1.82,1049348146,260940
47,41.2683,544.35,1.83705,1039004859,259850
48,42.1463,539.516,1.85351,1028317957,258644
49,43.0244,534.833,1.86974,1017550356,259035
50,43.9024,528.584,1.89185,1006401561,258843
51,44.7805,523.667,1.90961,995108137,258685
52,45.6585,518.541,1.92849,983545689,258974
53,46.5366,513.811,1.94624,971816710,259683
54,47.4146,510.495,1.95888,960008392,260872
55,48.2927,506.544,1.97416,947885121,261024
56,49.1707,503.953,1.98431,935676380,261129
57,50.0488,499.101,2.0036,923272426,261206
58,50.9268,494.986,2.02026,910554033,259541
59,51.8049,489.607,2.04245,897758278,258019
60,52.6829,483.352,2.06889,884838159,256371
61,53.561,478.35,2.09052,871480037,253896
62,54.439,473.546,2.11173,857908892,251999
63,55.3171,468.549,2.13425,844230768,250891
64,56.1951,462.599,2.1617,830148743,249363
65,57.0732,457.209,2.18718,815984411,248945
66,57.9512,451.389,2.21538,801443072,247770
67,58.8293,445.014,2.24712,786902353,248306
68,59.7073,438.052,2.28283,772028580,247910
69,60.5854,430.692,2.32184,757162145,248969
70,61.4634,422.999,2.36407,742071687,249722
71,62.3415,416.246,2.40243,726876581,250410
72,63.2195,409.946,2.43935,711626271,252133
73,64.0976,403.513,2.47823,696496629,254364
74,64.9756,396.98,2.51902,681048181,255100
75,65.8537,389.559,2.567,665846911,257482
76,66.7317,380.525,2.62795,650329127,257548
77,67.6098,371.875,2.68908,634880355,258103
78,68.4878,362.153,2.76126,619394412,258217
79,69.3659,352.152,2.83969,603978588,258380
80,70.2439,343.588,2.91046,588579352,258454
81,71.122,334.477,2.98974,573205918,257708
82,72,324.192,3.08459,557963554,257458
83,72.878,315.023,3.17437,542937861,258328
84,73.7561,306.222,3.2656,527830560,257815
85,74.6341,297.641,3.35975,512831136,257150
86,75.5122,288.562,3.46546,497998848,257085
87,76.3902,280.059,3.57068,483176310,256416
88,77.2683,271.092,3.68879,468443891,255325
89,78.1463,261.771,3.82013,453846943,254998
90,79.0244,252.282,3.96382,439327790,254423
91,79.9024,242.66,4.12099,425530364,253197
92,80.7805,234.323,4.26761,412496395,252730
93,81.6585,225.721,4.43024,399567945,252220
94,82.5366,217.429,4.5992,386730518,250472
95,83.4146,209.067,4.78316,374762728,248637
96,84.2927,200.302,4.99247,364036734,245645
97,85.1707,192.475,5.19548,354160101,238834
98,86.0488,185.6,5.38793,345997251,230371
99,86.9268,179.554,5.56935,340121857,218657
100,87.8049,175.222,5.70705,336771687,211024
101,88.6829,173.194,5.77386,335533639,205820
102,89.561,173.889,5.75081,336410462,203266
103,90.439,177.546,5.63234,339458005,203252
104,91.3171,181.929,5.49665,344372486,205851
105,92.1951,188.913,5.29345,350748707,211062
106,93.0732,195.971,5.10279,358116532,218746
107,93.9512,203.513,4.91369,367030517,230259
108,94.8293,211.142,4.73616,377196554,239040
109,95.7073,218.985,4.56651,387618120,245343
110,96.5854,226.934,4.40657,398899135,248219
111,97.4634,235.108,4.25336,410888133,250448
112,98.3415,243.033,4.11467,423777402,252035
113,99.2195,253.044,3.95189,437158850,253114
114,100.098,261.566,3.82312,450738919,254091
115,100.976,269.507,3.71048,464713194,254817
116,101.854,279.02,3.58398,478816514,255050
117,102.732,287.938,3.47298,493016348,255215
118,103.61,296.003,3.37835,507381697,256440
119,104.488,303.636,3.29341,521854321,257302
120,105.366,312.434,3.20068,536276105,257108
121,106.244,320.452,3.1206,550928684,257741
122,107.122,329.162,3.03802,565701797,258132
123,108,338.373,2.95532,580519497,257991
124,108.878,347.603,2.87685,595457670,258416
125,109.756,356.468,2.8053,610499690,258315
126,110.634,365.686,2.73459,625695005,258423
127,111.512,375.763,2.66125,640973031,258251
128,112.39,384.893,2.59813,656285300,258091
129,113.268,394.314,2.53605,671535470,257458
130,114.146,402.2,2.48633,686846813,257376
131,115.024,409.431,2.44241,701760194,255047
132,115.902,415.424,2.40718,716774502,254068
133,116.78,422.108,2.36906,731724040,252391
134,117.659,428.317,2.33472,746555913,250494
135,118.537,434.743,2.30021,761246244,249451
136,119.415,440.642,2.26942,775903366,248590
137,120.293,447.487,2.2347,790266047,247768
138,121.171,454.539,2.20003,804705542,248410
139,122.049,460.941,2.16947,818795083,248331
140,122.927,468.064,2.13646,832649132,248649
141,123.805,473.758,2.11078,846390266,249124
142,124.683,479.603,2.08506,859981484,250720
143,125.561,485.094,2.06145,873259235,252127
144,126.439,490.53,2.03861,886369105,254449
145,127.317,495.753,2.01713,899091889,256145
146,128.195,501.877,1.99252,911609968,258280
147,129.073,507.41,1.97079,923852998,259597
148,129.951,511.485,1.95509,936011992,260765
149,130.829,515.13,1.94126,947845535,260907
150,131.707,517.45,1.93255,959633078,261623
151,132.585,520.821,1.92005,971076578,260601
152,133.463,524.715,1.9058,982408031,259500
153,134.341,528.476,1.89223,993543625,258671
154,135.22,532.811,1.87684,1004631834,258753
155,136.098,537.689,1.85981,1015370317,258604
156,136.976,542.659,1.84278,1025927927,258506
157,137.854,547.562,1.82628,1036315746,259097
158,138.732,553.047,1.80816,1046379864,259948
159,139.61,557.449,1.79389,1056341275,261776
160,140.488,560.979,1.7826,1065871912,262582
161,141.366,564.029,1.77296,1075223867,264460
162,142.244,567.076,1.76343,1084327570,266260
163,143.122,570.365,1.75326,1093414794,269529
164,144,573.115,1.74485,1102105215,271417
165,144.878,575.79,1.73674,1110634795,273039
166,145.756,579.002,1.72711,1118966639,273057
167,146.634,582.363,1.71714,1127033559,272370
168,147.512,585.762,1.70718,1134906554,270288
169,148.39,588.438,1.69942,1142406232,268734
170,149.268,592.24,1.68851,1149526161,267838
171,150.146,593.958,1.68362,1156133227,267130
172,151.024,596.573,1.67624,1162368726,267083
173,151.902,599.541,1.66794,1168303859,268314
174,152.78,602.407,1.66001,1173781064,269293
175,153.659,604.661,1.65382,1178823774,270797
176,154.537,606.713,1.64823,1183643931,273896
177,155.415,607.756,1.6454,1188203475,277861
178,156.293,608.859,1.64242,1192494004,282829
179,157.171,610.695,1.63748,1196639381,288067
180,158.049,613.299,1.63053,1200504611,292138
181,158.927,614.281,1.62792,1204263983,295961
182,159.805,616.232,1.62277,1207927428,299017
183,160.683,617.419,1.61965,1211395716,301656
184,161.561,618.144,1.61775,1214810617,304451
185,162.439,618.448,1.61695,1217811168,306012
186,163.317,619.799,1.61343,1220872873,308251
187,164.195,620.511,1.61157,1223563513,309570
188,165.073,621.288,1.60956,1226169885,310647
189,165.951,621.156,1.6099,1228461656,311118
190,166.829,622.712,1.60588,1230686966,312367
191,167.707,623.527,1.60378,1232744635,313939
192,168.585,625.076,1.5998,1234666373,315453
193,169.463,624.589,1.60105,1236309160,316778
194,170.341,625.888,1.59773,1237888940,318579
195,171.22,627.025,1.59483,1239257162,320272
196,172.098,629.381,1.58886,1240564470,322539
197,172.976,630.955,1.5849,1241784214,325388
198,173.854,632.135,1.58194,1242694994,327507
199,174.732,633.655,1.57815,1243495769,330106
200,175.61,633.613,1.57825,1243964150,332210
201,176.488,634.171,1.57686,1244183050,334045
202,177.366,634.238,1.5767,1244296727,336693
203,178.244,635.173,1.57437,1244317626,340439
204,179.122,637.676,1.5682,1243964218,342892
205,180,637.66,1.56823,1243490419,345892
206,180.878,636.748,1.57048,1242807724,348630
207,181.756,635.443,1.5737,1241853737,351597
208,182.634,635.917,1.57253,1240760556,355632
209,183.512,635.529,1.57349,1239563625,359908
210,184.39,635.92,1.57252,1238221684,365326
211,185.268,636.146,1.57197,1236646557,370654
212,186.146,638.07,1.56723,1234730867,375496
213,187.024,637.332,1.56904,1232724138,380853
214,187.902,637.666,1.56822,1230449411,386851
215,188.78,636.186,1.57187,1228126844,394426
216,189.659,636.198,1.57184,1225516313,401584
217,190.537,635.185,1.57434,1222679228,409423
218,191.415,635.35,1.57394,1219673938,417214
219,192.293,633.266,1.57911,1216265656,423664
220,193.171,631.252,1.58415,1212619149,428760
221,194.049,628.314,1.59156,1208864376,433471
222,194.927,626.255,1.59679,1204544300,433599
223,195.805,624.795,1.60053,1200063187,431928
224,196.683,622.372,1.60676,1195321252,429708
225,197.561,621.106,1.61003,1190288680,425895
226,198.439,619.688,1.61372,1185132173,423955
227,199.317,619.833,1.61334,1179603465,421469
228,200.195,617.382,1.61974,1174206839,421674
229,201.073,614.133,1.62831,1168453817,421402
230,201.951,611.414,1.63555,1162569279,421508
231,202.829,608.841,1.64247,1156601313,422526
232,203.707,608.443,1.64354,1150629966,425875
233,204.585,606.552,1.64866,1144331842,428238
234,205.463,605.2,1.65235,1137930117,432520
235,206.341,603.151,1.65796,1131176130,436907
236,207.22,602.988,1.65841,1124554059,446086
237,208.098,602.175,1.66065,1117085549,451740
238,208.976,598.094,1.67198,1109201434,456289
239,209.854,594.899,1.68096,1100733532,459037
240,210.732,591.611,1.6903,1091899497,457898
241,211.61,588.219,1.70005,1082522655,452729
242,212.488,584.354,1.71129,1073083811,446819
243,213.366,580.079,1.7239,1063323457,437413
244,214.244,577.159,1.73262,1053445146,429053
245,215.122,573.046,1.74506,1043563170,422065
246,216,569.405,1.75622,1033681481,416684
247,216.878,565.499,1.76835,1023704170,411753
248,217.756,560.05,1.78555,1013433751,407681
249,218.634,556.131,1.79814,1003072139,404321
250,219.512,551.763,1.81237,992588595,400391
251,220.39,545.961,1.83163,981851635,396425
252,221.268,540.249,1.851,971242478,394493
253,222.146,535.286,1.86816,960356493,391235
254,223.024,530.828,1.88385,949357304,388652
255,223.902,525.77,1.90197,938178068,385316
256,224.78,520.534,1.9211,926755195,381566
257,225.659,514.493,1.94366,915420173,378304
258,226.537,509.423,1.96301,903839816,375449
259,227.415,503.105,1.98766,892182006,372578
260,228.293,496.812,2.01283,880340122,369057
261,229.171,491.387,2.03506,868554926,366683
262,230.049,485.543,2.05955,856451302,363647
263,230.927,480.509,2.08113,844402922,362357
264,231.805,475.117,2.10475,832208822,360711
265,232.683,468.577,2.13412,819903076,359712
266,233.561,462.684,2.1613,807412811,357893
267,234.439,456.22,2.19193,794842480,357388
268,235.317,448.823,2.22805,782080828,355814
269,236.195,443.32,2.25571,769444505,355995
270,237.073,437.558,2.28541,756651711,355802
271,237.951,430.966,2.32037,743620527,354495
272,238.829,423.964,2.35869,730644607,353950
273,239.707,416.003,2.40383,717546783,353648
274,240.585,408.906,2.44555,704358050,352282
275,241.463,401.869,2.48837,691232074,351805
276,242.341,395.04,2.53139,678003399,351524
277,243.22,386.989,2.58405,664755969,351198
278,244.098,379.324,2.63627,651606789,351246
279,244.976,370.796,2.6969,638295803,350486
280,245.854,363.183,2.75343,624995478,349853
281,246.732,356.222,2.80724,611750204,349811
282,247.61,347.887,2.8745,598541212,349603
283,248.488,340.92,2.93324,585253656,349018
284,249.366,332,3.01205,572034447,348282
285,250.244,323.775,3.08856,558792071,347677
286,251.122,315.952,3.16504,545605953,346700
287,252,307.376,3.25334,532433503,345881
288,252.878,299.39,3.34013,519295464,344446
289,253.756,291.205,3.43401,506270725,343552
290,254.634,282.652,3.53792,493419973,342628
291,255.512,274.837,3.63851,480533396,340595
292,256.39,266.116,3.75776,467843751,340570
293,257.268,257.592,3.8821,455146544,339344
294,258.146,249.74,4.00416,442497090,338067
295,259.024,241.275,4.14465,429946063,336045
296,259.902,233.347,4.28546,417426394,333756
297,260.78,225.301,4.4385,405100070,332882
298,261.659,216.839,4.61171,392940979,331139
299,262.537,208.039,4.80679,381198469,328514
300,263.415,200.888,4.97789,369869241,324413
301,264.293,193.482,5.16845,359198534,319889
302,265.171,186.826,5.35258,349716157,313849
303,266.049,180.293,5.54654,341371691,303022
304,266.927,175.908,5.68479,334962318,290335
305,267.805,172.422,5.79972,330358859,282459
306,268.683,170.985,5.84845,327354637,275397
307,269.561,171.418,5.83371,326073503,273081
308,270.439,171.691,5.82442,326451295,272627
309,271.317,175.374,5.70209,328609541,274916
310,272.195,178.123,5.61411,332387423,282446
311,273.073,180.966,5.52589,337666288,290290
312,273.951,185.951,5.37775,344686431,302953
313,274.829,190.822,5.24047,353154425,313412
314,275.707,196.525,5.08841,361922759,319715
315,276.585,202.875,4.92915,371157046,324737
316,277.463,210.26,4.75602,381140423,328659
317,278.341,218.369,4.5794,391586884,331167
318,279.22,226.284,4.41923,402106884,333184
319,280.098,234.479,4.26478,412701164,334657
320,280.976,241.927,4.13348,423678219,336033
321,281.854,249.842,4.00253,435241713,337863
322,282.732,258.403,3.86992,447115578,338656
323,283.61,265.997,3.75944,459274351,340309
324,284.488,274.049,3.64898,471617235,340811
325,285.366,282.367,3.54149,484146197,342643
326,286.244,290.487,3.44249,496794639,343695
327,287.122,298.318,3.35213,509619317,344236
328,288,306.882,3.25859,522688896,346091
329,288.878,315.047,3.17413,535790403,346805
330,289.756,323.268,3.09341,548988571,348098
331,290.634,331.629,3.01542,562252456,348754
332,291.512,339.756,2.94329,575602697,349101
333,292.39,347.533,2.87742,589134283,349481
334,293.268,355.176,2.8155,602679957,349471
335,294.146,361.989,2.76251,616311735,349973
336,295.024,371.219,2.69382,629965154,350487
337,295.902,378.851,2.63956,643523335,350355
338,296.78,386.667,2.58621,657131767,351226
339,297.659,394.522,2.53472,670714540,351533
340,298.537,401.279,2.49203,684328861,351877
341,299.415,408.786,2.44627,697897176,352335
342,300.293,415.488,2.40681,711365319,352827
343,301.171,422.613,2.36623,724853168,353919
344,302.049,429.897,2.32614,738255981,354258
345,302.927,436.496,2.29097,751626974,355341
346,303.805,443.115,2.25675,764802095,356117
347,304.683,449.384,2.22527,777884459,355965
348,305.561,454.93,2.19814,791073823,357688
349,306.439,460.806,2.17011,804050289,358209
350,307.317,467.326,2.13983,816889202,359461
351,308.195,473.956,2.1099,829648325,360863
352,309.073,480.285,2.0821,842214548,362568
353,309.951,486.648,2.05487,854652681,363869
354,310.829,491.739,2.0336,867169882,367368
355,311.707,497.103,2.01166,879335873,369195
356,312.585,502.45,1.99025,891494310,371663
357,313.463,508.253,1.96752,903695591,375576
358,314.341,515.326,1.94052,915676681,378778
359,315.22,521.072,1.91912,927477740,382014
360,316.098,526.975,1.89762,939267273,385605
361,316.976,531.288,1.88222,950839419,388757
362,317.854,536.152,1.86514,962358686,392422
363,318.732,541.625,1.84629,973640608,394749
364,319.61,546.81,1.82879,984763076,397468
365,320.488,551.16,1.81436,995791979,400409
366,321.366,555.551,1.80002,1006636391,404011
367,322.244,559.423,1.78755,1017359234,407596
368,323.122,563.025,1.77612,1027952250,411979
369,324,567.167,1.76315,1038278454,416568
370,324.878,572.924,1.74543,1048620649,423190
371,325.756,576.635,1.7342,1058831249,430768
372,326.634,579.975,1.72421,1068766290,437427
373,327.512,583.251,1.71453,1078954089,447431
