# Naive
Frame,Frame (ms),FPS
1,523.67,1.91
2,518.54,1.93
3,513.81,1.95
4,510.50,1.96
5,506.54,1.97
6,503.95,1.98
7,499.10,2.00
8,494.99,2.02
9,489.61,2.04
10,483.35,2.07
11,478.35,2.09
12,473.55,2.11
13,468.55,2.13
14,462.60,2.16
15,457.21,2.19
16,451.39,2.22
17,445.01,2.25
18,438.05,2.28
19,430.69,2.32
20,423.00,2.36
21,416.25,2.40
22,409.95,2.44
23,403.51,2.48
24,396.98,2.52
25,389.56,2.57
26,380.52,2.63
27,371.88,2.69
28,362.15,2.76
29,352.15,2.84
30,343.59,2.91
31,334.48,2.99
32,324.19,3.08
33,315.02,3.17
34,306.22,3.27
35,297.64,3.36
36,288.56,3.47
37,280.06,3.57
38,271.09,3.69
39,261.77,3.82
40,252.28,3.96
41,242.66,4.12
42,234.32,4.27
43,225.72,4.43
44,217.43,4.60
45,209.07,4.78
46,200.30,4.99
47,192.47,5.20
48,185.60,5.39
49,179.55,5.57
50,175.22,5.71
51,173.19,5.77
52,173.89,5.75
53,177.55,5.63
54,181.93,5.50
55,188.91,5.29
56,195.97,5.10
57,203.51,4.91
58,211.14,4.74
59,218.99,4.57
60,226.93,4.41
61,235.11,4.25
62,243.03,4.11
63,253.04,3.95
64,261.57,3.82
65,269.51,3.71
66,279.02,3.58
67,287.94,3.47
68,296.00,3.38
69,303.64,3.29
70,312.43,3.20
71,320.45,3.12
72,329.16,3.04
73,338.37,2.96
74,347.60,2.88
75,356.47,2.81
76,365.69,2.73
77,375.76,2.66
78,384.89,2.60
79,394.31,2.54
80,402.20,2.49
81,409.43,2.44
82,415.42,2.41
83,422.11,2.37
84,428.32,2.33
85,434.74,2.30
86,440.64,2.27
87,447.49,2.23
88,454.54,2.20
89,460.94,2.17
90,468.06,2.14
91,473.76,2.11
92,479.60,2.09
93,485.09,2.06
94,490.53,2.04
95,495.75,2.02
96,501.88,1.99
97,507.41,1.97
98,511.49,1.96
99,515.13,1.94
100,517.45,1.93
101,520.82,1.92
102,524.72,1.91
103,528.48,1.89
104,532.81,1.88
105,537.69,1.86
106,542.66,1.84
107,547.56,1.83
108,553.05,1.81
109,557.45,1.79
110,560.98,1.78
111,564.03,1.77
112,567.08,1.76
113,570.37,1.75
114,573.12,1.74
115,575.79,1.74
116,579.00,1.73
117,582.36,1.72
118,585.76,1.71
119,588.44,1.70
120,592.24,1.69
121,593.96,1.68
122,596.57,1.68
123,599.54,1.67
124,602.41,1.66
125,604.66,1.65
126,606.71,1.65
127,607.76,1.65
128,608.86,1.64
129,610.70,1.64
130,613.30,1.63
131,614.28,1.63
132,616.23,1.62
133,617.42,1.62
134,618.14,1.62
135,618.45,1.62
136,619.80,1.61
137,620.51,1.61
138,621.29,1.61
139,621.16,1.61
140,622.71,1.61
141,623.53,1.60
142,625.08,1.60
143,624.59,1.60
144,625.89,1.60
145,627.02,1.59
146,629.38,1.59
147,630.96,1.58
148,632.13,1.58
149,633.65,1.58
150,633.61,1.58
151,634.17,1.58
152,634.24,1.58
153,635.17,1.57
154,637.68,1.57
155,637.66,1.57
156,636.75,1.57
157,635.44,1.57
158,635.92,1.57
159,635.53,1.57
160,635.92,1.57
161,636.15,1.57
162,638.07,1.57
163,637.33,1.57
164,637.67,1.57
165,636.19,1.57
166,636.20,1.57
167,635.18,1.57
168,635.35,1.57
169,633.27,1.58
170,631.25,1.58
171,628.31,1.59
172,626.25,1.60
173,624.79,1.60
174,622.37,1.61
175,621.11,1.61
176,619.69,1.61
177,619.83,1.61
178,617.38,1.62
179,614.13,1.63
