step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
1,5.14286,80.3796,12.441,154742482,2177611
2,10.2857,79.1636,12.6321,151866936,2135999
3,15.4286,77.3904,12.9215,148667128,2089151
4,20.5714,76.3258,13.1017,145111226,2037425
5,25.7143,73.8277,13.5451,141230219,1980635
6,30.8571,73.2362,13.6545,140319104,1937660
7,36,72.8424,13.7283,139632840,1905391
8,41.1429,72.1338,13.8631,138390862,1881876
9,46.2857,71.3778,14.01,136623335,1857977
10,51.4286,70.0552,14.2745,134361171,1835895
11,56.5714,68.9181,14.51,131604308,1814412
12,61.7143,67.0282,14.9191,127784644,1782745
13,66.8571,65.8335,15.1898,125622418,1754621
14,72,65.1492,15.3494,122932158,1717150
15,77.1429,62.5248,15.9937,119560567,1670551
16,82.2857,62.3606,16.0358,119113486,1634220
17,87.4286,62.435,16.0167,119560704,1618176
18,92.5714,62.2395,16.067,119554008,1618177
19,97.7143,62.1801,16.0823,119094407,1634219
20,102.857,63.1301,15.8403,119582383,1670552
21,108,64.451,15.5157,122979462,1717151
22,113.143,65.9433,15.1646,125739191,1754670
23,118.286,66.7371,14.9842,127871534,1783021
24,123.429,68.7924,14.5365,131654228,1814551
25,128.571,70.1792,14.2492,134364837,1835895
26,133.714,71.2305,14.0389,136623335,1857978
27,138.857,72.3224,13.827,138390862,1881875
28,144,72.8398,13.7288,139633075,1905391
29,149.143,73.1598,13.6687,140319104,1937661
30,154.286,73.7428,13.5607,141230455,1980634
31,159.429,75.7257,13.2056,145110975,2037426
32,164.571,77.3685,12.9251,148666892,2089148
33,169.714,79.0437,12.6512,151866936,2135997
34,174.857,80.5209,12.4191,154742482,2177610
35,180,82.1199,12.1773,157109603,2212958
36,185.143,82.4976,12.1216,159110635,2242357
37,190.286,83.3143,12.0027,160676358,2265534
38,195.429,83.9267,11.9152,161809106,2282389
39,200.571,84.3148,11.8603,162492365,2292389
40,205.714,84.4714,11.8383,162726938,2295826
41,210.857,84.4593,11.84,162509770,2292574
42,216,84.2118,11.8748,161838915,2282721
43,221.143,83.4163,11.9881,160725827,2266224
44,226.286,82.7042,12.0913,159176839,2243366
45,231.429,81.6862,12.242,157200746,2214215
46,236.571,80.7118,12.3898,154809720,2178794
47,241.714,79.2709,12.615,152015292,2137913
48,246.857,77.5036,12.9026,148836407,2091308
49,252,76.2817,13.1093,145290174,2039528
50,257.143,73.627,13.582,141401727,1983146
51,262.286,73.151,13.6704,140718104,1941715
52,267.429,73.2563,13.6507,141133348,1924816
53,272.571,73.1169,13.6767,141133112,1924817
54,277.714,73.1693,13.6669,140718104,1941716
55,282.857,73.7906,13.5519,141401491,1983143
56,288,75.4907,13.2467,145290174,2039535
57,293.143,77.5531,12.8944,148836407,2091312
58,298.286,79.0472,12.6507,152015292,2137911
59,303.429,80.6254,12.403,154809712,2178796
60,308.571,81.7649,12.2302,157200746,2214215
61,313.714,82.8163,12.0749,159177075,2243363
62,318.857,83.5134,11.9741,160725820,2266225
63,324,84.7693,11.7967,161838915,2282718
64,329.143,84.3849,11.8505,162509763,2292571
65,334.286,84.5425,11.8284,162726938,2295826
66,339.429,84.3027,11.862,162492365,2292390
67,344.571,83.599,11.9619,161809113,2282392
68,349.714,83.3315,12.0003,160676358,2265534
69,354.857,82.2893,12.1522,159110635,2242359
70,360,81.6372,12.2493,157109839,2212959
