step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
1,5.14286,18.6195,53.707,17439761,2177611
2,10.2857,18.2817,54.6994,16955682,2135999
3,15.4286,17.9526,55.7024,16441976,2089151
4,20.5714,17.5629,56.9383,15898166,2037425
5,25.7143,17.0932,58.5027,15327249,1980635
6,30.8571,16.5315,60.4904,15005558,1937660
7,36,16.4093,60.9412,14738152,1905391
8,41.1429,16.3447,61.182,14604758,1881876
9,46.2857,16.1317,61.9896,14449983,1857977
10,51.4286,16.538,60.4668,14378519,1835895
11,56.5714,15.6377,63.9482,14305392,1814551
12,61.7143,15.5261,64.4077,14176190,1790846
13,66.8571,15.4996,64.5177,14136874,1769277
14,72,15.2456,65.5926,14008886,1737656
15,77.1429,14.8466,67.3553,13791253,1696429
16,82.2857,14.4865,69.0298,13754286,1665344
17,87.4286,14.1081,70.8811,13754766,1653397
18,92.5714,14.1319,70.7617,13749456,1653398
19,97.7143,14.5354,68.7977,13752416,1665343
20,102.857,14.9211,67.0192,13792041,1696430
21,108,15.2985,65.3658,14000228,1737657
22,113.143,15.5341,64.3745,14119206,1769278
23,118.286,15.3331,65.2185,14150596,1790845
24,123.429,15.4666,64.6552,14271856,1814551
25,128.571,15.9156,62.8314,14337711,1835895
26,133.714,16.2034,61.7156,14402605,1857978
27,138.857,16.2455,61.5554,14550934,1881875
28,144,16.3703,61.0861,14678687,1905391
29,149.143,16.5935,60.2645,14939986,1937661
30,154.286,16.9343,59.0516,15256513,1980634
31,159.429,17.7242,56.4201,15820699,2037426
32,164.571,17.8197,56.1176,16358790,2089148
33,169.714,18.1648,55.0516,16868170,2135997
34,174.857,18.5788,53.8249,17348563,2177610
35,180,18.6381,53.6536,17784665,2212958
36,185.143,19.0444,52.5088,18184571,2242357
37,190.286,19.3907,51.5712,18541038,2265534
38,195.429,20.2309,49.4293,18851800,2282389
39,200.571,20.1143,49.7159,19114186,2292389
40,205.714,20.3622,49.1107,19326578,2295826
41,210.857,20.5561,48.6474,19486815,2292574
42,216,20.6101,48.5199,19593355,2282721
43,221.143,20.7913,48.097,19645404,2266224
44,226.286,20.9109,47.8219,19643001,2243366
45,231.429,20.8463,47.9703,19585226,2214215
46,236.571,20.679,48.3583,19472510,2178794
47,241.714,20.4306,48.9461,19305648,2137913
48,246.857,20.0062,49.9844,19084541,2091308
49,252,19.5926,51.0396,18811160,2039528
50,257.143,19.0495,52.4948,18481471,1983146
51,262.286,18.7716,53.2718,18362350,1941715
52,267.429,18.4153,54.3028,18322124,1924816
53,272.571,18.2265,54.8652,18328056,1924817
54,277.714,18.7509,53.3308,18366432,1941716
55,282.857,18.9309,52.8237,18482529,1983143
56,288,19.5375,51.1835,18823822,2039535
57,293.143,19.9439,50.1407,19108473,2091312
58,298.286,20.4113,48.9924,19340402,2137911
59,303.429,20.5069,48.7641,19517643,2178796
60,308.571,20.6847,48.345,19640274,2214215
61,313.714,20.775,48.1348,19706675,2243363
62,318.857,20.9503,47.7321,19716964,2266225
63,324,20.6407,48.4479,19672003,2282718
64,329.143,20.589,48.5697,19571293,2292571
65,334.286,20.449,48.9021,19415750,2295826
66,339.429,20.1018,49.7467,19206926,2292390
67,344.571,19.7771,50.5636,18946582,2282392
68,349.714,19.9478,50.131,18636660,2265534
69,354.857,19.0891,52.3859,18279963,2242359
70,360,18.671,53.5591,17878387,2212959
