# No DNF
Frame,Frame (ms),FPS
1,15.64,63.95
2,15.53,64.41
3,15.50,64.52
4,15.25,65.59
5,14.85,67.36
6,14.49,69.03
7,14.11,70.88
8,14.13,70.76
9,14.54,68.80
10,14.92,67.02
11,15.30,65.37
12,15.53,64.37
13,15.33,65.22
14,15.47,64.66
15,15.92,62.83
16,16.20,61.72
17,16.25,61.56
18,16.37,61.09
19,16.59,60.26
20,16.93,59.05
21,17.72,56.42
22,17.82,56.12
23,18.16,55.05
24,18.58,53.82
25,18.64,53.65
26,19.04,52.51
27,19.39,51.57
28,20.23,49.43
29,20.11,49.72
30,20.36,49.11
31,20.56,48.65
32,20.61,48.52
33,20.79,48.10
34,20.91,47.82
35,20.85,47.97
36,20.68,48.36
37,20.43,48.95
38,20.01,49.98
39,19.59,51.04
40,19.05,52.49
41,18.77,53.27
42,18.42,54.30
43,18.23,54.87
44,18.75,53.33
45,18.93,52.82
46,19.54,51.18
47,19.94,50.14
48,20.41,48.99
49,20.51,48.76
50,20.68,48.34
51,20.77,48.13
52,20.95,47.73
53,20.64,48.45
54,20.59,48.57
55,20.45,48.90
56,20.10,49.75
57,19.78,50.56
58,19.95,50.13
59,19.09,52.39
60,18.67,53.56

# DNF
Frame,Frame (ms),FPS
1,68.92,14.51
2,67.03,14.92
3,65.83,15.19
4,65.15,15.35
5,62.52,15.99
6,62.36,16.04
7,62.44,16.02
8,62.24,16.07
9,62.18,16.08
10,63.13,15.84
11,64.45,15.52
12,65.94,15.16
13,66.74,14.98
14,68.79,14.54
15,70.18,14.25
16,71.23,14.04
17,72.32,13.83
18,72.84,13.73
19,73.16,13.67
20,73.74,13.56
21,75.73,13.21
22,77.37,12.93
23,79.04,12.65
24,80.52,12.42
25,82.12,12.18
26,82.50,12.12
27,83.31,12.00
28,83.93,11.92
29,84.31,11.86
30,84.47,11.84
31,84.46,11.84
32,84.21,11.87
33,83.42,11.99
34,82.70,12.09
35,81.69,12.24
36,80.71,12.39
37,79.27,12.62
38,77.50,12.90
39,76.28,13.11
40,73.63,13.58
41,73.15,13.67
42,73.26,13.65
43,73.12,13.68
44,73.17,13.67
45,73.79,13.55
46,75.49,13.25
47,77.55,12.89
48,79.05,12.65
49,80.63,12.40
50,81.76,12.23
51,82.82,12.07
52,83.51,11.97
53,84.77,11.80
54,84.38,11.85
55,84.54,11.83
56,84.30,11.86
57,83.60,11.96
58,83.33,12.00
59,82.29,12.15
60,81.64,12.25

